         5       653       401       557

EOS                                                                            

  i            rad           emas         rho         pres          nb           kf(e)      kf(mu)       kf(p)       kf(n)      kf(la)      kf(S-)      kf(S0)      kf(S+)         Tc(n)       Tc(p)      Tc(la)    Durca        mstn        mstp  nSF   Acel   Aion   Zion

    0   0.000000E+00   0.000000E+00   5.969E+14   4.888E+34   3.406E-01      8.286E-01   6.324E-01   9.367E-01   2.100E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      6.975E+08   1.000E+00   1.000E+00   00000   5.264E-01   6.166E-01  3p2   N/A    N/A    N/A 
    1   1.447832E+03   3.855208E-03   5.909E+14   4.743E+34   3.375E-01      8.237E-01   6.260E-01   9.299E-01   2.094E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      7.070E+08   1.000E+00   1.000E+00   00000   5.305E-01   6.183E-01  3p2   N/A    N/A    N/A 
    2   1.824154E+03   7.597948E-03   5.874E+14   4.659E+34   3.356E-01      8.208E-01   6.222E-01   9.260E-01   2.091E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      7.126E+08   1.000E+00   1.000E+00   00000   5.329E-01   6.193E-01  3p2   N/A    N/A    N/A 
    3   2.088136E+03   1.141330E-02   5.845E+14   4.588E+34   3.341E-01      8.185E-01   6.190E-01   9.227E-01   2.088E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      7.172E+08   1.000E+00   1.000E+00   00000   5.350E-01   6.201E-01  3p2   N/A    N/A    N/A 
    4   2.298291E+03   1.527220E-02   5.818E+14   4.526E+34   3.327E-01      8.163E-01   6.162E-01   9.197E-01   2.086E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      7.215E+08   1.000E+00   1.000E+00   00000   5.368E-01   6.208E-01  3p2   N/A    N/A    N/A 
    5   2.475759E+03   1.880186E-02   5.795E+14   4.470E+34   3.315E-01      8.144E-01   6.137E-01   9.171E-01   2.083E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      7.252E+08   1.000E+00   1.000E+00   00000   5.385E-01   6.215E-01  3p2   N/A    N/A    N/A 
    6   2.630886E+03   2.276785E-02   5.772E+14   4.416E+34   3.302E-01      8.125E-01   6.111E-01   9.144E-01   2.081E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      7.290E+08   1.000E+00   1.000E+00   00000   5.401E-01   6.222E-01  3p2   N/A    N/A    N/A 
    7   2.769603E+03   2.644416E-02   5.751E+14   4.367E+34   3.291E-01      8.108E-01   6.088E-01   9.120E-01   2.079E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      7.324E+08   1.000E+00   1.000E+00   00000   5.416E-01   6.228E-01  3p2   N/A    N/A    N/A 
    8   2.895665E+03   2.979760E-02   5.731E+14   4.322E+34   3.281E-01      8.092E-01   6.068E-01   9.099E-01   2.077E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      7.355E+08   1.000E+00   1.000E+00   00000   5.430E-01   6.233E-01  3p2   N/A    N/A    N/A 
