       6     141      40      56

     EOS file :  Prof_B30_1.0.dat                                            

  step        radius       baryon#       density        pressure       encl. mass            phi     encl. bar. mass 
                (m)        (#/fm3)       (g/cm3)        (dyn/cm2)      (sol. mass)                     (sol. mass)   

     0       0.000000   2.649502E+01   8.448510E+16    1.15724E+38   0.000000000E+00  -3.426939E+00   0.000000000E+00
     1     100.000001   2.626099E+01   8.366180E+16    1.14265E+38   1.766172853E-04  -3.419283E+00   9.296251722E-05
     2     116.572957   2.618132E+01   8.338170E+16    1.13770E+38   2.793599205E-04  -3.416665E+00   1.471504362E-04
     3     135.872219   2.607376E+01   8.300369E+16    1.13102E+38   4.412775025E-04  -3.413120E+00   2.326749030E-04
     4     158.326814   2.592899E+01   8.249519E+16    1.12206E+38   6.957695525E-04  -3.408329E+00   3.673670807E-04
     5     184.424410   2.573494E+01   8.181401E+16    1.11007E+38   1.094330106E-03  -3.401869E+00   5.788809671E-04
     6     214.713984   2.547619E+01   8.090659E+16    1.09415E+38   1.715531390E-03  -3.393189E+00   9.097526830E-04
     7     249.805704   2.513362E+01   7.970665E+16    1.07318E+38   2.677609703E-03  -3.381579E+00   1.424695044E-03
     8     290.366434   2.468424E+01   7.813517E+16    1.04585E+38   4.155228418E-03  -3.366139E+00   2.220740236E-03
     9     337.109088   2.410180E+01   7.610280E+16    1.01076E+38   6.400171102E-03  -3.345760E+00   3.440637881E-03
    10     390.774256   2.335841E+01   7.351622E+16    9.66485E+37   9.763919663E-03  -3.319118E+00   5.289280814E-03
    11     452.103587   2.242774E+01   7.029005E+16    9.11910E+37   1.471703989E-02  -3.284707E+00   8.051647610E-03
    12     521.806639   2.128989E+01   6.636454E+16    8.46499E+37   2.185642106E-02  -3.240913E+00   1.210877057E-02
    13     600.526376   1.993749E+01   6.172722E+16    7.70689E+37   3.188845240E-02  -3.186147E+00   1.794600573E-02
    14     688.812162   1.838176E+01   5.643306E+16    6.86182E+37   4.557749149E-02  -3.119030E+00   2.614660908E-02
    15     787.111170   1.665615E+01   5.061513E+16    5.95986E+37   6.365780438E-02  -3.038600E+00   3.736502445E-02
    16     895.787342   1.481546E+01   4.447803E+16    5.04114E+37   8.672312266E-02  -2.944496E+00   5.227938445E-02
    17    1015.171201   1.292961E+01   3.827213E+16    4.14953E+37   1.151239303E-01  -2.837072E+00   7.153030029E-02
    18    1145.636372   1.107334E+01   3.225478E+16    3.32490E+37   1.489075019E-01  -2.717396E+00   9.565949190E-02
    19    1287.693747   9.314944E+00   2.665055E+16    2.59669E+37   1.878235072E-01  -2.587152E+00   1.250635285E-01
    20    1442.093921   7.707513E+00   2.162256E+16    1.98068E+37   2.313942355E-01  -2.448467E+00   1.599740124E-01
    21    1609.931684   6.284445E+00   1.726095E+16    1.47941E+37   2.790265415E-01  -2.303699E+00   2.004682315E-01
    22    1792.749859   5.059539E+00   1.358759E+16    1.08514E+37   3.301331661E-01  -2.155244E+00   2.465069711E-01
    23    1992.641820   4.030291E+00   1.057115E+16    7.83934E+36   3.842356723E-01  -2.005367E+00   2.979911033E-01
    24    2212.352473   3.182704E+00   8.146032E+15    5.59360E+36   4.410340309E-01  -1.856087E+00   3.548265483E-01
    25    2455.377515   2.496133E+00   6.229765E+15    3.95213E+36   5.004413576E-01  -1.709109E+00   4.169880232E-01
    26    2726.060794   1.947295E+00   4.736420E+15    2.77122E+36   5.625914279E-01  -1.565806E+00   4.845748413E-01
    27    3029.689664   1.513089E+00   3.585240E+15    1.93214E+36   6.278300160E-01  -1.427222E+00   5.578557148E-01
    28    3372.587689   1.172309E+00   2.705207E+15    1.34156E+36   6.967000439E-01  -1.294113E+00   6.373027572E-01
    29    3762.202746   9.100034E-01   2.046087E+15    9.28645E+35   7.699881073E-01  -1.166986E+00   7.236785274E-01
    30    4205.602220   7.204890E-01   1.583625E+15    6.39321E+35   8.495341661E-01  -1.046430E+00   8.188964400E-01
    31    4701.156310   5.833781E-01   1.257616E+15    4.37063E+35   9.366933037E-01  -9.344216E-01   9.243591271E-01
    32    5239.937644   4.827478E-01   1.023511E+15    2.96039E+35   1.031693247E+00  -8.326918E-01   1.040294490E+00
    33    5805.819457   4.074555E-01   8.512494E+14    1.98009E+35   1.133161102E+00  -7.424773E-01   1.165152914E+00
    34    6376.617145   3.495212E-01   7.204207E+14    1.30241E+35   1.237745386E+00  -6.645108E-01   1.295028854E+00
    35    6926.886501   3.032480E-01   6.171061E+14    8.38774E+34   1.340239266E+00  -5.990207E-01   1.423609564E+00
    36    7431.941134   2.645745E-01   5.317100E+14    5.26924E+34   1.434513692E+00  -5.457218E-01   1.543154910E+00
    37    7872.317169   2.311183E-01   4.586878E+14    3.22170E+34   1.515103465E+00  -5.037974E-01   1.646449613E+00
    38    8236.622816   2.036067E-01   3.993688E+14    1.90619E+34   1.579364128E+00  -4.719813E-01   1.729612952E+00
    39    8518.192440   1.778622E-01   3.445796E+14    1.10223E+34   1.625849339E+00  -4.490459E-01   1.790346618E+00
    40    8726.719474   1.552070E-01   2.970514E+14    6.22362E+33   1.657350327E+00  -4.329608E-01   1.831875878E+00
    41    8873.916745   1.316726E-01   2.449093E+14    3.49430E+33   1.676990720E+00  -4.220656E-01   1.858163928E+00
    42    8979.586938   1.105995E-01   1.991380E+14    1.95496E+33   1.688823651E+00  -4.144845E-01   1.874460179E+00
    43    9055.132740   9.269508E-02   1.614994E+14    1.08577E+33   1.695836555E+00  -4.091922E-01   1.884409770E+00
    44    9108.323667   7.633134E-02   1.290360E+14    6.01109E+32   1.699886582E+00  -4.055319E-01   1.890330824E+00
    45    9145.911819   5.469734E-02   9.231265E+13    3.46569E+32   1.702066920E+00  -4.029791E-01   1.893564740E+00
    46    9176.615572   3.869612E-02   6.522283E+13    1.99909E+32   1.703347126E+00  -4.009156E-01   1.895463345E+00
    47    9201.961972   2.718036E-02   4.576544E+13    1.15752E+32   1.704093408E+00  -3.992272E-01   1.896569641E+00
    48    9223.071136   1.906826E-02   3.207435E+13    6.69858E+31   1.704531617E+00  -3.978317E-01   1.897219047E+00
    49    9240.636099   1.333367E-02   2.240907E+13    3.87915E+31   1.704787797E+00  -3.966779E-01   1.897598608E+00
    50    9255.288907   9.321349E-03   1.565236E+13    2.24555E+31   1.704937618E+00  -3.957206E-01   1.897820556E+00
    51    9267.497847   6.448724E-03   1.082507E+13    1.30349E+31   1.705024692E+00  -3.949266E-01   1.897949523E+00
    52    9277.790875   4.354953E-03   7.306939E+12    7.61144E+30   1.705075146E+00  -3.942598E-01   1.898024225E+00
    53    9286.728287   2.724893E-03   4.569570E+12    4.52236E+30   1.705104042E+00  -3.936826E-01   1.898067005E+00
    54    9295.246103   1.655604E-03   2.775067E+12    2.74595E+30   1.705120740E+00  -3.931342E-01   1.898091725E+00
    55    9303.787464   8.985412E-04   1.504792E+12    1.72412E+30   1.705130390E+00  -3.925859E-01   1.898106012E+00
    56    9313.704813   5.054800E-04   8.457653E+11    1.07996E+30   1.705136503E+00  -3.919513E-01   1.898115066E+00
    57    9324.793387   2.275339E-04   3.801890E+11    6.75630E+29   1.705140362E+00  -3.912442E-01   1.898120782E+00
    58    9340.275626   1.455094E-04   2.429813E+11    4.05524E+29   1.705142958E+00  -3.902615E-01   1.898124629E+00
    59    9354.894504   9.592843E-05   1.601057E+11    2.40150E+29   1.705144561E+00  -3.893383E-01   1.898127003E+00
    60    9368.101001   6.215829E-05   1.036096E+11    1.42864E+29   1.705145511E+00  -3.885083E-01   1.898128411E+00
    61    9380.297607   4.111353E-05   6.851000E+10    8.47216E+28   1.705146083E+00  -3.877450E-01   1.898129259E+00
    62    9391.283065   2.684215E-05   4.469550E+10    4.98823E+28   1.705146429E+00  -3.870602E-01   1.898129770E+00
    63    9401.235512   1.785663E-05   2.972711E+10    2.94517E+28   1.705146632E+00  -3.864420E-01   1.898130071E+00
    64    9410.101394   1.168312E-05   1.943762E+10    1.73935E+28   1.705146753E+00  -3.858930E-01   1.898130250E+00
    65    9418.133902   7.556387E-06   1.256940E+10    1.03037E+28   1.705146824E+00  -3.853970E-01   1.898130356E+00
    66    9425.512804   5.069133E-06   8.428766E+09    6.04466E+27   1.705146867E+00  -3.849426E-01   1.898130419E+00
    67    9431.984934   3.378611E-06   5.615929E+09    3.54850E+27   1.705146893E+00  -3.845449E-01   1.898130457E+00
    68    9437.700309   2.243041E-06   3.726719E+09    2.09126E+27   1.705146907E+00  -3.841945E-01   1.898130479E+00
    69    9442.786207   1.505398E-06   2.500835E+09    1.22635E+27   1.705146916E+00  -3.838832E-01   1.898130492E+00
    70    9447.238531   1.010897E-06   1.678832E+09    7.18988E+26   1.705146921E+00  -3.836111E-01   1.898130500E+00
    71    9451.133006   6.466613E-07   1.073741E+09    4.23679E+26   1.705146925E+00  -3.833734E-01   1.898130504E+00
    72    9454.725965   4.325631E-07   7.181011E+08    2.49195E+26   1.705146926E+00  -3.831544E-01   1.898130507E+00
    73    9457.889792   2.909302E-07   4.829368E+08    1.45993E+26   1.705146927E+00  -3.829618E-01   1.898130508E+00
    74    9460.648970   1.953833E-07   3.243860E+08    8.55250E+25   1.705146928E+00  -3.827940E-01   1.898130509E+00
    75    9463.057694   1.293037E-07   2.145992E+08    5.07575E+25   1.705146928E+00  -3.826476E-01   1.898130510E+00
    76    9465.220358   8.725663E-08   1.448061E+08    2.96952E+25   1.705146929E+00  -3.825163E-01   1.898130510E+00
