       6     141      40      56

     EOS file :  Prof_B0_1.2.dat                                             

  step        radius       baryon#       density        pressure       encl. mass            phi     encl. bar. mass 
                (m)        (#/fm3)       (g/cm3)        (dyn/cm2)      (sol. mass)                     (sol. mass)   

     0       0.000000   2.658818E+01   8.481302E+16    1.16690E+38   0.000000000E+00  -3.431712E+00   0.000000000E+00
     1     100.000001   2.635223E+01   8.398267E+16    1.15211E+38   1.772974205E-04  -3.424000E+00   9.328733812E-05
     2     116.572447   2.627190E+01   8.370016E+16    1.14709E+38   2.804295989E-04  -3.421363E+00   1.476618367E-04
     3     135.870861   2.616346E+01   8.331891E+16    1.14032E+38   4.429542161E-04  -3.417791E+00   2.334776689E-04
     4     158.324061   2.601751E+01   8.280609E+16    1.13123E+38   6.983858891E-04  -3.412964E+00   3.686221405E-04
     5     184.419397   2.582189E+01   8.211919E+16    1.11908E+38   1.098387732E-03  -3.406457E+00   5.808324986E-04
     6     214.705366   2.556110E+01   8.120425E+16    1.10295E+38   1.721772923E-03  -3.397715E+00   9.127651055E-04
     7     249.791419   2.521587E+01   7.999459E+16    1.08169E+38   2.687106423E-03  -3.386023E+00   1.429300053E-03
     8     290.343375   2.476310E+01   7.841072E+16    1.05401E+38   4.169471351E-03  -3.370476E+00   2.227689760E-03
     9     337.072670   2.417642E+01   7.636290E+16    1.01846E+38   6.421133469E-03  -3.349959E+00   3.450950067E-03
    10     390.717892   2.342788E+01   7.375758E+16    9.73645E+37   9.794028730E-03  -3.323144E+00   5.304251492E-03
    11     452.018105   2.249116E+01   7.050943E+16    9.18425E+37   1.475896297E-02  -3.288521E+00   8.072780474E-03
    12     521.679765   2.134646E+01   6.655922E+16    8.52281E+37   2.191255717E-02  -3.244473E+00   1.213756383E-02
    13     600.342432   1.998671E+01   6.189544E+16    7.75679E+37   3.196006920E-02  -3.189413E+00   1.798353926E-02
    14     688.552174   1.842351E+01   5.657454E+16    6.90357E+37   4.566359361E-02  -3.121968E+00   2.619292663E-02
    15     786.753497   1.669074E+01   5.073116E+16    5.99368E+37   6.375404211E-02  -3.041186E+00   3.741840703E-02
    16     895.308797   1.484362E+01   4.457133E+16    5.06770E+37   8.682122143E-02  -2.946720E+00   5.233572613E-02
    17    1014.548388   1.295232E+01   3.834633E+16    4.16979E+37   1.152120622E-01  -2.838938E+00   7.158284849E-02
    18    1144.846851   1.109167E+01   3.231373E+16    3.33998E+37   1.489716681E-01  -2.718920E+00   9.569913267E-02
    19    1286.716607   9.329895E+00   2.669777E+16    2.60769E+37   1.878495301E-01  -2.588360E+00   1.250795995E-01
    20    1440.909513   7.719883E+00   2.166087E+16    1.98858E+37   2.313696777E-01  -2.449390E+00   1.599554143E-01
    21    1608.520425   6.294829E+00   1.729243E+16    1.48501E+37   2.789419431E-01  -2.304371E+00   2.004044952E-01
    22    1791.090199   5.068345E+00   1.361369E+16    1.08908E+37   3.299823274E-01  -2.155699E+00   2.463889677E-01
    23    1990.707466   4.037792E+00   1.059287E+16    7.86684E+36   3.840150767E-01  -2.005637E+00   2.978112135E-01
    24    2210.109007   3.189087E+00   8.164068E+15    5.61265E+36   4.407417093E-01  -1.856203E+00   3.545782634E-01
    25    2452.778403   2.501541E+00   6.244663E+15    3.96524E+36   5.000755113E-01  -1.709099E+00   4.166650588E-01
    26    2723.042755   1.951844E+00   4.748635E+15    2.78019E+36   5.621490244E-01  -1.565695E+00   4.841698863E-01
    27    3026.167281   1.516886E+00   3.595169E+15    1.93823E+36   6.273054317E-01  -1.427035E+00   5.573589130E-01
    28    3368.447108   1.175451E+00   2.713211E+15    1.34567E+36   6.960837253E-01  -1.293873E+00   6.366999615E-01
    29    3757.294363   9.124912E-01   2.052242E+15    9.31415E+35   7.692606530E-01  -1.166715E+00   7.229447035E-01
    30    4199.785029   7.224178E-01   1.588266E+15    6.41188E+35   8.486630854E-01  -1.046137E+00   8.179921459E-01
    31    4694.343436   5.849592E-01   1.261329E+15    4.38303E+35   9.356540907E-01  -9.341080E-01   9.232527437E-01
    32    5232.026950   4.841142E-01   1.026660E+15    2.96848E+35   1.030462417E+00  -8.323661E-01   1.038953524E+00
    33    5796.681002   4.087167E-01   8.541143E+14    1.98522E+35   1.131718975E+00  -7.421554E-01   1.163547048E+00
    34    6366.048054   3.507692E-01   7.232224E+14    1.30549E+35   1.236076624E+00  -6.642166E-01   1.293130929E+00
    35    6914.562104   3.045754E-01   6.200531E+14    8.40429E+34   1.338335270E+00  -5.987866E-01   1.421399243E+00
    36    7417.351194   2.661323E-01   5.351312E+14    5.27602E+34   1.432355868E+00  -5.455913E-01   1.540599621E+00
    37    7854.663218   2.329749E-01   4.627169E+14    3.22208E+34   1.512662269E+00  -5.038313E-01   1.643501132E+00
    38    8215.014998   2.038046E-01   3.997930E+14    1.91361E+34   1.576035848E+00  -4.722468E-01   1.725535565E+00
    39    8496.339050   1.780409E-01   3.449569E+14    1.10650E+34   1.622290185E+00  -4.492496E-01   1.785979829E+00
    40    8704.738369   1.553399E-01   2.973281E+14    6.24843E+33   1.653642536E+00  -4.331218E-01   1.827318709E+00
    41    8851.918579   1.318203E-01   2.452352E+14    3.50737E+33   1.673207984E+00  -4.221944E-01   1.853505716E+00
    42    8957.527415   1.107242E-01   1.994043E+14    1.96231E+33   1.684991411E+00  -4.145955E-01   1.869732527E+00
    43    9033.037582   9.280001E-02   1.617163E+14    1.08987E+33   1.691976057E+00  -4.092907E-01   1.879641044E+00
    44    9086.207665   7.650103E-02   1.293243E+14    6.03319E+32   1.696010792E+00  -4.056215E-01   1.885539261E+00
    45    9123.746012   5.481905E-02   9.251907E+13    3.47844E+32   1.698182531E+00  -4.030651E-01   1.888760677E+00
    46    9154.409701   3.878632E-02   6.537531E+13    2.00631E+32   1.699457857E+00  -4.009986E-01   1.890652193E+00
    47    9179.719051   2.724376E-02   4.587251E+13    1.16170E+32   1.700201182E+00  -3.993081E-01   1.891754189E+00
    48    9200.797602   1.911331E-02   3.215031E+13    6.72276E+31   1.700637664E+00  -3.979109E-01   1.892401083E+00
    49    9218.336734   1.336519E-02   2.246216E+13    3.89316E+31   1.700892837E+00  -3.967557E-01   1.892779179E+00
    50    9232.968107   9.343391E-03   1.568946E+13    2.25367E+31   1.701042071E+00  -3.957972E-01   1.893000273E+00
    51    9245.159264   6.464386E-03   1.085138E+13    1.30814E+31   1.701128809E+00  -3.950022E-01   1.893128753E+00
    52    9255.436296   4.366232E-03   7.325889E+12    7.63770E+30   1.701179073E+00  -3.943346E-01   1.893203179E+00
    53    9264.357328   2.733264E-03   4.583620E+12    4.53627E+30   1.701207867E+00  -3.937570E-01   1.893245811E+00
    54    9272.852316   1.660690E-03   2.783600E+12    2.75439E+30   1.701224491E+00  -3.932086E-01   1.893270423E+00
    55    9281.370782   9.016806E-04   1.510060E+12    1.72878E+30   1.701234104E+00  -3.926603E-01   1.893284657E+00
    56    9291.253698   5.070127E-04   8.483310E+11    1.08292E+30   1.701240188E+00  -3.920261E-01   1.893293668E+00
    57    9302.309273   2.281764E-04   3.812627E+11    6.77587E+29   1.701244027E+00  -3.913193E-01   1.893299355E+00
    58    9317.751020   1.458790E-04   2.435984E+11    4.06770E+29   1.701246610E+00  -3.903365E-01   1.893303184E+00
    59    9332.338341   9.618429E-05   1.605337E+11    2.40907E+29   1.701248206E+00  -3.894128E-01   1.893305547E+00
    60    9345.515633   6.232229E-05   1.038832E+11    1.43317E+29   1.701249152E+00  -3.885824E-01   1.893306949E+00
    61    9357.685952   4.121513E-05   6.867939E+10    8.50007E+28   1.701249722E+00  -3.878187E-01   1.893307793E+00
    62    9368.650901   2.692199E-05   4.482881E+10    5.00442E+28   1.701250066E+00  -3.871333E-01   1.893308302E+00
    63    9378.579269   1.790342E-05   2.980525E+10    2.95548E+28   1.701250268E+00  -3.865149E-01   1.893308602E+00
    64    9387.429092   1.171415E-05   1.948936E+10    1.74520E+28   1.701250388E+00  -3.859655E-01   1.893308780E+00
    65    9395.445688   7.574974E-06   1.260030E+10    1.03375E+28   1.701250460E+00  -3.854692E-01   1.893308886E+00
    66    9402.810916   5.081597E-06   8.449551E+09    6.06453E+27   1.701250502E+00  -3.850144E-01   1.893308949E+00
    67    9409.271011   3.387281E-06   5.630360E+09    3.56014E+27   1.701250528E+00  -3.846164E-01   1.893308986E+00
    68    9414.975139   2.248555E-06   3.735883E+09    2.09814E+27   1.701250542E+00  -3.842657E-01   1.893309008E+00
    69    9420.051652   1.509092E-06   2.506977E+09    1.23038E+27   1.701250551E+00  -3.839541E-01   1.893309021E+00
    70    9424.495781   1.013378E-06   1.682955E+09    7.21355E+26   1.701250556E+00  -3.836818E-01   1.893309029E+00
    71    9428.383093   6.488380E-07   1.077366E+09    4.25037E+26   1.701250559E+00  -3.834439E-01   1.893309033E+00
    72    9431.965854   4.337430E-07   7.200606E+08    2.50111E+26   1.701250561E+00  -3.832250E-01   1.893309036E+00
    73    9435.124213   2.917215E-07   4.842496E+08    1.46530E+26   1.701250562E+00  -3.830322E-01   1.893309038E+00
    74    9437.878658   1.959906E-07   3.253959E+08    8.58361E+25   1.701250563E+00  -3.828642E-01   1.893309039E+00
    75    9440.282208   1.296682E-07   2.152042E+08    5.09526E+25   1.701250563E+00  -3.827178E-01   1.893309039E+00
    76    9442.441304   8.750262E-08   1.452144E+08    2.98094E+25   1.701250563E+00  -3.825863E-01   1.893309039E+00
