       6     141      40      56

     EOS file :  Prof_B32_1.9.dat                                            

  step        radius       baryon#       density        pressure       encl. mass            phi     encl. bar. mass 
                (m)        (#/fm3)       (g/cm3)        (dyn/cm2)      (sol. mass)                     (sol. mass)   

    51    9470.258892   4.730327E-03   7.937681E+12    8.49714E+30   1.899930621E+00  -4.525074E-01   2.141091352E+00
    52    9477.902448   3.020781E-03   5.066269E+12    5.01410E+30   1.899958865E+00  -4.519142E-01   2.141135669E+00
    53    9484.989591   1.835224E-03   3.076446E+12    3.04427E+30   1.899974906E+00  -4.513657E-01   2.141160838E+00
    54    9492.093917   1.014973E-03   1.700066E+12    1.88690E+30   1.899984369E+00  -4.508173E-01   2.141175686E+00
    55    9500.081930   5.604107E-04   9.377224E+11    1.18553E+30   1.899990127E+00  -4.502024E-01   2.141184725E+00
    56    9509.205922   3.355673E-04   5.612771E+11    7.27527E+29   1.899993906E+00  -4.495021E-01   2.141190656E+00
    57    9518.591121   1.711972E-04   2.859391E+11    4.93019E+29   1.899995850E+00  -4.487843E-01   2.141193708E+00
    58    9531.112044   1.121358E-04   1.871409E+11    2.92611E+29   1.899997521E+00  -4.478304E-01   2.141196333E+00
    59    9542.520197   7.296135E-05   1.216751E+11    1.73274E+29   1.899998524E+00  -4.469650E-01   2.141197907E+00
    60    9552.954975   4.756126E-05   7.926033E+10    1.02871E+29   1.899999119E+00  -4.461766E-01   2.141198842E+00
    61    9562.502366   3.190039E-05   5.314274E+10    6.03864E+28   1.899999481E+00  -4.454578E-01   2.141199409E+00
    62    9570.891371   2.081576E-05   3.466292E+10    3.61428E+28   1.899999688E+00  -4.448283E-01   2.141199735E+00
    63    9578.613306   1.375725E-05   2.289316E+10    2.12459E+28   1.899999816E+00  -4.442505E-01   2.141199936E+00
    64    9585.506126   8.964773E-06   1.491072E+10    1.25851E+28   1.899999891E+00  -4.437361E-01   2.141200053E+00
    65    9591.791014   5.931151E-06   9.866653E+09    7.45601E+27   1.899999935E+00  -4.432681E-01   2.141200122E+00
    66    9597.431204   3.980118E-06   6.617180E+09    4.37480E+27   1.899999962E+00  -4.428491E-01   2.141200164E+00
    67    9602.376162   2.632081E-06   4.373613E+09    2.57929E+27   1.899999977E+00  -4.424824E-01   2.141200189E+00
    68    9606.795292   1.762760E-06   2.928547E+09    1.51485E+27   1.899999987E+00  -4.421552E-01   2.141200204E+00
    69    9610.677806   1.183473E-06   1.965675E+09    8.88187E+26   1.899999992E+00  -4.418682E-01   2.141200212E+00
    70    9614.074224   7.947808E-07   1.320312E+09    5.20655E+26   1.899999995E+00  -4.416175E-01   2.141200217E+00
    71    9617.042156   5.133604E-07   8.522875E+08    3.13845E+26   1.899999997E+00  -4.413986E-01   2.141200220E+00
    72    9619.816625   3.451792E-07   5.729845E+08    1.83873E+26   1.899999998E+00  -4.411942E-01   2.141200222E+00
    73    9622.236974   2.322782E-07   3.856210E+08    1.07690E+26   1.899999999E+00  -4.410161E-01   2.141200223E+00
    74    9624.345172   1.521731E-07   2.525615E+08    6.33723E+25   1.899999999E+00  -4.408610E-01   2.141200224E+00
    75    9626.240858   1.026884E-07   1.704205E+08    3.70750E+25   1.900000000E+00  -4.407217E-01   2.141200224E+00
    76    9627.885613   6.938271E-08   1.151330E+08    2.16866E+25   1.900000000E+00  -4.406009E-01   2.141200224E+00
    77    9629.310569   4.697048E-08   7.792500E+07    1.26728E+25   1.900000000E+00  -4.404963E-01   2.141200224E+00
    78    9630.541512   3.188409E-08   5.289571E+07    7.40214E+24   1.900000000E+00  -4.404060E-01   2.141200224E+00
    79    9631.601203   2.167411E-08   3.596261E+07    4.31836E+24   1.900000000E+00  -4.403283E-01   2.141200224E+00
    80    9632.510870   1.480364E-08   2.456163E+07    2.51613E+24   1.900000000E+00  -4.402616E-01   2.141200224E+00
    81    9633.287188   1.012175E-08   1.679186E+07    1.46492E+24   1.900000000E+00  -4.402047E-01   2.141200224E+00
    82    9633.948498   6.963474E-09   1.155089E+07    8.51057E+23   1.900000000E+00  -4.401563E-01   2.141200224E+00
    83    9634.507150   4.767676E-09   7.907677E+06    4.94671E+23   1.900000000E+00  -4.401153E-01   2.141200224E+00
    84    9634.981564   3.257142E-09   5.402213E+06    2.89998E+23   1.900000000E+00  -4.400806E-01   2.141200224E+00
    85    9635.388747   2.265589E-09   3.757500E+06    1.67784E+23   1.900000000E+00  -4.400508E-01   2.141200224E+00
    86    9635.727502   1.576014E-09   2.613733E+06    9.70704E+22   1.900000000E+00  -4.400260E-01   2.141200224E+00
    87    9636.009285   1.107203E-09   1.836353E+06    5.59560E+22   1.900000000E+00  -4.400053E-01   2.141200224E+00
    88    9636.240506   7.778438E-10   1.290177E+06    3.22555E+22   1.900000000E+00  -4.399884E-01   2.141200224E+00
    89    9636.430233   5.486609E-10   9.100514E+05    1.85850E+22   1.900000000E+00  -4.399745E-01   2.141200224E+00
    90    9636.585222   3.888523E-10   6.449365E+05    1.06793E+22   1.900000000E+00  -4.399632E-01   2.141200224E+00
    91    9636.710899   2.755906E-10   4.570535E+05    6.13646E+21   1.900000000E+00  -4.399540E-01   2.141200224E+00
    92    9636.812806   1.963872E-10   3.256696E+05    3.52130E+21   1.900000000E+00  -4.399465E-01   2.141200224E+00
    93    9636.894878   1.401770E-10   2.324333E+05    2.01813E+21   1.900000000E+00  -4.399405E-01   2.141200224E+00
    94    9636.960785   1.000481E-10   1.658775E+05    1.15662E+21   1.900000000E+00  -4.399357E-01   2.141200224E+00
    95    9637.013714   7.185042E-11   1.191362E+05    6.61341E+20   1.900000000E+00  -4.399318E-01   2.141200224E+00
    96    9637.055853   5.159998E-11   8.556571E+04    3.78147E+20   1.900000000E+00  -4.399287E-01   2.141200224E+00
    97    9637.089402   3.710609E-11   6.153543E+04    2.16185E+20   1.900000000E+00  -4.399263E-01   2.141200224E+00
    98    9637.116071   2.679718E-11   4.444030E+04    1.23360E+20   1.900000000E+00  -4.399243E-01   2.141200224E+00
    99    9637.137144   1.935231E-11   3.209435E+04    7.03917E+19   1.900000000E+00  -4.399228E-01   2.141200224E+00
   100    9637.153794   1.401716E-11   2.324670E+04    4.01530E+19   1.900000000E+00  -4.399216E-01   2.141200224E+00
   101    9637.166906   1.019275E-11   1.690418E+04    2.28538E+19   1.900000000E+00  -4.399206E-01   2.141200224E+00
   102    9637.177170   7.411781E-12   1.229212E+04    1.30077E+19   1.900000000E+00  -4.399198E-01   2.141200224E+00
   103    9637.185203   5.396408E-12   8.950096E+03    7.40241E+18   1.900000000E+00  -4.399193E-01   2.141200224E+00
   104    9637.191482   3.933042E-12   6.523622E+03    4.20950E+18   1.900000000E+00  -4.399188E-01   2.141200224E+00
   105    9637.196380   2.866503E-12   4.754992E+03    2.39380E+18   1.900000000E+00  -4.399184E-01   2.141200224E+00
   106    9637.200202   2.089181E-12   3.465858E+03    1.36127E+18   1.900000000E+00  -4.399182E-01   2.141200224E+00
   107    9637.203184   1.522649E-12   2.526224E+03    7.74109E+17   1.900000000E+00  -4.399179E-01   2.141200224E+00
