       6     151      48      66

     EOS file :  /Users/jkopp/cernbox/ns-muons/packages/nscool/EOS/MF_B31.dat

  step        radius       baryon#       density        pressure       encl. mass            phi     encl. bar. mass 
                (m)        (#/fm3)       (g/cm3)        (dyn/cm2)      (sol. mass)                     (sol. mass)   

     0       0.000000   2.481936E-01   4.958482E+14    4.77327E+34   0.000000000E+00  -3.492296E-01   0.000000000E+00
     1      10.000000   2.481935E-01   4.958480E+14    4.77326E+34   1.044244772E-09  -3.492295E-01   8.753690683E-10
     2      11.666665   2.481935E-01   4.958479E+14    4.77326E+34   1.658221475E-09  -3.492294E-01   1.390053252E-09
     3      13.611108   2.481935E-01   4.958478E+14    4.77326E+34   2.633193125E-09  -3.492294E-01   2.207352223E-09
     4      15.879623   2.481934E-01   4.958477E+14    4.77325E+34   4.181410666E-09  -3.492293E-01   3.505191745E-09
     5      18.526223   2.481933E-01   4.958475E+14    4.77325E+34   6.639919908E-09  -3.492292E-01   5.566110734E-09
     6      21.613921   2.481932E-01   4.958473E+14    4.77324E+34   1.054393532E-08  -3.492291E-01   8.838769212E-09
     7      25.216232   2.481931E-01   4.958470E+14    4.77324E+34   1.674335378E-08  -3.492289E-01   1.403561984E-08
     8      29.418922   2.481929E-01   4.958466E+14    4.77322E+34   2.658777169E-08  -3.492287E-01   2.228800492E-08
     9      34.322052   2.481926E-01   4.958460E+14    4.77321E+34   4.222028003E-08  -3.492284E-01   3.539244088E-08
    10      40.042356   2.481923E-01   4.958452E+14    4.77319E+34   6.704398881E-08  -3.492279E-01   5.620170061E-08
    11      46.716022   2.481918E-01   4.958442E+14    4.77316E+34   1.064628261E-07  -3.492273E-01   8.924581988E-08
    12      54.501931   2.481912E-01   4.958427E+14    4.77312E+34   1.690578469E-07  -3.492265E-01   1.417181939E-07
    13      63.585435   2.481903E-01   4.958408E+14    4.77306E+34   2.684550535E-07  -3.492254E-01   2.250413786E-07
    14      74.182768   2.481890E-01   4.958381E+14    4.77299E+34   4.262911796E-07  -3.492239E-01   3.573533446E-07
    15      86.546182   2.481874E-01   4.958345E+14    4.77289E+34   6.769227115E-07  -3.492219E-01   5.674551660E-07
    16     100.969941   2.481851E-01   4.958296E+14    4.77275E+34   1.074902490E-06  -3.492191E-01   9.010789618E-07
    17     117.797305   2.481821E-01   4.958229E+14    4.77257E+34   1.706849787E-06  -3.492154E-01   1.430839331E-06
    18     137.428666   2.481779E-01   4.958138E+14    4.77231E+34   2.710294173E-06  -3.492102E-01   2.272031929E-06
    19     160.331024   2.481722E-01   4.958013E+14    4.77197E+34   4.303587262E-06  -3.492033E-01   3.607712502E-06
    20     187.049019   2.481645E-01   4.957844E+14    4.77150E+34   6.833376350E-06  -3.491938E-01   5.728503093E-06
    21     218.217756   2.481539E-01   4.957614E+14    4.77086E+34   1.084993655E-05  -3.491808E-01   9.095763080E-06
    22     254.577695   2.481396E-01   4.957301E+14    4.76999E+34   1.722667828E-05  -3.491632E-01   1.444181661E-05
    23     296.991931   2.481201E-01   4.956875E+14    4.76881E+34   2.734966760E-05  -3.491393E-01   2.292892463E-05
    24     346.466168   2.480935E-01   4.956296E+14    4.76720E+34   4.341803116E-05  -3.491067E-01   3.640132625E-05
    25     404.171761   2.480574E-01   4.955507E+14    4.76501E+34   6.891980850E-05  -3.490624E-01   5.778460651E-05
    26     471.472178   2.480083E-01   4.954434E+14    4.76204E+34   1.093850434E-04  -3.490021E-01   9.171801225E-05
    27     549.953182   2.479414E-01   4.952974E+14    4.75799E+34   1.735761784E-04  -3.489201E-01   1.455545227E-04
    28     641.456998   2.478505E-01   4.950988E+14    4.75249E+34   2.753665399E-04  -3.488085E-01   2.309402528E-04
    29     748.120466   2.477268E-01   4.948288E+14    4.74501E+34   4.366978780E-04  -3.486569E-01   3.663038191E-04
    30     872.416904   2.475587E-01   4.944617E+14    4.73487E+34   6.922222213E-04  -3.484509E-01   5.807692244E-04
    31    1017.200761   2.473302E-01   4.939629E+14    4.72110E+34   1.096555954E-03  -3.481712E-01   9.202832558E-04
    32    1185.753124   2.470200E-01   4.932857E+14    4.70245E+34   1.735549043E-03  -3.477917E-01   1.457161272E-03
    33    1381.824556   2.465990E-01   4.923670E+14    4.67723E+34   2.743648416E-03  -3.472775E-01   2.304852594E-03
    34    1609.669113   2.460285E-01   4.911220E+14    4.64320E+34   4.330345864E-03  -3.465817E-01   3.640553610E-03
    35    1874.059481   2.452564E-01   4.894377E+14    4.59741E+34   6.819817177E-03  -3.456423E-01   5.739359410E-03
    36    2180.267261   2.442198E-01   4.871775E+14    4.53606E+34   1.070902100E-02  -3.443778E-01   9.024863055E-03
    37    2533.975655   2.428253E-01   4.841384E+14    4.45433E+34   1.674982284E-02  -3.426823E-01   1.414183104E-02
    38    2941.116221   2.409403E-01   4.800330E+14    4.34626E+34   2.605937295E-02  -3.404209E-01   2.205631365E-02
    39    3407.573884   2.383965E-01   4.744979E+14    4.20483E+34   4.025565267E-02  -3.374263E-01   3.418377614E-02
    40    3938.666984   2.350180E-01   4.671522E+14    4.02222E+34   6.160330839E-02  -3.334982E-01   5.253744274E-02
    41    4538.304173   2.306080E-01   4.575818E+14    3.79062E+34   9.311937159E-02  -3.284108E-01   7.986028937E-02
    42    5207.797775   2.247706E-01   4.449378E+14    3.50392E+34   1.384989577E-01  -3.219327E-01   1.196284823E-01
    43    5944.845440   2.172127E-01   4.286146E+14    3.15968E+34   2.018169801E-01  -3.138609E-01   1.758780589E-01
    44    6741.753726   2.075548E-01   4.078345E+14    2.76241E+34   2.866421128E-01  -3.040796E-01   2.525146813E-01
    45    7584.474648   1.954218E-01   3.818672E+14    2.32629E+34   3.946048704E-01  -2.926318E-01   3.520525688E-01
    46    8452.695427   1.803188E-01   3.497726E+14    1.87617E+34   5.236553184E-01  -2.797822E-01   4.738660042E-01
    47    9323.113712   1.607954E-01   3.087088E+14    1.44465E+34   6.668350938E-01  -2.660127E-01   6.126302955E-01
    48   10181.206694   1.348742E-01   2.550364E+14    1.06461E+34   8.129917037E-01  -2.518337E-01   7.584499831E-01
    49   11038.875787   8.988781E-02   1.646265E+14    7.82958E+33   9.394197306E-01  -2.375144E-01   8.892929802E-01
    50   12116.739307   8.797795E-02   1.590208E+14    5.17637E+33   1.087286173E+00  -2.200900E-01   1.047420551E+00
    51   12963.732002   8.588106E-02   1.529514E+14    3.25210E+33   1.218692922E+00  -2.067974E-01   1.191196842E+00
    52   13583.794550   8.359987E-02   1.464511E+14    1.93591E+33   1.322157678E+00  -1.972267E-01   1.307068313E+00
    53   14004.391787   8.117369E-02   1.396560E+14    1.09759E+33   1.394606439E+00  -1.908026E-01   1.390084890E+00
    54   14270.240753   7.636088E-02   1.290862E+14    6.01494E+32   1.440185749E+00  -1.867718E-01   1.443472254E+00
    55   14434.225215   5.538753E-02   9.348325E+13    3.53825E+32   1.463836717E+00  -1.843023E-01   1.471504821E+00
    56   14570.686067   3.953894E-02   6.664762E+13    2.06685E+32   1.478333367E+00  -1.822669E-01   1.488723367E+00
    57   14684.855847   2.792790E-02   4.702786E+13    1.20714E+32   1.487055614E+00  -1.805832E-01   1.499092692E+00
    58   14781.067065   1.967536E-02   3.309802E+13    7.02698E+31   1.492311881E+00  -1.791810E-01   1.505344553E+00
    59   14861.880739   1.379560E-02   2.318730E+13    4.08624E+31   1.495449537E+00  -1.780163E-01   1.509077431E+00
    60   14929.844236   9.663206E-03   1.622780E+13    2.37252E+31   1.497316068E+00  -1.770466E-01   1.511298355E+00
    61   14986.856179   6.701644E-03   1.124993E+13    1.37929E+31   1.498417192E+00  -1.762405E-01   1.512608557E+00
    62   15035.113800   4.542779E-03   7.622534E+12    8.05159E+30   1.499063375E+00  -1.755634E-01   1.513377205E+00
    63   15077.018289   2.868062E-03   4.809897E+12    4.76029E+30   1.499438652E+00  -1.749795E-01   1.513823594E+00
    64   15116.546467   1.744281E-03   2.923852E+12    2.89322E+30   1.499654041E+00  -1.744321E-01   1.514079792E+00
    65   15156.317849   9.573411E-04   1.603395E+12    1.80641E+30   1.499780839E+00  -1.738849E-01   1.514230628E+00
    66   15201.879999   5.338123E-04   8.931947E+11    1.13454E+30   1.499860181E+00  -1.732621E-01   1.514325050E+00
    67   15253.613923   2.396251E-04   4.003929E+11    7.12476E+29   1.499910707E+00  -1.725603E-01   1.514385183E+00
    68   15326.643073   1.526557E-04   2.549118E+11    4.29728E+29   1.499945160E+00  -1.715794E-01   1.514426205E+00
    69   15396.636879   1.010213E-04   1.686259E+11    2.55280E+29   1.499966863E+00  -1.706497E-01   1.514452034E+00
    70   15460.198549   6.549998E-05   1.091893E+11    1.52155E+29   1.499979943E+00  -1.698143E-01   1.514467602E+00
    71   15519.295991   4.315680E-05   7.191667E+10    9.03777E+28   1.499987918E+00  -1.690448E-01   1.514477095E+00
    72   15573.091039   2.848829E-05   4.744440E+10    5.32291E+28   1.499992792E+00  -1.683505E-01   1.514482896E+00
    73   15621.524800   1.883363E-05   3.135878E+10    3.16246E+28   1.499995669E+00  -1.677303E-01   1.514486318E+00
    74   15665.392092   1.234114E-05   2.053486E+10    1.86429E+28   1.499997420E+00  -1.671726E-01   1.514488402E+00
    75   15705.153750   8.000768E-06   1.330816E+10    1.10330E+28   1.499998459E+00  -1.666702E-01   1.514489638E+00
    76   15741.687386   5.350021E-06   8.897227E+09    6.49633E+27   1.499999085E+00  -1.662114E-01   1.514490382E+00
