       6     155      55      70

     EOS file :  /Users/jkopp/cernbox/ns-muons/packages/nscool/EOS/nl3wr_test

  step        radius       baryon#       density        pressure       encl. mass            phi     encl. bar. mass 
                (m)        (#/fm3)       (g/cm3)        (dyn/cm2)      (sol. mass)                     (sol. mass)   

     0       0.000000   2.751768E+00   1.714957E+16    1.33517E+37   0.000000000E+00  -2.425170E+00   0.000000000E+00
     1      10.000000   2.751738E+00   1.714923E+16    1.33514E+37   3.611603430E-08  -2.425160E+00   9.705322920E-09
     2      11.666650   2.751728E+00   1.714911E+16    1.33513E+37   5.735052340E-08  -2.425156E+00   1.541162304E-08
     3      13.611070   2.751714E+00   1.714896E+16    1.33512E+37   9.106965389E-08  -2.425151E+00   2.447294828E-08
     4      15.879551   2.751695E+00   1.714874E+16    1.33510E+37   1.446134079E-07  -2.425145E+00   3.886185015E-08
     5      18.526098   2.751669E+00   1.714845E+16    1.33507E+37   2.296367958E-07  -2.425136E+00   6.171057570E-08
     6      21.613712   2.751634E+00   1.714805E+16    1.33504E+37   3.646462258E-07  -2.425124E+00   9.799281893E-08
     7      25.215889   2.751586E+00   1.714751E+16    1.33499E+37   5.790263430E-07  -2.425108E+00   1.556061933E-07
     8      29.418367   2.751521E+00   1.714677E+16    1.33493E+37   9.194327252E-07  -2.425086E+00   2.470908904E-07
     9      34.321158   2.751432E+00   1.714577E+16    1.33484E+37   1.459939412E-06  -2.425056E+00   3.923582687E-07
    10      40.040922   2.751311E+00   1.714440E+16    1.33472E+37   2.318144514E-06  -2.425015E+00   6.230225034E-07
    11      46.713728   2.751147E+00   1.714254E+16    1.33456E+37   3.680727426E-06  -2.424959E+00   9.892763883E-07
    12      54.498270   2.750923E+00   1.714001E+16    1.33434E+37   5.843994046E-06  -2.424883E+00   1.570804028E-06
    13      63.579601   2.750618E+00   1.713657E+16    1.33405E+37   9.278177577E-06  -2.424780E+00   2.494097200E-06
    14      74.173479   2.750204E+00   1.713189E+16    1.33364E+37   1.472936552E-05  -2.424639E+00   3.959925922E-06
    15      86.531406   2.749640E+00   1.712552E+16    1.33309E+37   2.338096691E-05  -2.424448E+00   6.286902000E-06
    16     100.946450   2.748874E+00   1.711686E+16    1.33235E+37   3.710927738E-05  -2.424188E+00   9.980529705E-06
    17     117.759974   2.747831E+00   1.710508E+16    1.33133E+37   5.888749921E-05  -2.423834E+00   1.584258254E-05
    18     137.369367   2.746414E+00   1.708908E+16    1.32995E+37   9.342341934E-05  -2.423352E+00   2.514420089E-05
    19     160.236865   2.744487E+00   1.706734E+16    1.32807E+37   1.481636565E-04  -2.422698E+00   3.989949729E-05
    20     186.899562   2.741871E+00   1.703783E+16    1.32553E+37   2.348704353E-04  -2.421808E+00   6.329730722E-05
    21     217.980624   2.738320E+00   1.699782E+16    1.32207E+37   3.720870914E-04  -2.420599E+00   1.003809473E-04
    22     254.201644   2.733506E+00   1.694364E+16    1.31740E+37   5.889714928E-04  -2.418958E+00   1.591151360E-04
    23     296.395947   2.726988E+00   1.687042E+16    1.31109E+37   9.312101911E-04  -2.416733E+00   2.520535467E-04
    24     345.522382   2.718182E+00   1.677171E+16    1.30259E+37   1.470045429E-03  -2.413718E+00   3.989302083E-04
    25     402.678788   2.706312E+00   1.663908E+16    1.29117E+37   2.315850107E-03  -2.409640E+00   6.306552027E-04
    26     469.113768   2.690370E+00   1.646168E+16    1.27591E+37   3.638121877E-03  -2.404138E+00   9.954103088E-04
    27     546.234651   2.669056E+00   1.622585E+16    1.25566E+37   5.694076338E-03  -2.396737E+00   1.567813849E-03
    28     635.608584   2.640738E+00   1.591487E+16    1.22900E+37   8.867829021E-03  -2.386821E+00   2.462428586E-03
    29     738.952669   2.603416E+00   1.550915E+16    1.19430E+37   1.372075364E-02  -2.373607E+00   3.853134611E-03
    30     858.108366   2.554750E+00   1.498719E+16    1.14981E+37   2.104986795E-02  -2.356119E+00   5.999886869E-03
    31     994.995750   2.492160E+00   1.432770E+16    1.09384E+37   3.194375370E-02  -2.333185E+00   9.283781575E-03
    32    1151.545838   2.413053E+00   1.351329E+16    1.02511E+37   4.781420766E-02  -2.303451E+00   1.424970132E-02
    33    1329.615751   2.315217E+00   1.253575E+16    9.43202E+36   7.036944348E-02  -2.265450E+00   2.165272587E-02
    34    1530.902597   2.197350E+00   1.140201E+16    8.49083E+36   1.014902098E-01  -2.217718E+00   3.250026762E-02
    35    1756.886337   2.059651E+00   1.013892E+16    7.45427E+36   1.429882687E-01  -2.158971E+00   4.807824623E-02
    36    2008.843411   1.904208E+00   8.794749E+15    6.36603E+36   1.962781574E-01  -2.088320E+00   6.994988924E-02
    37    2287.954538   1.735389E+00   7.443084E+15    5.28080E+36   2.620989471E-01  -2.005460E+00   9.992135602E-02
    38    2595.228025   1.559643E+00   6.155369E+15    4.25446E+36   3.403644085E-01  -1.910874E+00   1.399630481E-01
    39    2931.748617   1.383803E+00   4.988855E+15    3.33300E+36   4.302231649E-01  -1.805834E+00   1.921163156E-01
    40    3298.893129   1.214408E+00   3.980276E+15    2.54479E+36   5.303592334E-01  -1.692277E+00   2.584212509E-01
    41    3698.323775   1.056043E+00   3.142753E+15    1.89892E+36   6.393625500E-01  -1.572622E+00   3.408724984E-01
    42    4131.775633   9.127156E-01   2.470747E+15    1.38873E+36   7.560139380E-01  -1.449553E+00   4.412959747E-01
    43    4600.418739   7.860288E-01   1.945696E+15    9.97697E+35   8.793890362E-01  -1.325873E+00   5.612492694E-01
    44    5103.942582   6.763185E-01   1.543493E+15    7.05190E+35   1.008766275E+00  -1.204372E+00   7.017144760E-01
    45    5639.245669   5.828298E-01   1.239286E+15    4.90610E+35   1.143301002E+00  -1.087756E+00   8.625856289E-01
    46    6199.040191   5.041295E-01   1.010574E+15    3.35714E+35   1.281570672E+00  -9.785728E-01   1.041960692E+00
    47    6770.705173   4.381801E-01   8.381966E+14    2.25514E+35   1.421035248E+00  -8.791236E-01   1.235280355E+00
    48    7336.176891   3.831694E-01   7.071642E+14    1.48274E+35   1.557657377E+00  -7.913108E-01   1.434755975E+00
    49    7873.124361   3.366611E-01   6.051845E+14    9.50926E+34   1.685926235E+00  -7.164997E-01   1.629545098E+00
    50    8358.718443   2.967555E-01   5.234308E+14    5.92946E+34   1.799731407E+00  -6.552707E-01   1.807363303E+00
    51    8774.130008   2.614977E-01   4.550846E+14    3.58942E+34   1.893883925E+00  -6.073251E-01   1.957375001E+00
    52    9109.481994   2.294251E-01   3.955014E+14    2.11115E+34   1.965965465E+00  -5.714311E-01   2.073654651E+00
    53    9365.640981   2.000449E-01   3.425522E+14    1.21012E+34   2.017015064E+00  -5.456572E-01   2.156586988E+00
    54    9551.866727   1.728096E-01   2.945249E+14    6.80009E+33   2.050627540E+00  -5.278112E-01   2.211374165E+00
    55    9682.321245   1.474637E-01   2.504850E+14    3.77043E+33   2.071468759E+00  -5.157646E-01   2.245381804E+00
    56    9771.670226   1.233230E-01   2.089579E+14    2.07857E+33   2.083796140E+00  -5.077369E-01   2.265496537E+00
    57    9832.766768   1.002069E-01   1.694593E+14    1.14827E+33   2.090851944E+00  -5.023564E-01   2.277004529E+00
    58    9875.376009   7.915058E-02   1.338223E+14    6.39960E+32   2.094817331E+00  -4.986587E-01   2.283466998E+00
    59    9905.947773   5.675065E-02   9.579540E+13    3.68329E+32   2.096979266E+00  -4.960347E-01   2.286985342E+00
    60    9930.813432   4.021459E-02   6.778988E+13    2.12173E+32   2.098241437E+00  -4.939193E-01   2.289039223E+00
    61    9951.247878   2.823777E-02   4.755119E+13    1.22792E+32   2.098973225E+00  -4.921938E-01   2.290229558E+00
    62    9968.240474   1.981416E-02   3.333207E+13    7.10282E+31   2.099401617E+00  -4.907682E-01   2.290926163E+00
    63    9982.355501   1.385241E-02   2.328301E+13    4.11196E+31   2.099651389E+00  -4.895904E-01   2.291332223E+00
    64    9994.118191   9.682390E-03   1.626010E+13    2.37972E+31   2.099797153E+00  -4.886134E-01   2.291569159E+00
    65   10003.910635   6.704370E-03   1.125451E+13    1.38011E+31   2.099881801E+00  -4.878031E-01   2.291706733E+00
    66   10012.146896   4.538636E-03   7.615572E+12    8.04181E+30   2.099930831E+00  -4.871238E-01   2.291786385E+00
    67   10019.261856   2.861190E-03   4.798361E+12    4.74887E+30   2.099958989E+00  -4.865386E-01   2.291832127E+00
    68   10025.947918   1.738197E-03   2.913643E+12    2.88312E+30   2.099975005E+00  -4.859901E-01   2.291858143E+00
    69   10032.649113   9.522438E-04   1.594845E+12    1.79924E+30   2.099984343E+00  -4.854416E-01   2.291873313E+00
    70   10040.306576   5.307894E-04   8.881341E+11    1.12873E+30   2.099990142E+00  -4.848165E-01   2.291882737E+00
    71   10048.955521   2.380924E-04   3.978318E+11    7.07803E+29   2.099993799E+00  -4.841126E-01   2.291888679E+00
    72   10061.094366   1.515398E-04   2.530490E+11    4.25933E+29   2.099996260E+00  -4.831283E-01   2.291892682E+00
    73   10072.630249   1.000865E-04   1.670621E+11    2.52493E+29   2.099997785E+00  -4.821968E-01   2.291895161E+00
    74   10083.033577   6.481195E-05   1.080371E+11    1.50230E+29   2.099998690E+00  -4.813602E-01   2.291896631E+00
    75   10092.642305   4.269257E-05   7.114266E+10    8.90846E+28   2.099999235E+00  -4.805902E-01   2.291897516E+00
    76   10101.326263   2.808282E-05   4.676727E+10    5.24031E+28   2.099999563E+00  -4.798965E-01   2.291898049E+00
