       6     156      55      71

     EOS file :  /Users/jkopp/cernbox/ns-muons/packages/nscool/EOS/BSk22_test

  step        radius       baryon#       density        pressure       encl. mass            phi     encl. bar. mass 
                (m)        (#/fm3)       (g/cm3)        (dyn/cm2)      (sol. mass)                     (sol. mass)   

     0       0.000000   2.728508E+00   1.507631E+16    1.74440E+37   0.000000000E+00  -2.542883E+00   0.000000000E+00
     1      10.000000   2.728486E+00   1.507607E+16    1.74436E+37   3.174998730E-08  -2.542871E+00   9.623308492E-09
     2      11.666650   2.728479E+00   1.507599E+16    1.74435E+37   5.041747020E-08  -2.542867E+00   1.528139117E-08
     3      13.611069   2.728469E+00   1.507588E+16    1.74433E+37   8.006036192E-08  -2.542861E+00   2.426614864E-08
     4      15.879546   2.728456E+00   1.507573E+16    1.74431E+37   1.271313553E-07  -2.542853E+00   3.853346324E-08
     5      18.526085   2.728437E+00   1.507553E+16    1.74428E+37   2.018765756E-07  -2.542843E+00   6.118911158E-08
     6      21.613684   2.728412E+00   1.507525E+16    1.74423E+37   3.205653831E-07  -2.542829E+00   9.716475298E-08
     7      25.215836   2.728378E+00   1.507487E+16    1.74417E+37   5.090305275E-07  -2.542809E+00   1.542912498E-07
     8      29.418271   2.728332E+00   1.507435E+16    1.74409E+37   8.082882887E-07  -2.542783E+00   2.450027923E-07
     9      34.320993   2.728268E+00   1.507365E+16    1.74398E+37   1.283459828E-06  -2.542747E+00   3.890424058E-07
    10      40.040645   2.728182E+00   1.507270E+16    1.74383E+37   2.037930998E-06  -2.542699E+00   6.177569437E-07
    11      46.713272   2.728065E+00   1.507140E+16    1.74362E+37   3.235822540E-06  -2.542632E+00   9.809146713E-07
    12      54.497525   2.727906E+00   1.506963E+16    1.74334E+37   5.137639427E-06  -2.542542E+00   1.557525489E-06
    13      63.578394   2.727690E+00   1.506723E+16    1.74296E+37   8.156810485E-06  -2.542420E+00   2.473010421E-06
    14      74.171535   2.727395E+00   1.506396E+16    1.74245E+37   1.294931969E-05  -2.542253E+00   3.926438858E-06
    15      86.528286   2.726994E+00   1.505951E+16    1.74174E+37   2.055571035E-05  -2.542026E+00   6.233721434E-06
    16     100.941460   2.726448E+00   1.505346E+16    1.74079E+37   3.262587740E-05  -2.541717E+00   9.896071725E-06
    17     117.752011   2.725706E+00   1.504523E+16    1.73949E+37   5.177450993E-05  -2.541297E+00   1.570844705E-05
    18     137.356679   2.724697E+00   1.503405E+16    1.73772E+37   8.214225120E-05  -2.540725E+00   2.493115850E-05
    19     160.216679   2.723326E+00   1.501886E+16    1.73532E+37   1.302797738E-04  -2.539948E+00   3.956111184E-05
    20     186.867486   2.721464E+00   1.499824E+16    1.73206E+37   2.065365925E-04  -2.538893E+00   6.275980042E-05
    21     217.929710   2.718936E+00   1.497027E+16    1.72765E+37   3.272342321E-04  -2.537459E+00   9.952709460E-05
    22     254.120921   2.715509E+00   1.493239E+16    1.72168E+37   5.180485241E-04  -2.535513E+00   1.577586946E-04
    23     296.268130   2.710867E+00   1.488117E+16    1.71361E+37   8.192351916E-04  -2.532876E+00   2.498987124E-04
    24     345.320310   2.704594E+00   1.481209E+16    1.70274E+37   1.293622082E-03  -2.529307E+00   3.955075479E-04
    25     402.359941   2.696134E+00   1.471918E+16    1.68816E+37   2.038663499E-03  -2.524486E+00   6.252210814E-04
    26     468.611912   2.684766E+00   1.459479E+16    1.66869E+37   3.204272455E-03  -2.517989E+00   9.867910167E-04
    27     545.447289   2.669554E+00   1.442917E+16    1.64286E+37   5.018493390E-03  -2.509268E+00   1.554169818E-03
    28     634.378443   2.649316E+00   1.421031E+16    1.60889E+37   7.823059056E-03  -2.497614E+00   2.440913995E-03
    29     737.041057   2.622598E+00   1.392394E+16    1.56473E+37   1.211992081E-02  -2.482134E+00   3.819450574E-03
    30     855.157985   2.587669E+00   1.355397E+16    1.50818E+37   1.862703690E-02  -2.461738E+00   5.947816437E-03
    31     990.480650   2.542578E+00   1.308377E+16    1.43712E+37   2.833595542E-02  -2.435132E+00   9.205049801E-03
    32    1144.706788   2.485278E+00   1.249827E+16    1.34993E+37   4.255451715E-02  -2.400864E+00   1.413510370E-02
    33    1319.379747   2.413852E+00   1.178728E+16    1.24607E+37   6.290702496E-02  -2.357405E+00   2.149665611E-02
    34    1515.784157   2.326833E+00   1.094932E+16    1.12658E+37   9.125743769E-02  -2.303295E+00   3.231265409E-02
    35    1734.862753   2.223568E+00   9.995177E+15    9.94567E+36   1.295288153E-01  -2.237332E+00   4.790988587E-02
    36    1977.184081   2.104549E+00   8.949620E+15    8.55142E+36   1.794232141E-01  -2.158787E+00   6.993728241E-02
    37    2242.985418   1.971573E+00   7.850035E+15    7.14845E+36   2.420962557E-01  -2.067582E+00   1.003539796E-01
    38    2532.298918   1.827602E+00   6.756642E+15    5.80501E+36   3.179458261E-01  -1.964379E+00   1.413850066E-01
    39    2844.619134   1.676429E+00   5.724862E+15    4.58025E+36   4.065759604E-01  -1.850726E+00   1.953534669E-01
    40    3178.857885   1.522255E+00   4.787760E+15    3.51533E+36   5.067519375E-01  -1.728978E+00   2.644444567E-01
    41    3533.623763   1.369052E+00   3.964392E+15    2.62872E+36   6.166138233E-01  -1.602000E+00   3.504704478E-01
    42    3907.116830   1.220208E+00   3.260198E+15    1.91871E+36   7.338792680E-01  -1.472933E+00   4.545375668E-01
    43    4296.953589   1.078378E+00   2.669996E+15    1.36934E+36   8.559883986E-01  -1.344979E+00   5.766645060E-01
    44    4699.961159   9.454615E-01   2.182637E+15    9.56830E+35   9.802165412E-01  -1.221186E+00   7.154121878E-01
    45    5111.875994   8.227150E-01   1.784053E+15    6.55210E+35   1.103689590E+00  -1.104298E+00   8.675829256E-01
    46    5527.091347   7.108705E-01   1.459913E+15    4.39862E+35   1.223401762E+00  -9.966171E-01   1.028135836E+00
    47    5938.467679   6.102353E-01   1.196904E+15    2.89465E+35   1.336273068E+00  -8.999112E-01   1.190426127E+00
    48    6337.364483   5.207632E-01   9.835766E+14    1.86619E+35   1.439311331E+00  -8.153418E-01   1.346867371E+00
    49    6713.952322   4.421179E-01   8.102132E+14    1.17773E+35   1.529832289E+00  -7.434470E-01   1.489943326E+00
    50    7058.140804   3.737183E-01   6.689914E+14    7.26958E+34   1.605864840E+00  -6.841358E-01   1.613478702E+00
    51    7360.922326   3.147960E-01   5.536147E+14    4.38707E+34   1.666518700E+00  -6.367431E-01   1.713732221E+00
    52    7616.046271   2.644354E-01   4.590175E+14    2.58948E+34   1.712233372E+00  -6.001145E-01   1.789989746E+00
    53    7821.389280   2.216418E-01   3.811472E+14    1.49728E+34   1.744699215E+00  -5.727384E-01   1.844347780E+00
    54    7979.349542   1.853800E-01   3.167024E+14    8.50430E+33   1.766451619E+00  -5.529186E-01   1.880780944E+00
    55    8095.980913   1.546240E-01   2.629674E+14    4.76223E+33   1.780272586E+00  -5.389633E-01   1.903897943E+00
    56    8179.275105   1.284159E-01   2.177244E+14    2.64014E+33   1.788668857E+00  -5.293472E-01   1.917913582E+00
    57    8237.389555   1.059638E-01   1.792816E+14    1.45501E+33   1.793594207E+00  -5.228110E-01   1.926118829E+00
    58    8277.421559   8.687952E-02   1.467815E+14    7.99490E+32   1.796414076E+00  -5.183921E-01   1.930808379E+00
    59    8304.829411   6.406345E-02   1.082040E+14    4.50005E+32   1.797953398E+00  -5.154064E-01   1.933362622E+00
    60    8326.034264   4.575084E-02   7.715150E+13    2.59022E+32   1.798808894E+00  -5.131190E-01   1.934781264E+00
    61    8343.326333   3.212591E-02   5.411911E+13    1.49910E+32   1.799304300E+00  -5.112688E-01   1.935602434E+00
    62    8357.711485   2.255081E-02   3.794958E+13    8.67145E+31   1.799594464E+00  -5.097399E-01   1.936083175E+00
    63    8369.659982   1.578015E-02   2.653144E+13    5.01717E+31   1.799763836E+00  -5.084773E-01   1.936363706E+00
    64    8379.605250   1.103012E-02   1.852920E+13    2.90371E+31   1.799862563E+00  -5.074313E-01   1.936527191E+00
    65    8387.886388   7.667717E-03   1.287286E+13    1.68105E+31   1.799920052E+00  -5.065639E-01   1.936622381E+00
    66    8394.814648   5.254050E-03   8.817811E+12    9.77206E+30   1.799953328E+00  -5.058406E-01   1.936677456E+00
    67    8400.713625   3.462483E-03   5.807829E+12    5.74828E+30   1.799972438E+00  -5.052265E-01   1.936709079E+00
    68    8405.996522   2.103444E-03   3.526536E+12    3.48981E+30   1.799983206E+00  -5.046778E-01   1.936726897E+00
    69    8411.290976   1.190262E-03   1.994143E+12    2.12490E+30   1.799989737E+00  -5.041293E-01   1.936737703E+00
    70    8417.004926   6.485680E-04   1.085442E+12    1.33937E+30   1.799993509E+00  -5.035388E-01   1.936743946E+00
    71    8423.637270   3.792569E-04   6.344532E+11    8.26722E+29   1.799995980E+00  -5.028552E-01   1.936748038E+00
    72    8430.661170   1.905466E-04   3.183563E+11    5.60278E+29   1.799997270E+00  -5.021335E-01   1.936750174E+00
    73    8440.172446   1.235208E-04   2.062835E+11    3.33035E+29   1.799998377E+00  -5.011597E-01   1.936752006E+00
    74    8448.935779   8.085845E-05   1.348951E+11    1.96114E+29   1.799999047E+00  -5.002661E-01   1.936753117E+00
    75    8456.859174   5.245876E-05   8.742813E+10    1.16498E+29   1.799999440E+00  -4.994612E-01   1.936753767E+00
    76    8464.147649   3.507255E-05   5.843384E+10    6.85329E+28   1.799999677E+00  -4.987232E-01   1.936754160E+00
