       6     155      55      70

     EOS file :  /Users/jkopp/cernbox/ns-muons/packages/nscool/EOS/BSk22_test

  step        radius       baryon#       density        pressure       encl. mass            phi     encl. bar. mass 
                (m)        (#/fm3)       (g/cm3)        (dyn/cm2)      (sol. mass)                     (sol. mass)   

     0       0.000000   1.563323E+00   5.026472E+15    3.78154E+36   0.000000000E+00  -1.784569E+00   0.000000000E+00
     1      10.000000   1.563319E+00   5.026450E+15    3.78151E+36   1.058560174E-08  -1.784567E+00   5.513772401E-09
     2      11.666661   1.563318E+00   5.026443E+15    3.78150E+36   1.680951054E-08  -1.784566E+00   8.755654657E-09
     3      13.611097   1.563316E+00   5.026433E+15    3.78149E+36   2.669280987E-08  -1.784564E+00   1.390363170E-08
     4      15.879602   1.563314E+00   5.026419E+15    3.78148E+36   4.238704245E-08  -1.784562E+00   2.207840285E-08
     5      18.526186   1.563310E+00   5.026401E+15    3.78146E+36   6.730872809E-08  -1.784560E+00   3.505958104E-08
     6      21.613858   1.563306E+00   5.026376E+15    3.78143E+36   1.068830649E-07  -1.784556E+00   5.567309099E-08
     7      25.216127   1.563300E+00   5.026341E+15    3.78139E+36   1.697248311E-07  -1.784552E+00   8.840632149E-08
     8      29.418750   1.563292E+00   5.026294E+15    3.78134E+36   2.695134673E-07  -1.784545E+00   1.403849175E-07
     9      34.321772   1.563282E+00   5.026231E+15    3.78126E+36   4.279703194E-07  -1.784537E+00   2.229237891E-07
    10      40.041905   1.563267E+00   5.026144E+15    3.78117E+36   6.795857049E-07  -1.784525E+00   3.539898365E-07
    11      46.715298   1.563247E+00   5.026026E+15    3.78103E+36   1.079123838E-06  -1.784509E+00   5.621121952E-07
    12      54.500771   1.563220E+00   5.025865E+15    3.78085E+36   1.713537169E-06  -1.784487E+00   8.925905376E-07
    13      63.583583   1.563183E+00   5.025646E+15    3.78061E+36   2.720878995E-06  -1.784458E+00   1.417351419E-06
    14      74.179814   1.563133E+00   5.025348E+15    3.78028E+36   4.320321038E-06  -1.784418E+00   2.250595024E-06
    15      86.541476   1.563064E+00   5.024943E+15    3.77982E+36   6.859787942E-06  -1.784363E+00   3.573631309E-06
    16     100.962452   1.562971E+00   5.024392E+15    3.77920E+36   1.089152933E-05  -1.784288E+00   5.674296620E-06
    17     117.785393   1.562844E+00   5.023642E+15    3.77836E+36   1.729197477E-05  -1.784187E+00   9.009497735E-06
    18     137.409729   1.562671E+00   5.022621E+15    3.77722E+36   2.745173376E-05  -1.784049E+00   1.430442564E-05
    19     160.300931   1.562436E+00   5.021232E+15    3.77566E+36   4.357660684E-05  -1.783861E+00   2.270987917E-05
    20     187.001215   1.562117E+00   5.019343E+15    3.77354E+36   6.916406628E-05  -1.783606E+00   3.605160531E-05
    21     218.141836   1.561682E+00   5.016775E+15    3.77066E+36   1.097566279E-04  -1.783259E+00   5.722519908E-05
    22     254.457159   1.561091E+00   5.013283E+15    3.76675E+36   1.741311559E-04  -1.782786E+00   9.082094166E-05
    23     296.800614   1.560288E+00   5.008539E+15    3.76144E+36   2.761723402E-04  -1.782144E+00   1.441111802E-04
    24     346.162608   1.559197E+00   5.002098E+15    3.75423E+36   4.378153315E-04  -1.781271E+00   2.286078471E-04
    25     403.690308   1.557715E+00   4.993358E+15    3.74445E+36   6.936492615E-04  -1.780086E+00   3.625134256E-04
    26     470.708986   1.555705E+00   4.981515E+15    3.73122E+36   1.098079803E-03  -1.778477E+00   5.745652429E-04
    27     548.744223   1.552982E+00   4.965539E+15    3.71333E+36   1.736391100E-03  -1.776296E+00   9.100382740E-04
    28     639.542848   1.549299E+00   4.944055E+15    3.68924E+36   2.741660234E-03  -1.773343E+00   1.440055782E-03
    29     745.091954   1.544329E+00   4.915130E+15    3.65687E+36   4.320206578E-03  -1.769353E+00   2.275918155E-03
    30     867.632989   1.537643E+00   4.876336E+15    3.61362E+36   6.789218693E-03  -1.763974E+00   3.590918171E-03
    31    1009.661577   1.528683E+00   4.824573E+15    3.55618E+36   1.063072888E-02  -1.756749E+00   5.652999617E-03
    32    1173.908665   1.516740E+00   4.756360E+15    3.48052E+36   1.656617322E-02  -1.747086E+00   8.872634735E-03
    33    1363.278828   1.500934E+00   4.666878E+15    3.38199E+36   2.565249872E-02  -1.734241E+00   1.387055360E-02
    34    1580.775430   1.480204E+00   4.551439E+15    3.25549E+36   3.939625470E-02  -1.717299E+00   2.157069243E-02
    35    1829.317884   1.453338E+00   4.404589E+15    3.09611E+36   5.986402914E-02  -1.695178E+00   3.331741825E-02
    36    2111.540201   1.419034E+00   4.221654E+15    2.89996E+36   8.975301191E-02  -1.666663E+00   5.101267397E-02
    37    2429.485970   1.376027E+00   3.999716E+15    2.66555E+36   1.323495821E-01  -1.630489E+00   7.724821220E-02
    38    2784.242361   1.323293E+00   3.738199E+15    2.39514E+36   1.912934753E-01  -1.585490E+00   1.153863968E-01
    39    3175.616581   1.260270E+00   3.440904E+15    2.09586E+36   2.700888972E-01  -1.530795E+00   1.695246053E-01
    40    3601.795071   1.187104E+00   3.115556E+15    1.77981E+36   3.713630640E-01  -1.466068E+00   2.442427081E-01
    41    4059.206152   1.104776E+00   2.774122E+15    1.46272E+36   4.960445732E-01  -1.391725E+00   3.440745386E-01
    42    4542.454750   1.015112E+00   2.430448E+15    1.16126E+36   6.426920617E-01  -1.309069E+00   4.726535789E-01
    43    5044.486157   9.206142E-01   2.098082E+15    8.89895E+35   8.072620040E-01  -1.220285E+00   6.316363112E-01
    44    5556.863032   8.241637E-01   1.788480E+15    6.58357E+35   9.834498950E-01  -1.128282E+00   8.196063838E-01
    45    6070.038737   7.286929E-01   1.509205E+15    4.70639E+35   1.163494224E+00  -1.036398E+00   1.031270915E+00
    46    6573.741612   6.368761E-01   1.264073E+15    3.25539E+35   1.339227708E+00  -9.480160E-01   1.257394169E+00
    47    7057.291325   5.508925E-01   1.053411E+15    2.18204E+35   1.503096164E+00  -8.661819E-01   1.485698762E+00
    48    7510.049072   4.722895E-01   8.752529E+14    1.41938E+35   1.648974187E+00  -7.932638E-01   1.702779792E+00
    49    7921.975564   4.019383E-01   7.262496E+14    8.97151E+34   1.772721751E+00  -7.307497E-01   1.896554062E+00
    50    8284.484936   3.401003E-01   6.025037E+14    5.51737E+34   1.872439959E+00  -6.791901E-01   2.058512933E+00
    51    8591.622529   2.865297E-01   5.000968E+14    3.30660E+34   1.948519575E+00  -6.382738E-01   2.185077407E+00
    52    8841.240223   2.406258E-01   4.154309E+14    1.93534E+34   2.003352522E+00  -6.070056E-01   2.277589984E+00
    53    9035.574894   2.015607E-01   3.453010E+14    1.10965E+34   2.040686237E+00  -5.839477E-01   2.341027842E+00
    54    9180.805010   1.683979E-01   2.869385E+14    6.25660E+33   2.064783533E+00  -5.674755E-01   2.382085347E+00
    55    9285.574494   1.401865E-01   2.379889E+14    3.48416E+33   2.079627080E+00  -5.560077E-01   2.407383243E+00
    56    9359.159614   1.160595E-01   1.965361E+14    1.92476E+33   2.088430146E+00  -5.481672E-01   2.422373862E+00
    57    9409.990266   9.540686E-02   1.612862E+14    1.05886E+33   2.093506149E+00  -5.428573E-01   2.431007523E+00
    58    9444.837877   7.501213E-02   1.267950E+14    5.84040E+32   2.096363902E+00  -5.392685E-01   2.435861891E+00
    59    9469.665278   5.370259E-02   9.062561E+13    3.36216E+32   2.097882860E+00  -5.367380E-01   2.438437967E+00
    60    9489.874527   3.793298E-02   6.393280E+13    1.93844E+32   2.098767706E+00  -5.346950E-01   2.439938328E+00
    61    9506.534773   2.663026E-02   4.483650E+13    1.12149E+32   2.099281347E+00  -5.330225E-01   2.440808862E+00
    62    9520.378143   1.866997E-02   3.140280E+13    6.48610E+31   2.099581549E+00  -5.316410E-01   2.441317492E+00
    63    9531.878416   1.305093E-02   2.193275E+13    3.75424E+31   2.099756391E+00  -5.304989E-01   2.441613653E+00
    64    9541.456929   9.121318E-03   1.531567E+13    2.17238E+31   2.099858320E+00  -5.295517E-01   2.441786288E+00
    65    9549.427429   6.305327E-03   1.058420E+13    1.26113E+31   2.099917372E+00  -5.287662E-01   2.441886279E+00
    66    9556.146221   4.251000E-03   7.132279E+12    7.37052E+30   2.099951493E+00  -5.281061E-01   2.441944036E+00
    67    9561.990268   2.647400E-03   4.439491E+12    4.39359E+30   2.099970952E+00  -5.275333E-01   2.441976972E+00
    68    9567.600432   1.615171E-03   2.707252E+12    2.66807E+30   2.099982271E+00  -5.269847E-01   2.441996128E+00
    69    9573.199855   8.710800E-04   1.458710E+12    1.68316E+30   2.099988753E+00  -5.264384E-01   2.442007100E+00
    70    9579.769345   4.919469E-04   8.231109E+11    1.05379E+30   2.099992910E+00  -5.257991E-01   2.442014140E+00
    71    9587.076677   2.218118E-04   3.706277E+11    6.58211E+29   2.099995533E+00  -5.250899E-01   2.442018581E+00
    72    9597.237558   1.421747E-04   2.374142E+11    3.94314E+29   2.099997292E+00  -5.241072E-01   2.442021561E+00
    73    9606.780188   9.359689E-05   1.562054E+11    2.33271E+29   2.099998372E+00  -5.231880E-01   2.442023390E+00
    74    9615.394884   6.064953E-05   1.010924E+11    1.38704E+29   2.099999009E+00  -5.223611E-01   2.442024470E+00
    75    9623.338185   4.017012E-05   6.693713E+10    8.21413E+28   2.099999393E+00  -5.216012E-01   2.442025119E+00
    76    9630.466245   2.609709E-05   4.345146E+10    4.83735E+28   2.099999623E+00  -5.209214E-01   2.442025509E+00
