       6     156      55      71

     EOS file :  /Users/jkopp/cernbox/ns-muons/packages/nscool/EOS/nl3wr_test

  step        radius       baryon#       density        pressure       encl. mass            phi     encl. bar. mass 
                (m)        (#/fm3)       (g/cm3)        (dyn/cm2)      (sol. mass)                     (sol. mass)   

     0       0.000000   6.176723E+00   7.435488E+16    6.79205E+37   0.000000000E+00  -3.156580E+00   0.000000000E+00
     1      10.000000   6.176419E+00   7.434824E+16    6.79138E+37   1.565786432E-07  -3.156531E+00   2.178449879E-08
     2      11.666594   6.176316E+00   7.434598E+16    6.79115E+37   2.486332930E-07  -3.156514E+00   3.459227448E-08
     3      13.610932   6.176175E+00   7.434290E+16    6.79084E+37   3.948038720E-07  -3.156491E+00   5.492985503E-08
     4      15.879287   6.175983E+00   7.433872E+16    6.79042E+37   6.268983291E-07  -3.156459E+00   8.722368224E-08
     5      18.525634   6.175723E+00   7.433303E+16    6.78984E+37   9.954146522E-07  -3.156416E+00   1.385018475E-07
     6      21.612930   6.175368E+00   7.432528E+16    6.78905E+37   1.580516156E-06  -3.156358E+00   2.199226810E-07
     7      25.214600   6.174885E+00   7.431473E+16    6.78799E+37   2.509443863E-06  -3.156279E+00   3.492008358E-07
     8      29.416267   6.174228E+00   7.430039E+16    6.78653E+37   3.984132242E-06  -3.156171E+00   5.544571005E-07
     9      34.317764   6.173334E+00   7.428087E+16    6.78455E+37   6.324987521E-06  -3.156024E+00   8.803258886E-07
    10      40.035468   6.172117E+00   7.425431E+16    6.78187E+37   1.004024541E-05  -3.155825E+00   1.397641028E-06
    11      46.704994   6.170463E+00   7.421820E+16    6.77821E+37   1.593576213E-05  -3.155553E+00   2.218789081E-06
    12      54.484317   6.168212E+00   7.416910E+16    6.77324E+37   2.528861203E-05  -3.155183E+00   3.522030851E-06
    13      63.557353   6.165153E+00   7.410238E+16    6.76648E+37   4.012114716E-05  -3.154680E+00   5.589995877E-06
    14      74.138058   6.160995E+00   7.401174E+16    6.75730E+37   6.363274007E-05  -3.153997E+00   8.870536533E-06
    15      86.475074   6.155348E+00   7.388870E+16    6.74485E+37   1.008779669E-04  -3.153068E+00   1.407277359E-05
    16     100.856954   6.147683E+00   7.372187E+16    6.72796E+37   1.598276897E-04  -3.151806E+00   2.231835030E-05
    17     117.617924   6.137292E+00   7.349595E+16    6.70510E+37   2.530202436E-04  -3.150092E+00   3.537891614E-05
    18     137.144124   6.123222E+00   7.319057E+16    6.67421E+37   4.001118535E-04  -3.147768E+00   5.604748005E-05
    19     159.880104   6.104209E+00   7.277879E+16    6.63258E+37   6.317758228E-04  -3.144620E+00   8.871587819E-05
    20     186.335254   6.078581E+00   7.222539E+16    6.57668E+37   9.955797981E-04  -3.140362E+00   1.402659940E-04
    21     217.089546   6.044154E+00   7.148497E+16    6.50195E+37   1.564671023E-03  -3.134616E+00   2.214311232E-04
    22     252.797676   5.998117E+00   7.050022E+16    6.40270E+37   2.450257763E-03  -3.126887E+00   3.488465820E-04
    23     294.190261   5.936929E+00   6.920089E+16    6.27197E+37   3.818840369E-03  -3.116532E+00   5.480801685E-04
    24     342.070295   5.856255E+00   6.750435E+16    6.10168E+37   5.914623226E-03  -3.102729E+00   8.579956834E-04
    25     397.302783   5.750998E+00   6.531932E+16    5.88305E+37   9.086054855E-03  -3.084462E+00   1.336816224E-03
    26     460.795601   5.615514E+00   6.255438E+16    5.60754E+37   1.381243283E-02  -3.060499E+00   2.070146413E-03
    27     533.470800   5.444086E+00   5.913303E+16    5.26845E+37   2.072173262E-02  -3.029421E+00   3.180884782E-03
    28     616.228353   5.231743E+00   5.501524E+16    4.86318E+37   3.058529929E-02  -2.989680E+00   4.840326579E-03
    29     709.909143   4.975391E+00   5.022249E+16    4.39565E+37   4.427228529E-02  -2.939721E+00   7.278869504E-03
    30     815.269986   4.675073E+00   4.485841E+16    3.87815E+37   6.265275152E-02  -2.878157E+00   1.079392679E-02
    31     932.988386   4.334973E+00   3.911415E+16    3.33143E+37   8.645799593E-02  -2.803989E+00   1.575261588E-02
    32    1063.714532   3.963690E+00   3.324948E+16    2.78224E+37   1.161356937E-01  -2.716796E+00   2.258828546E-02
    33    1208.180198   3.573457E+00   2.755021E+16    2.25859E+37   1.517577881E-01  -2.616865E+00   3.179307753E-02
    34    1367.360544   3.178404E+00   2.227503E+16    1.78433E+37   1.930292162E-01  -2.505187E+00   4.391235932E-02
    35    1542.672035   2.792384E+00   1.761155E+16    1.37511E+37   2.394034029E-01  -2.383338E+00   5.954908393E-02
    36    1736.185371   2.427071E+00   1.365605E+16    1.03712E+37   2.902627272E-01  -2.253263E+00   7.938579218E-02
    37    1950.838046   2.090828E+00   1.041907E+16    7.68302E+36   3.451018555E-01  -2.117047E+00   1.042298157E-01
    38    2190.642292   1.788522E+00   7.855302E+15    5.61092E+36   4.036781165E-01  -1.976711E+00   1.350888421E-01
    39    2460.709449   1.522736E+00   5.899399E+15    4.05143E+36   4.662423789E-01  -1.834137E+00   1.732469337E-01
    40    2766.399691   1.293267E+00   4.436084E+15    2.89988E+36   5.334157899E-01  -1.691352E+00   2.202816064E-01
    41    3113.309572   1.097909E+00   3.354696E+15    2.06151E+36   6.061226704E-01  -1.550250E+00   2.781262921E-01
    42    3506.694272   9.332796E-01   2.561641E+15    1.45715E+36   6.855319699E-01  -1.412576E+00   3.490884432E-01
    43    3950.486854   7.954207E-01   1.982069E+15    1.02445E+36   7.729040510E-01  -1.279970E+00   4.356710664E-01
    44    4446.049985   6.807327E-01   1.558601E+15    7.16001E+35   8.694115888E-01  -1.153974E+00   5.403688908E-01
    45    4990.691436   5.857622E-01   1.248200E+15    4.96777E+35   9.757759613E-01  -1.036049E+00   6.650887246E-01
    46    5576.331668   5.071821E-01   1.019074E+15    3.41359E+35   1.091816745E+00  -9.275527E-01   8.103623738E-01
    47    6188.686737   4.421009E-01   8.479767E+14    2.31545E+35   1.215887098E+00  -8.296988E-01   9.742924500E-01
    48    6807.428662   3.879327E-01   7.180668E+14    1.54391E+35   1.344419156E+00  -7.434978E-01   1.151716713E+00
    49    7407.613479   3.422059E-01   6.169018E+14    1.00735E+35   1.471764716E+00  -6.696763E-01   1.333702677E+00
    50    7962.949468   3.027045E-01   5.353107E+14    6.40301E+34   1.590848519E+00  -6.085335E-01   1.508498181E+00
    51    8450.405942   2.677279E-01   4.669454E+14    3.95161E+34   1.694694396E+00  -5.597939E-01   1.663976361E+00
    52    8854.735457   2.359711E-01   4.074891E+14    2.36576E+34   1.778342647E+00  -5.225403E-01   1.790946390E+00
    53    9171.636438   2.065341E-01   3.541359E+14    1.37725E+34   1.840351247E+00  -4.952476E-01   1.885887516E+00
    54    9407.620461   1.792110E-01   3.057382E+14    7.82775E+33   1.882904883E+00  -4.759918E-01   1.951353112E+00
    55    9575.930917   1.536753E-01   2.612301E+14    4.37467E+33   1.910142044E+00  -4.628200E-01   1.993344773E+00
    56    9692.594178   1.294033E-01   2.193870E+14    2.42131E+33   1.926656667E+00  -4.539725E-01   2.018820988E+00
    57    9772.675494   1.061526E-01   1.795997E+14    1.33909E+33   1.936263540E+00  -4.480386E-01   2.033639605E+00
    58    9828.322879   8.413280E-02   1.422171E+14    7.45638E+32   1.941715702E+00  -4.439853E-01   2.042045843E+00
    59    9868.232003   6.167120E-02   1.041440E+14    4.22578E+32   1.944757480E+00  -4.411156E-01   2.046728804E+00
    60    9899.552842   4.395597E-02   7.411605E+13    2.43473E+32   1.946475415E+00  -4.388864E-01   2.049373197E+00
    61    9925.190220   3.087560E-02   5.200681E+13    1.40982E+32   1.947473520E+00  -4.370773E-01   2.050909134E+00
    62    9946.538716   2.167828E-02   3.647702E+13    8.15799E+31   1.948059412E+00  -4.355819E-01   2.051810430E+00
    63    9964.285795   1.516697E-02   2.549806E+13    4.72253E+31   1.948401912E+00  -4.343466E-01   2.052337187E+00
    64    9979.076265   1.060296E-02   1.780993E+13    2.73375E+31   1.948601974E+00  -4.333225E-01   2.052644826E+00
    65    9991.399106   7.360575E-03   1.235687E+13    1.58306E+31   1.948718604E+00  -4.324730E-01   2.052824158E+00
    66   10001.729458   5.024319E-03   8.431727E+12    9.20737E+30   1.948786158E+00  -4.317636E-01   2.052927985E+00
    67   10010.567183   3.267336E-03   5.480190E+12    5.42390E+30   1.948824952E+00  -4.311586E-01   2.052987601E+00
    68   10018.601952   1.985073E-03   3.327895E+12    3.29317E+30   1.948846898E+00  -4.306101E-01   2.053021326E+00
    69   10026.657072   1.112635E-03   1.863904E+12    2.02069E+30   1.948860061E+00  -4.300617E-01   2.053041551E+00
    70   10035.504760   6.059617E-04   1.013981E+12    1.27232E+30   1.948867835E+00  -4.294610E-01   2.053053502E+00
    71   10045.773711   3.593475E-04   6.011053E+11    7.81452E+29   1.948872960E+00  -4.287661E-01   2.053061381E+00
    72   10056.449000   1.817540E-04   3.036243E+11    5.29542E+29   1.948875603E+00  -4.280462E-01   2.053065447E+00
    73   10070.814643   1.183694E-04   1.976273E+11    3.14592E+29   1.948877874E+00  -4.270814E-01   2.053068939E+00
    74   10083.991552   7.728942E-05   1.289198E+11    1.85732E+29   1.948879246E+00  -4.262005E-01   2.053071048E+00
    75   10095.971465   5.012733E-05   8.353896E+10    1.10332E+29   1.948880054E+00  -4.254030E-01   2.053072290E+00
    76   10106.999058   3.362003E-05   5.601098E+10    6.47706E+28   1.948880545E+00  -4.246717E-01   2.053073046E+00
