       6     157      57      72

     EOS file :  /Users/jkopp/cernbox/ns-muons/packages/nscool/EOS/BSk22_test

  step        radius       baryon#       density        pressure       encl. mass            phi     encl. bar. mass 
                (m)        (#/fm3)       (g/cm3)        (dyn/cm2)      (sol. mass)                     (sol. mass)   

    51    6408.808037   3.918607E-01   7.056499E+14    8.33880E+34   1.339189337E+00  -6.166592E-01   1.221424147E+00
    52    6776.267986   3.318819E-01   5.865195E+14    5.13293E+34   1.404195904E+00  -5.672211E-01   1.320151563E+00
    53    7097.274620   2.801469E-01   4.881636E+14    3.08823E+34   1.456539690E+00  -5.282591E-01   1.400378779E+00
    54    7365.063262   2.357823E-01   4.066459E+14    1.81672E+34   1.496088620E+00  -4.985204E-01   1.461260984E+00
    55    7578.116723   1.978945E-01   3.387998E+14    1.04689E+34   1.524101382E+00  -4.765446E-01   1.504432065E+00
    56    7740.137079   1.655845E-01   2.820303E+14    5.92832E+33   1.542762280E+00  -4.607899E-01   1.533167420E+00
    57    7858.612594   1.379751E-01   2.341752E+14    3.31263E+33   1.554537535E+00  -4.497799E-01   1.551268911E+00
    58    7942.679124   1.142759E-01   1.934842E+14    1.83471E+33   1.561645539E+00  -4.422263E-01   1.562174752E+00
    59    8001.194114   9.395667E-02   1.588178E+14    1.01118E+33   1.565796399E+00  -4.370955E-01   1.568532236E+00
    60    8041.529516   7.306319E-02   1.234847E+14    5.59179E+32   1.568150329E+00  -4.336198E-01   1.572131793E+00
    61    8070.735322   5.233006E-02   8.829813E+13    3.22135E+32   1.569413183E+00  -4.311348E-01   1.574059610E+00
    62    8094.563538   3.693206E-02   6.224095E+13    1.85989E+32   1.570151312E+00  -4.291275E-01   1.575186056E+00
    63    8114.282794   2.593493E-02   4.366242E+13    1.07652E+32   1.570582237E+00  -4.274803E-01   1.575843349E+00
    64    8130.692536   1.818087E-02   3.057819E+13    6.22842E+31   1.570834845E+00  -4.261192E-01   1.576228524E+00
    65    8144.346223   1.271143E-02   2.136085E+13    3.60613E+31   1.570982346E+00  -4.249935E-01   1.576453374E+00
    66    8155.729878   8.884696E-03   1.491749E+13    2.08726E+31   1.571068509E+00  -4.240596E-01   1.576584704E+00
    67    8165.211581   6.138715E-03   1.030433E+13    1.21247E+31   1.571118486E+00  -4.232850E-01   1.576660860E+00
    68    8173.217981   4.131843E-03   6.932080E+12    7.09675E+30   1.571147381E+00  -4.226332E-01   1.576704876E+00
    69    8180.207813   2.559831E-03   4.292505E+12    4.24807E+30   1.571163834E+00  -4.220660E-01   1.576729937E+00
    70    8186.984236   1.546011E-03   2.591162E+12    2.58241E+30   1.571173497E+00  -4.215175E-01   1.576744655E+00
    71    8193.827130   8.351431E-04   1.398411E+12    1.62912E+30   1.571179051E+00  -4.209652E-01   1.576753116E+00
    72    8201.846693   4.749097E-04   7.945910E+11    1.02073E+30   1.571182612E+00  -4.203199E-01   1.576758543E+00
    73    8210.717319   2.146751E-04   3.587025E+11    6.36501E+29   1.571184873E+00  -4.196085E-01   1.576761988E+00
    74    8223.007828   1.380771E-04   2.305731E+11    3.80614E+29   1.571186388E+00  -4.186271E-01   1.576764299E+00
    75    8234.499731   9.078458E-05   1.515012E+11    2.25015E+29   1.571187317E+00  -4.177138E-01   1.576765715E+00
    76    8244.889306   5.885616E-05   9.810046E+10    1.33787E+29   1.571187866E+00  -4.168918E-01   1.576766551E+00
    77    8254.470342   3.906299E-05   6.509060E+10    7.91354E+28   1.571188196E+00  -4.161367E-01   1.576767055E+00
    78    8263.045824   2.516602E-05   4.189627E+10    4.65411E+28   1.571188395E+00  -4.154633E-01   1.576767357E+00
    79    8270.909108   1.687734E-05   2.809190E+10    2.73134E+28   1.571188512E+00  -4.148479E-01   1.576767537E+00
    80    8277.814130   1.103341E-05   1.835436E+10    1.61782E+28   1.571188581E+00  -4.143091E-01   1.576767641E+00
    81    8284.091785   7.166023E-06   1.192047E+10    9.59894E+27   1.571188622E+00  -4.138205E-01   1.576767703E+00
    82    8289.841633   4.807319E-06   7.992282E+09    5.63117E+27   1.571188646E+00  -4.133740E-01   1.576767740E+00
    83    8294.884688   3.196660E-06   5.313104E+09    3.30619E+27   1.571188661E+00  -4.129833E-01   1.576767762E+00
    84    8299.347955   2.127128E-06   3.534081E+09    1.94792E+27   1.571188669E+00  -4.126381E-01   1.576767775E+00
    85    8303.308620   1.427702E-06   2.371666E+09    1.14223E+27   1.571188674E+00  -4.123323E-01   1.576767783E+00
    86    8306.775107   9.587078E-07   1.592162E+09    6.69646E+26   1.571188677E+00  -4.120651E-01   1.576767787E+00
    87    8309.806694   6.070484E-07   1.007879E+09    3.93285E+26   1.571188679E+00  -4.118317E-01   1.576767790E+00
    88    8312.622778   4.081486E-07   6.775552E+08    2.30436E+26   1.571188680E+00  -4.116151E-01   1.576767792E+00
    89    8315.080085   2.745527E-07   4.557642E+08    1.34997E+26   1.571188681E+00  -4.114263E-01   1.576767793E+00
    90    8317.222370   1.828633E-07   3.035683E+08    7.91492E+25   1.571188681E+00  -4.112619E-01   1.576767793E+00
    91    8319.109789   1.217618E-07   2.020803E+08    4.67656E+25   1.571188681E+00  -4.111172E-01   1.576767793E+00
    92    8320.786346   8.216622E-08   1.363569E+08    2.73594E+25   1.571188681E+00  -4.109887E-01   1.576767794E+00
    93    8322.240954   5.561170E-08   9.226984E+07    1.59909E+25   1.571188681E+00  -4.108773E-01   1.576767794E+00
    94    8323.498115   3.767283E-08   6.249527E+07    9.34358E+24   1.571188681E+00  -4.107810E-01   1.576767794E+00
    95    8324.583218   2.560945E-08   4.248961E+07    5.45107E+24   1.571188681E+00  -4.106980E-01   1.576767794E+00
    96    8325.514754   1.744930E-08   2.895251E+07    3.17931E+24   1.571188681E+00  -4.106267E-01   1.576767794E+00
    97    8326.312410   1.193077E-08   1.979390E+07    1.85105E+24   1.571188681E+00  -4.105657E-01   1.576767794E+00
    98    8326.991927   8.189384E-09   1.358514E+07    1.07722E+24   1.571188681E+00  -4.105138E-01   1.576767794E+00
    99    8327.568261   5.635186E-09   9.346892E+06    6.25722E+23   1.571188681E+00  -4.104698E-01   1.576767794E+00
   100    8328.054953   3.796721E-09   6.297249E+06    3.65378E+23   1.571188681E+00  -4.104326E-01   1.576767794E+00
   101    8328.476862   2.640919E-09   4.380061E+06    2.11399E+23   1.571188681E+00  -4.104003E-01   1.576767794E+00
   102    8328.827877   1.836957E-09   3.046539E+06    1.22309E+23   1.571188681E+00  -4.103735E-01   1.576767794E+00
   103    8329.119901   1.286117E-09   2.133033E+06    7.06882E+22   1.571188681E+00  -4.103512E-01   1.576767794E+00
   104    8329.360986   9.035389E-10   1.498622E+06    4.07480E+22   1.571188681E+00  -4.103328E-01   1.576767794E+00
   105    8329.558810   6.347633E-10   1.052895E+06    2.34889E+22   1.571188681E+00  -4.103177E-01   1.576767794E+00
   106    8329.721133   4.497968E-10   7.460384E+05    1.34989E+22   1.571188681E+00  -4.103053E-01   1.576767794E+00
   107    8329.852798   3.187841E-10   5.287031E+05    7.75671E+21   1.571188681E+00  -4.102953E-01   1.576767794E+00
   108    8329.959561   2.264830E-10   3.755929E+05    4.45585E+21   1.571188681E+00  -4.102871E-01   1.576767794E+00
   109    8330.045896   1.616588E-10   2.680643E+05    2.55374E+21   1.571188681E+00  -4.102805E-01   1.576767794E+00
   110    8330.115227   1.153885E-10   1.913198E+05    1.46360E+21   1.571188681E+00  -4.102752E-01   1.576767794E+00
   111    8330.170903   8.268436E-11   1.370953E+05    8.38322E+20   1.571188681E+00  -4.102710E-01   1.576767794E+00
   112    8330.215407   5.938050E-11   9.846432E+04    4.79343E+20   1.571188681E+00  -4.102676E-01   1.576767794E+00
   113    8330.250839   4.264459E-11   7.071878E+04    2.74083E+20   1.571188681E+00  -4.102649E-01   1.576767794E+00
   114    8330.279047   3.076581E-11   5.102147E+04    1.56516E+20   1.571188681E+00  -4.102627E-01   1.576767794E+00
   115    8330.301374   2.221837E-11   3.684722E+04    8.93114E+19   1.571188681E+00  -4.102610E-01   1.576767794E+00
   116    8330.319016   1.604559E-11   2.661070E+04    5.09629E+19   1.571188681E+00  -4.102597E-01   1.576767794E+00
   117    8330.332955   1.166466E-11   1.934525E+04    2.90123E+19   1.571188681E+00  -4.102586E-01   1.576767794E+00
   118    8330.343871   8.482102E-12   1.406718E+04    1.65129E+19   1.571188681E+00  -4.102578E-01   1.576767794E+00
   119    8330.352415   6.168874E-12   1.023088E+04    9.39836E+18   1.571188681E+00  -4.102571E-01   1.576767794E+00
   120    8330.359101   4.496036E-12   7.457172E+03    5.34453E+18   1.571188681E+00  -4.102566E-01   1.576767794E+00
   121    8330.364318   3.276827E-12   5.435446E+03    3.03925E+18   1.571188681E+00  -4.102562E-01   1.576767794E+00
   122    8330.368388   2.388236E-12   3.961834E+03    1.72832E+18   1.571188681E+00  -4.102559E-01   1.576767794E+00
   123    8330.371563   1.740608E-12   2.887734E+03    9.82836E+17   1.571188681E+00  -4.102557E-01   1.576767794E+00
   124    8330.374040   1.268600E-12   2.104836E+03    5.58906E+17   1.571188681E+00  -4.102555E-01   1.576767794E+00
   125    8330.375973   9.245885E-13   1.534190E+03    3.17830E+17   1.571188681E+00  -4.102553E-01   1.576767794E+00
   126    8330.377481   6.761873E-13   1.122196E+03    1.80652E+17   1.571188681E+00  -4.102552E-01   1.576767794E+00
   127    8330.378652   5.103633E-13   8.478264E+02    1.01354E+17   1.571188681E+00  -4.102551E-01   1.576767794E+00
   128    8330.379523   3.852050E-13   6.405384E+02    5.68640E+16   1.571188681E+00  -4.102551E-01   1.576767794E+00
   129    8330.380169   2.907397E-13   4.839309E+02    3.19032E+16   1.571188681E+00  -4.102550E-01   1.576767794E+00
   130    8330.380649   2.194405E-13   3.656129E+02    1.78991E+16   1.571188681E+00  -4.102550E-01   1.576767794E+00
   131    8330.381005   1.656263E-13   2.762229E+02    1.00422E+16   1.571188681E+00  -4.102550E-01   1.576767794E+00
   132    8330.381270   1.252030E-13   2.089872E+02    5.63290E+15   1.571188681E+00  -4.102549E-01   1.576767794E+00
   133    8330.381466   9.692967E-14   1.616129E+02    3.13228E+15   1.571188681E+00  -4.102549E-01   1.576767794E+00
   134    8330.381607   7.504102E-14   1.249776E+02    1.74176E+15   1.571188681E+00  -4.102549E-01   1.576767794E+00
