       6     153      52      68

     EOS file :  /Users/jkopp/cernbox/ns-muons/packages/nscool/EOS/nl3wr_test

  step        radius       baryon#       density        pressure       encl. mass            phi     encl. bar. mass 
                (m)        (#/fm3)       (g/cm3)        (dyn/cm2)      (sol. mass)                     (sol. mass)   

     0       0.000000   3.350803E-01   6.018438E+14    9.34849E+34   0.000000000E+00  -4.811346E-01   0.000000000E+00
     1      10.000000   3.350802E-01   6.018436E+14    9.34848E+34   1.267469340E-09  -4.811345E-01   1.181814937E-09
     2      11.666665   3.350802E-01   6.018436E+14    9.34848E+34   2.012693766E-09  -4.811344E-01   1.876677874E-09
     3      13.611108   3.350801E-01   6.018435E+14    9.34847E+34   3.196081873E-09  -4.811344E-01   2.980093959E-09
     4      15.879624   3.350800E-01   6.018433E+14    9.34847E+34   5.075256886E-09  -4.811343E-01   4.732276701E-09
     5      18.526224   3.350800E-01   6.018432E+14    9.34846E+34   8.059314028E-09  -4.811341E-01   7.514675554E-09
     6      21.613922   3.350799E-01   6.018429E+14    9.34845E+34   1.279787937E-08  -4.811339E-01   1.193301659E-08
     7      25.216234   3.350797E-01   6.018426E+14    9.34843E+34   2.032253078E-08  -4.811337E-01   1.894916709E-08
     8      29.418926   3.350795E-01   6.018422E+14    9.34841E+34   3.227136642E-08  -4.811334E-01   3.009052951E-08
     9      34.322058   3.350792E-01   6.018416E+14    9.34838E+34   5.124560545E-08  -4.811329E-01   4.778254698E-08
    10      40.042366   3.350788E-01   6.018408E+14    9.34834E+34   8.137584427E-08  -4.811323E-01   7.587670006E-08
    11      46.716037   3.350783E-01   6.018397E+14    9.34829E+34   1.292212233E-07  -4.811315E-01   1.204889251E-07
    12      54.501955   3.350776E-01   6.018382E+14    9.34822E+34   2.051972124E-07  -4.811304E-01   1.913309471E-07
    13      63.585474   3.350767E-01   6.018362E+14    9.34812E+34   3.258427545E-07  -4.811288E-01   3.038242887E-07
    14      74.182829   3.350754E-01   6.018335E+14    9.34799E+34   5.174201331E-07  -4.811268E-01   4.824570298E-07
    15      86.546279   3.350736E-01   6.018297E+14    9.34781E+34   8.216308390E-07  -4.811239E-01   7.661137626E-07
    16     100.970095   3.350712E-01   6.018246E+14    9.34756E+34   1.304690880E-06  -4.811201E-01   1.216538382E-06
    17     117.797550   3.350679E-01   6.018177E+14    9.34723E+34   2.071739280E-06  -4.811148E-01   1.931770562E-06
    18     137.429054   3.350635E-01   6.018083E+14    9.34678E+34   3.289712295E-06  -4.811077E-01   3.067477810E-06
    19     160.331641   3.350574E-01   6.017955E+14    9.34616E+34   5.223653943E-06  -4.810979E-01   4.870820064E-06
    20     187.049998   3.350491E-01   6.017780E+14    9.34532E+34   8.294347997E-06  -4.810847E-01   7.734204036E-06
    21     218.219310   3.350379E-01   6.017542E+14    9.34417E+34   1.316977538E-05  -4.810666E-01   1.228059690E-05
    22     254.580163   3.350226E-01   6.017219E+14    9.34261E+34   2.091021535E-05  -4.810421E-01   1.949890136E-05
    23     296.995849   3.350017E-01   6.016778E+14    9.34049E+34   3.319838057E-05  -4.810087E-01   3.095871056E-05
    24     346.472387   3.349734E-01   6.016179E+14    9.33761E+34   5.270425781E-05  -4.809633E-01   4.915086486E-05
    25     404.181635   3.349348E-01   6.015364E+14    9.33368E+34   8.366315488E-05  -4.809014E-01   7.802723730E-05
    26     471.487851   3.348823E-01   6.014255E+14    9.32834E+34   1.327907986E-04  -4.808173E-01   1.238557209E-04
    27     549.978059   3.348109E-01   6.012746E+14    9.32109E+34   2.107303968E-04  -4.807029E-01   1.965732314E-04
    28     641.496477   3.347137E-01   6.010693E+14    9.31122E+34   3.343374197E-04  -4.805473E-01   3.119241230E-04
    29     748.183104   3.345816E-01   6.007901E+14    9.29781E+34   5.302795533E-04  -4.803357E-01   4.948341516E-04
    30     872.516261   3.344020E-01   6.004106E+14    9.27960E+34   8.406927054E-04  -4.800483E-01   7.847213843E-04
    31    1017.358295   3.341578E-01   5.998948E+14    9.25489E+34   1.332032600E-03  -4.796578E-01   1.243829167E-03
    32    1186.002766   3.338266E-01   5.991952E+14    9.22140E+34   2.108853229E-03  -4.791279E-01   1.970243314E-03
    33    1382.219550   3.333837E-01   5.982589E+14    9.17608E+34   3.335108161E-03  -4.784095E-01   3.118113866E-03
    34    1610.289354   3.327831E-01   5.969895E+14    9.11488E+34   5.266676557E-03  -4.774370E-01   4.928745311E-03
    35    1875.030795   3.319695E-01   5.952707E+14    9.03246E+34   8.300440463E-03  -4.761231E-01   7.777956532E-03
    36    2181.786516   3.308602E-01   5.929403E+14    8.92189E+34   1.304665942E-02  -4.743525E-01   1.224684555E-02
    37    2536.361020   3.293476E-01   5.897782E+14    8.77432E+34   2.043265380E-02  -4.719750E-01   1.922514260E-02
    38    2944.872592   3.272719E-01   5.854788E+14    8.57873E+34   3.184406457E-02  -4.687979E-01   3.005603737E-02
    39    3413.474095   3.245467E-01   5.798341E+14    8.32189E+34   4.930812367E-02  -4.645796E-01   4.673282752E-02
    40    3947.742839   3.210107E-01   5.725100E+14    7.98873E+34   7.569638291E-02  -4.590278E-01   7.213537478E-02
    41    4551.906629   3.163624E-01   5.629489E+14    7.56360E+34   1.148961811E-01  -4.518069E-01   1.102714222E-01
    42    5227.833048   3.102470E-01   5.505193E+14    7.03282E+34   1.718163820E-01  -4.425598E-01   1.664028025E-01
    43    5973.467603   3.025187E-01   5.349396E+14    6.38809E+34   2.521210520E-01  -4.309565E-01   2.469679164E-01
    44    6780.634855   2.928724E-01   5.157333E+14    5.63284E+34   3.611689887E-01  -4.167834E-01   3.587119590E-01
    45    7633.285658   2.809607E-01   4.924105E+14    4.78719E+34   5.023057390E-01  -4.000623E-01   5.070489299E-01
    46    8506.685734   2.667138E-01   4.650101E+14    3.89123E+34   6.744600576E-01  -3.811732E-01   6.933196869E-01
    47    9367.493429   2.501920E-01   4.338383E+14    3.00333E+34   8.697815561E-01  -3.609506E-01   9.114371941E-01
    48   10177.262269   2.314906E-01   3.992740E+14    2.18867E+34   1.073436731E+00  -3.406404E-01   1.146293402E+00
    49   10899.580234   2.110227E-01   3.621815E+14    1.50234E+34   1.266554908E+00  -3.216533E-01   1.375834954E+00
    50   11507.945381   1.893288E-01   3.235573E+14    9.73096E+33   1.432233992E+00  -3.051948E-01   1.577943776E+00
    51   11991.841772   1.671258E-01   2.846029E+14    5.98747E+33   1.560860284E+00  -2.919326E-01   1.738056805E+00
    52   12357.308501   1.447797E-01   2.458521E+14    3.53833E+33   1.651880328E+00  -2.819058E-01   1.852983761E+00
    53   12622.941193   1.224962E-01   2.075406E+14    2.03428E+33   1.711461378E+00  -2.746650E-01   1.928907116E+00
    54   12812.375575   1.004009E-01   1.697899E+14    1.15375E+33   1.748152243E+00  -2.695540E-01   1.975918033E+00
    55   12948.264596   7.980238E-02   1.349206E+14    6.53236E+32   1.769853864E+00  -2.659298E-01   2.003802385E+00
    56   13047.576106   5.769065E-02   9.739001E+13    3.78464E+32   1.782144771E+00  -2.633113E-01   2.019604518E+00
    57   13128.798710   4.107785E-02   6.924938E+13    2.19260E+32   1.789454139E+00  -2.611937E-01   2.029012117E+00
    58   13196.031642   2.891723E-02   4.869877E+13    1.27392E+32   1.793769660E+00  -2.594597E-01   2.034568234E+00
    59   13252.326059   2.033381E-02   3.420838E+13    7.38924E+31   1.796333556E+00  -2.580222E-01   2.037869469E+00
    60   13299.341309   1.423449E-02   2.392677E+13    4.28641E+31   1.797846418E+00  -2.568324E-01   2.039817435E+00
    61   13338.708285   9.959286E-03   1.672623E+13    2.48442E+31   1.798738059E+00  -2.558438E-01   2.040965500E+00
    62   13371.611985   6.906655E-03   1.159432E+13    1.44172E+31   1.799260483E+00  -2.550231E-01   2.041638135E+00
    63   13399.343759   4.687789E-03   7.866200E+12    8.39556E+30   1.799565386E+00  -2.543353E-01   2.042030561E+00
    64   13423.281436   2.987315E-03   5.010087E+12    4.95848E+30   1.799740988E+00  -2.537446E-01   2.042256556E+00
    65   13445.585627   1.815793E-03   3.043842E+12    3.01199E+30   1.799841227E+00  -2.531966E-01   2.042385556E+00
    66   13467.984433   1.002958E-03   1.679911E+12    1.87022E+30   1.799900473E+00  -2.526487E-01   2.042461805E+00
    67   13493.292284   5.550508E-04   9.287495E+11    1.17528E+30   1.799936822E+00  -2.520326E-01   2.042508605E+00
    68   13522.197798   3.329391E-04   5.568753E+11    7.21577E+29   1.799960772E+00  -2.513325E-01   2.042539442E+00
    69   13551.963359   1.700464E-04   2.840113E+11    4.89064E+29   1.799973164E+00  -2.506158E-01   2.042555402E+00
    70   13591.732440   1.115238E-04   1.861222E+11    2.90492E+29   1.799983875E+00  -2.496647E-01   2.042569198E+00
    71   13628.065335   7.258985E-05   1.210533E+11    1.72212E+29   1.799990340E+00  -2.488022E-01   2.042577523E+00
    72   13661.422093   4.736692E-05   7.893629E+10    1.02312E+29   1.799994206E+00  -2.480156E-01   2.042582504E+00
    73   13692.014497   3.184347E-05   5.304860E+10    6.01044E+28   1.799996567E+00  -2.472987E-01   2.042585544E+00
    74   13718.919994   2.076413E-05   3.457705E+10    3.60234E+28   1.799997928E+00  -2.466717E-01   2.042587295E+00
    75   13743.791358   1.372560E-05   2.284047E+10    2.11883E+28   1.799998773E+00  -2.460949E-01   2.042588384E+00
    76   13766.046145   8.947150E-06   1.488143E+10    1.25565E+28   1.799999269E+00  -2.455812E-01   2.042589022E+00
