       6     157      57      72

     EOS file :  /Users/jkopp/cernbox/ns-muons/packages/nscool/EOS/BSk22_test

  step        radius       baryon#       density        pressure       encl. mass            phi     encl. bar. mass 
                (m)        (#/fm3)       (g/cm3)        (dyn/cm2)      (sol. mass)                     (sol. mass)   

     0       0.000000   7.736065E+00   1.222729E+17    3.04985E+38   0.000000000E+00  -4.325615E+00   0.000000000E+00
     1      10.000000   7.735364E+00   1.222507E+17    3.04909E+38   2.574712094E-07  -4.325432E+00   2.728365697E-08
     2      11.666488   7.735118E+00   1.222428E+17    3.04882E+38   4.088227968E-07  -4.325368E+00   4.332313626E-08
     3      13.610643   7.734783E+00   1.222322E+17    3.04846E+38   6.491268734E-07  -4.325281E+00   6.879073816E-08
     4      15.878689   7.734326E+00   1.222177E+17    3.04797E+38   1.030641683E-06  -4.325162E+00   1.092269509E-07
     5      18.524522   7.733706E+00   1.221980E+17    3.04729E+38   1.636302045E-06  -4.325000E+00   1.734265010E-07
     6      21.610975   7.732861E+00   1.221712E+17    3.04638E+38   2.597698845E-06  -4.324779E+00   2.753478241E-07
     7      25.211277   7.731712E+00   1.221348E+17    3.04514E+38   4.123563561E-06  -4.324480E+00   4.371407146E-07
     8      29.410736   7.730150E+00   1.220852E+17    3.04345E+38   6.544857855E-06  -4.324072E+00   6.939443739E-07
     9      34.308689   7.728025E+00   1.220178E+17    3.04115E+38   1.038606665E-05  -4.323517E+00   1.101485530E-06
    10      40.020721   7.725137E+00   1.219262E+17    3.03803E+38   1.647774744E-05  -4.322763E+00   1.748098753E-06
    11      46.681199   7.721212E+00   1.218019E+17    3.03380E+38   2.613383426E-05  -4.321738E+00   2.773717079E-06
    12      54.446118   7.715885E+00   1.216331E+17    3.02805E+38   4.143014763E-05  -4.320346E+00   4.399819897E-06
    13      63.496273   7.708657E+00   1.214044E+17    3.02027E+38   6.564016287E-05  -4.318457E+00   6.976542960E-06
    14      74.040700   7.698865E+00   1.210948E+17    3.00975E+38   1.039131870E-04  -4.315894E+00   1.105653625E-05
    15      86.320325   7.685618E+00   1.206767E+17    2.99555E+38   1.643221030E-04  -4.312424E+00   1.751022991E-05
    16     100.611631   7.667739E+00   1.201135E+17    2.97646E+38   2.594659961E-04  -4.307732E+00   2.770462058E-05
    17     117.230092   7.643676E+00   1.193576E+17    2.95088E+38   4.088882801E-04  -4.301403E+00   4.377829769E-05
    18     136.532916   7.611418E+00   1.183481E+17    2.91682E+38   6.426575997E-04  -4.292894E+00   6.905985198E-05
    19     158.920489   7.568397E+00   1.170084E+17    2.87178E+38   1.006535557E-03  -4.281501E+00   1.086950887E-04
    20     184.835676   7.511410E+00   1.152456E+17    2.81280E+38   1.569171869E-03  -4.266329E+00   1.705690842E-04
    21     214.760031   7.436587E+00   1.129514E+17    2.73654E+38   2.431628847E-03  -4.246267E+00   2.666275592E-04
    22     249.206043   7.339445E+00   1.100075E+17    2.63951E+38   3.739098966E-03  -4.219979E+00   4.147093457E-04
    23     288.705033   7.215097E+00   1.062960E+17    2.51853E+38   5.693788067E-03  -4.185920E+00   6.409846782E-04
    24     333.791483   7.058655E+00   1.017175E+17    2.37142E+38   8.566557348E-03  -4.142399E+00   9.830399405E-04
    25     384.986281   6.865849E+00   9.621399E+16    2.19779E+38   1.270336050E-02  -4.087696E+00   1.493558296E-03
    26     442.783289   6.633797E+00   8.979396E+16    1.99981E+38   1.852162439E-02  -4.020220E+00   2.244445899E-03
    27     507.644575   6.361763E+00   8.255119E+16    1.78263E+38   2.649269154E-02  -3.938710E+00   3.331205987E-03
    28     580.008583   6.051691E+00   7.466850E+16    1.55411E+38   3.710994738E-02  -3.842404E+00   4.877430648E-03
    29     660.312160   5.708290E+00   6.640190E+16    1.32380E+38   5.084737360E-02  -3.731162E+00   7.039466758E-03
    30     749.023249   5.338634E+00   5.804724E+16    1.10152E+38   6.811744650E-02  -3.605495E+00   1.001153193E-02
    31     846.678532   4.951356E+00   4.989898E+16    8.95771E+37   8.923807118E-02  -3.466505E+00   1.403168535E-02
    32     953.920889   4.555687E+00   4.221277E+16    7.12671E+37   1.144152857E-01  -3.315768E+00   1.938904464E-02
    33    1071.534374   4.160551E+00   3.518058E+16    5.55527E+37   1.437437441E-01  -3.155183E+00   2.643255169E-02
    34    1200.477774   3.773882E+00   2.892132E+16    4.25007E+37   1.772229084E-01  -2.986835E+00   3.558155787E-02
    35    1341.919815   3.402214E+00   2.348454E+16    3.19721E+37   2.147846292E-01  -2.812873E+00   4.733862511E-02
    36    1497.279442   3.050512E+00   1.886260E+16    2.36953E+37   2.563272084E-01  -2.635414E+00   6.230525589E-02
    37    1668.273558   2.722199E+00   1.500638E+16    1.73335E+37   3.017513924E-01  -2.456474E+00   8.120174050E-02
    38    1856.972931   2.419298E+00   1.184076E+16    1.25380E+37   3.509945085E-01  -2.277911E+00   1.048928735E-01
    39    2065.865144   2.142643E+00   9.277960E+15    8.98315E+36   4.040598972E-01  -2.101393E+00   1.344218504E-01
    40    2297.921984   1.892094E+00   7.232728E+15    6.38484E+36   4.610479276E-01  -1.928365E+00   1.710551092E-01
    41    2556.543323   1.666311E+00   5.659843E+15    4.50480E+36   5.223880994E-01  -1.760081E+00   2.163191311E-01
    42    2844.032981   1.463640E+00   4.460530E+15    3.15662E+36   5.886672495E-01  -1.598268E+00   2.717397341E-01
    43    3161.636103   1.282248E+00   3.542762E+15    2.19733E+36   6.603222871E-01  -1.444565E+00   3.387319386E-01
    44    3509.431682   1.120162E+00   2.836042E+15    1.51897E+36   7.375479301E-01  -1.300319E+00   4.184123285E-01
    45    3885.954101   9.754903E-01   2.287388E+15    1.04188E+36   8.201385175E-01  -1.166612E+00   5.112869200E-01
    46    4287.864025   8.465203E-01   1.857710E+15    7.08138E+35   9.073394517E-01  -1.044280E+00   6.168866753E-01
    47    4709.650959   7.317726E-01   1.517827E+15    4.76088E+35   9.977133656E-01  -9.339361E-01   7.334054200E-01
    48    5143.541938   6.299716E-01   1.246494E+15    3.15939E+35   1.089093922E+00  -8.359643E-01   8.574840962E-01
    49    5579.502934   5.400233E-01   1.027989E+15    2.06463E+35   1.178644076E+00  -7.505276E-01   9.842296290E-01
    50    6005.593400   4.609561E-01   8.506195E+14    1.32540E+35   1.263094768E+00  -6.775456E-01   1.107631770E+00
    51    6408.774250   3.918677E-01   7.056642E+14    8.33923E+34   1.339178027E+00  -6.166629E-01   1.221408327E+00
    52    6776.242214   3.318880E-01   5.865315E+14    5.13321E+34   1.404186735E+00  -5.672237E-01   1.320138558E+00
    53    7097.257564   2.801523E-01   4.881736E+14    3.08841E+34   1.456532681E+00  -5.282607E-01   1.400368799E+00
    54    7365.055032   2.357870E-01   4.066543E+14    1.81684E+34   1.496083585E+00  -4.985210E-01   1.461253862E+00
    55    7578.116730   1.978985E-01   3.388069E+14    1.04696E+34   1.524097977E+00  -4.765445E-01   1.504427345E+00
    56    7740.144212   1.655879E-01   2.820362E+14    5.92871E+33   1.542760100E+00  -4.607891E-01   1.533164524E+00
    57    7858.625455   1.379780E-01   2.341802E+14    3.31285E+33   1.554536205E+00  -4.497786E-01   1.551267282E+00
    58    7942.696312   1.142784E-01   1.934885E+14    1.83483E+33   1.561644757E+00  -4.422248E-01   1.562173941E+00
    59    8001.214420   9.395882E-02   1.588214E+14    1.01125E+33   1.565795952E+00  -4.370937E-01   1.568531925E+00
    60    8041.552009   7.306615E-02   1.234897E+14    5.59216E+32   1.568150083E+00  -4.336179E-01   1.572131781E+00
    61    8070.758856   5.233218E-02   8.830174E+13    3.22157E+32   1.569413041E+00  -4.311328E-01   1.574059753E+00
    62    8094.587933   3.693363E-02   6.224361E+13    1.86002E+32   1.570151232E+00  -4.291255E-01   1.575186292E+00
    63    8114.307844   2.593604E-02   4.366429E+13    1.07659E+32   1.570582193E+00  -4.274782E-01   1.575843637E+00
    64    8130.718135   1.818165E-02   3.057951E+13    6.22884E+31   1.570834822E+00  -4.261171E-01   1.576228842E+00
    65    8144.372275   1.271198E-02   2.136177E+13    3.60637E+31   1.570982335E+00  -4.249913E-01   1.576453711E+00
    66    8155.756309   8.885095E-03   1.491816E+13    2.08740E+31   1.571068505E+00  -4.240574E-01   1.576585051E+00
    67    8165.238314   6.138991E-03   1.030480E+13    1.21255E+31   1.571118486E+00  -4.232828E-01   1.576661214E+00
    68    8173.244970   4.132040E-03   6.932413E+12    7.09720E+30   1.571147384E+00  -4.226311E-01   1.576705234E+00
    69    8180.234988   2.559976E-03   4.292750E+12    4.24831E+30   1.571163838E+00  -4.220638E-01   1.576730297E+00
    70    8187.011486   1.546126E-03   2.591355E+12    2.58255E+30   1.571173502E+00  -4.215153E-01   1.576745016E+00
    71    8193.854326   8.352030E-04   1.398511E+12    1.62921E+30   1.571179056E+00  -4.209630E-01   1.576753477E+00
    72    8201.873847   4.749410E-04   7.946434E+11    1.02080E+30   1.571182617E+00  -4.203177E-01   1.576758905E+00
    73    8210.744514   2.146882E-04   3.587246E+11    6.36541E+29   1.571184878E+00  -4.196063E-01   1.576762350E+00
    74    8223.035177   1.380847E-04   2.305859E+11    3.80639E+29   1.571186394E+00  -4.186249E-01   1.576764661E+00
    75    8234.527339   9.078985E-05   1.515100E+11    2.25031E+29   1.571187323E+00  -4.177116E-01   1.576766077E+00
    76    8244.917137   5.885954E-05   9.810609E+10    1.33796E+29   1.571187871E+00  -4.168896E-01   1.576766913E+00
