       6     153      53      68

     EOS file :  /Users/jkopp/cernbox/ns-muons/packages/nscool/EOS/nl3wr_test

  step        radius       baryon#       density        pressure       encl. mass            phi     encl. bar. mass 
                (m)        (#/fm3)       (g/cm3)        (dyn/cm2)      (sol. mass)                     (sol. mass)   

     0       0.000000   3.825031E-01   7.056603E+14    1.47449E+35   0.000000000E+00  -6.192930E-01   0.000000000E+00
     1      10.000000   3.825030E-01   7.056600E+14    1.47449E+35   1.486104271E-09  -6.192928E-01   1.349073331E-09
     2      11.666665   3.825029E-01   7.056599E+14    1.47449E+35   2.359877810E-09  -6.192928E-01   2.142277941E-09
     3      13.611108   3.825029E-01   7.056597E+14    1.47449E+35   3.747397005E-09  -6.192927E-01   3.401856890E-09
     4      15.879624   3.825028E-01   7.056596E+14    1.47449E+35   5.950724315E-09  -6.192925E-01   5.402020331E-09
     5      18.526224   3.825027E-01   7.056593E+14    1.47449E+35   9.449522626E-09  -6.192924E-01   8.578203027E-09
     6      21.613923   3.825025E-01   7.056590E+14    1.47448E+35   1.500547643E-08  -6.192921E-01   1.362185753E-08
     7      25.216235   3.825023E-01   7.056585E+14    1.47448E+35   2.382810731E-08  -6.192918E-01   2.163098116E-08
     8      29.418927   3.825021E-01   7.056579E+14    1.47448E+35   3.783807949E-08  -6.192914E-01   3.434914490E-08
     9      34.322059   3.825017E-01   7.056571E+14    1.47447E+35   6.008531236E-08  -6.192908E-01   5.454505750E-08
    10      40.042368   3.825012E-01   7.056559E+14    1.47447E+35   9.541291250E-08  -6.192900E-01   8.661528818E-08
    11      46.716042   3.825005E-01   7.056544E+14    1.47446E+35   1.515114404E-07  -6.192889E-01   1.375413446E-07
    12      54.501962   3.824996E-01   7.056523E+14    1.47445E+35   2.405929763E-07  -6.192875E-01   2.184094264E-07
    13      63.585484   3.824983E-01   7.056494E+14    1.47443E+35   3.820493215E-07  -6.192855E-01   3.468236272E-07
    14      74.182846   3.824966E-01   7.056455E+14    1.47441E+35   6.066727936E-07  -6.192827E-01   5.507377738E-07
    15      86.546307   3.824942E-01   7.056402E+14    1.47438E+35   9.633579786E-07  -6.192790E-01   8.745397299E-07
    16     100.970140   3.824910E-01   7.056330E+14    1.47434E+35   1.529742321E-06  -6.192739E-01   1.388711938E-06
    17     117.797621   3.824866E-01   7.056231E+14    1.47429E+35   2.429099649E-06  -6.192671E-01   2.205169603E-06
    18     137.429168   3.824807E-01   7.056097E+14    1.47421E+35   3.857159262E-06  -6.192577E-01   3.501611982E-06
    19     160.331821   3.824726E-01   7.055915E+14    1.47411E+35   6.124678064E-06  -6.192449E-01   5.560180134E-06
    20     187.050286   3.824616E-01   7.055667E+14    1.47398E+35   9.725009864E-06  -6.192276E-01   8.828819808E-06
    21     218.219768   3.824467E-01   7.055329E+14    1.47379E+35   1.544133020E-05  -6.192039E-01   1.401867116E-05
    22     254.580891   3.824263E-01   7.054869E+14    1.47354E+35   2.451674825E-05  -6.191718E-01   2.225860709E-05
    23     296.997006   3.823986E-01   7.054243E+14    1.47320E+35   3.892409886E-05  -6.191280E-01   3.534039048E-05
    24     346.474227   3.823608E-01   7.053392E+14    1.47273E+35   6.179362949E-05  -6.190685E-01   5.610744788E-05
    25     404.184559   3.823095E-01   7.052234E+14    1.47210E+35   9.809056947E-05  -6.189874E-01   8.907109023E-05
    26     471.492497   3.822396E-01   7.050657E+14    1.47124E+35   1.556876720E-04  -6.188772E-01   1.413865931E-04
    27     549.985444   3.821457E-01   7.048536E+14    1.47007E+35   2.470611528E-04  -6.187272E-01   2.243979952E-04
    28     641.507967   3.820182E-01   7.045655E+14    1.46847E+35   3.919675412E-04  -6.185233E-01   3.560794056E-04
    29     748.200860   3.818448E-01   7.041738E+14    1.46631E+35   6.216607420E-04  -6.182461E-01   5.648875322E-04
    30     872.543738   3.816091E-01   7.036414E+14    1.46337E+35   9.855152675E-04  -6.178693E-01   8.958263580E-04
    31    1017.401018   3.812888E-01   7.029181E+14    1.45938E+35   1.561386676E-03  -6.173576E-01   1.419964020E-03
    32    1186.069561   3.808538E-01   7.019360E+14    1.45398E+35   2.471728300E-03  -6.166632E-01   2.249302090E-03
    33    1382.324865   3.802637E-01   7.006039E+14    1.44668E+35   3.908470503E-03  -6.157218E-01   3.559868130E-03
    34    1610.460367   3.794696E-01   6.988111E+14    1.43681E+35   6.171026361E-03  -6.144474E-01   5.627288541E-03
    35    1875.306654   3.784022E-01   6.964008E+14    1.42354E+35   9.723504281E-03  -6.127256E-01   8.880964217E-03
    36    2182.226449   3.769690E-01   6.931650E+14    1.40575E+35   1.527885390E-02  -6.104055E-01   1.398511397E-02
    37    2537.050435   3.750573E-01   6.888491E+14    1.38204E+35   2.391944364E-02  -6.072904E-01   2.195768984E-02
    38    2945.923760   3.725302E-01   6.831439E+14    1.35065E+35   3.726125282E-02  -6.031280E-01   3.433831841E-02
    39    3415.004697   3.691216E-01   6.755302E+14    1.30952E+35   5.766132996E-02  -5.976025E-01   5.341284190E-02
    40    3950.064684   3.645614E-01   6.654686E+14    1.25631E+35   8.844635351E-02  -5.903304E-01   8.248480049E-02
    41    4555.676131   3.587613E-01   6.526710E+14    1.18862E+35   1.341206100E-01  -5.808694E-01   1.261825567E-01
    42    5233.868776   3.511839E-01   6.362238E+14    1.10444E+35   2.003648148E-01  -5.687504E-01   1.906336374E-01
    43    5983.152211   3.417485E-01   6.159348E+14    1.00267E+35   2.936916443E-01  -5.535324E-01   2.833802879E-01
    44    6795.991067   3.300345E-01   5.912079E+14    8.84035E+34   4.203289541E-01  -5.349207E-01   4.125708224E-01
    45    7657.557840   3.158368E-01   5.618809E+14    7.51819E+34   5.843126661E-01  -5.129049E-01   5.851899891E-01
    46    8544.304070   2.991838E-01   5.282798E+14    6.12264E+34   7.848133606E-01  -4.879289E-01   8.040077566E-01
    47    9423.972979   2.802753E-01   4.910843E+14    4.74198E+34   1.013515650E+00  -4.610172E-01   1.063661533E+00
    48   10258.449902   2.593165E-01   4.509750E+14    3.47359E+34   1.254119903E+00  -4.337485E-01   1.348169359E+00
    49   11010.250965   2.367757E-01   4.089725E+14    2.39987E+34   1.485209522E+00  -4.079763E-01   1.632250481E+00
    50   11650.247801   2.131536E-01   3.660132E+14    1.56537E+34   1.686608894E+00  -3.853693E-01   1.888401088E+00
    51   12164.502259   1.891479E-01   3.232377E+14    9.69385E+33   1.845659815E+00  -3.669491E-01   2.096237080E+00
    52   12555.967724   1.654044E-01   2.816016E+14    5.75189E+33   1.960207888E+00  -3.529058E-01   2.248861533E+00
    53   12840.760058   1.421015E-01   2.412303E+14    3.30898E+33   2.036291660E+00  -3.427550E-01   2.351533900E+00
    54   13041.935244   1.191031E-01   2.017310E+14    1.86903E+33   2.083651476E+00  -3.356591E-01   2.415934963E+00
    55   13182.999814   9.668286E-02   1.634551E+14    1.04867E+33   2.111790161E+00  -3.307410E-01   2.454363360E+00
    56   13283.388965   7.550906E-02   1.276392E+14    5.90447E+32   2.128022495E+00  -3.272804E-01   2.476570953E+00
    57   13357.243932   5.423133E-02   9.152231E+13    3.41703E+32   2.137057147E+00  -3.247610E-01   2.488936556E+00
    58   13417.751300   3.841051E-02   6.474002E+13    1.97632E+32   2.142399754E+00  -3.227169E-01   2.496254680E+00
    59   13467.853719   2.700720E-02   4.547302E+13    1.14614E+32   2.145534491E+00  -3.210397E-01   2.500549000E+00
    60   13509.665266   1.895860E-02   3.188945E+13    6.63985E+31   2.147383800E+00  -3.196515E-01   2.503082420E+00
    61   13544.519348   1.326348E-02   2.229082E+13    3.84801E+31   2.148469074E+00  -3.185027E-01   2.504569098E+00
    62   13573.636988   9.275556E-03   1.557528E+13    2.22873E+31   2.149105754E+00  -3.175489E-01   2.505441246E+00
    63   13597.927840   6.417924E-03   1.077334E+13    1.29435E+31   2.149476687E+00  -3.167574E-01   2.505949295E+00
    64   13618.431919   4.333744E-03   7.271302E+12    7.56213E+30   2.149692057E+00  -3.160924E-01   2.506244180E+00
    65   13636.260379   2.709747E-03   4.544146E+12    4.49719E+30   2.149815567E+00  -3.155164E-01   2.506413280E+00
    66   13653.290608   1.646707E-03   2.760140E+12    2.73117E+30   2.149887174E+00  -3.149683E-01   2.506511316E+00
    67   13670.379070   8.932278E-04   1.495875E+12    1.71621E+30   2.149928572E+00  -3.144201E-01   2.506567999E+00
    68   13690.260312   5.029832E-04   8.415856E+11    1.07514E+30   2.149954887E+00  -3.137849E-01   2.506604046E+00
    69   13712.487347   2.265307E-04   3.785127E+11    6.72575E+29   2.149971531E+00  -3.130778E-01   2.506626844E+00
    70   13743.529963   1.449706E-04   2.420818E+11    4.03709E+29   2.149982749E+00  -3.120958E-01   2.506642217E+00
    71   13772.857301   9.558106E-05   1.595246E+11    2.39123E+29   2.149989691E+00  -3.111739E-01   2.506651728E+00
    72   13799.384621   6.194999E-05   1.032621E+11    1.42288E+29   2.149993817E+00  -3.103448E-01   2.506657380E+00
    73   13823.907837   4.099260E-05   6.830838E+10    8.43897E+28   2.149996306E+00  -3.095824E-01   2.506660790E+00
    74   13846.010127   2.675298E-05   4.454661E+10    4.97015E+28   2.149997810E+00  -3.088985E-01   2.506662850E+00
    75   13866.064807   1.780726E-05   2.964466E+10    2.93429E+28   2.149998700E+00  -3.082807E-01   2.506664068E+00
    76   13883.932628   1.165214E-05   1.938596E+10    1.73352E+28   2.149999228E+00  -3.077325E-01   2.506664792E+00
