       6     157      57      72

     EOS file :  /Users/jkopp/cernbox/ns-muons/packages/nscool/EOS/BSk22_test

  step        radius       baryon#       density        pressure       encl. mass            phi     encl. bar. mass 
                (m)        (#/fm3)       (g/cm3)        (dyn/cm2)      (sol. mass)                     (sol. mass)   

     0       0.000000   7.735835E+00   1.222656E+17    3.04960E+38   0.000000000E+00  -4.325556E+00   0.000000000E+00
     1      10.000000   7.735135E+00   1.222434E+17    3.04884E+38   2.574558731E-07  -4.325373E+00   2.728284778E-08
     2      11.666488   7.734889E+00   1.222356E+17    3.04857E+38   4.087984475E-07  -4.325309E+00   4.332185153E-08
     3      13.610643   7.734553E+00   1.222249E+17    3.04821E+38   6.490882167E-07  -4.325222E+00   6.878869857E-08
     4      15.878689   7.734097E+00   1.222104E+17    3.04772E+38   1.030580318E-06  -4.325103E+00   1.092237132E-07
     5      18.524522   7.733477E+00   1.221907E+17    3.04705E+38   1.636204641E-06  -4.324941E+00   1.734213619E-07
     6      21.610976   7.732632E+00   1.221639E+17    3.04613E+38   2.597544262E-06  -4.324720E+00   2.753396684E-07
     7      25.211277   7.731483E+00   1.221275E+17    3.04489E+38   4.123318286E-06  -4.324421E+00   4.371277742E-07
     8      29.410737   7.729921E+00   1.220779E+17    3.04320E+38   6.544468793E-06  -4.324013E+00   6.939238481E-07
     9      34.308690   7.727796E+00   1.220105E+17    3.04090E+38   1.038544975E-05  -4.323458E+00   1.101452985E-06
    10      40.020723   7.724908E+00   1.219190E+17    3.03779E+38   1.647676981E-05  -4.322705E+00   1.748047181E-06
    11      46.681201   7.720985E+00   1.217946E+17    3.03355E+38   2.613228607E-05  -4.321680E+00   2.773635413E-06
    12      54.446122   7.715657E+00   1.216259E+17    3.02781E+38   4.142769832E-05  -4.320288E+00   4.399690710E-06
    13      63.496279   7.708430E+00   1.213972E+17    3.02003E+38   6.563629312E-05  -4.318398E+00   6.976338879E-06
    14      74.040711   7.698639E+00   1.210877E+17    3.00951E+38   1.039070841E-04  -4.315836E+00   1.105621445E-05
    15      86.320342   7.685394E+00   1.206696E+17    2.99531E+38   1.643125017E-04  -4.312366E+00   1.750972378E-05
    16     100.611657   7.667516E+00   1.201065E+17    2.97622E+38   2.594509405E-04  -4.307674E+00   2.770382723E-05
    17     117.230133   7.643456E+00   1.193507E+17    2.95065E+38   4.088647756E-04  -4.301346E+00   4.377705981E-05
    18     136.532980   7.611201E+00   1.183413E+17    2.91659E+38   6.426211207E-04  -4.292838E+00   6.905793232E-05
    19     158.920589   7.568184E+00   1.170018E+17    2.87155E+38   1.006479382E-03  -4.281445E+00   1.086921362E-04
    20     184.835831   7.511203E+00   1.152392E+17    2.81258E+38   1.569086248E-03  -4.266274E+00   1.705645925E-04
    21     214.760269   7.436386E+00   1.129453E+17    2.73633E+38   2.431500080E-03  -4.246214E+00   2.666208238E-04
    22     249.206404   7.339253E+00   1.100017E+17    2.63932E+38   3.738908606E-03  -4.219928E+00   4.146994354E-04
    23     288.705574   7.214916E+00   1.062907E+17    2.51836E+38   5.693512682E-03  -4.185871E+00   6.409704515E-04
    24     333.792280   7.058487E+00   1.017126E+17    2.37127E+38   8.566169490E-03  -4.142353E+00   9.830201580E-04
    25     384.987433   6.865695E+00   9.620965E+16    2.19766E+38   1.270283163E-02  -4.087652E+00   1.493531897E-03
    26     442.784917   6.633659E+00   8.979021E+16    1.99970E+38   1.852093025E-02  -4.020181E+00   2.244412515E-03
    27     507.646819   6.361642E+00   8.254803E+16    1.78254E+38   2.649181970E-02  -3.938674E+00   3.331166731E-03
    28     580.011596   6.051587E+00   7.466592E+16    1.55403E+38   3.710890554E-02  -3.842372E+00   4.877389175E-03
    29     660.316100   5.708203E+00   6.639985E+16    1.32375E+38   5.084619644E-02  -3.731134E+00   7.039430512E-03
    30     749.028265   5.338561E+00   5.804566E+16    1.10148E+38   6.811619874E-02  -3.605470E+00   1.001151347E-02
    31     846.684762   4.951297E+00   4.989779E+16    8.95742E+37   8.923684564E-02  -3.466484E+00   1.403170361E-02
    32     953.928446   4.555639E+00   4.221189E+16    7.12650E+37   1.144141965E-01  -3.315750E+00   1.938912612E-02
    33    1071.543348   4.160513E+00   3.517994E+16    5.55513E+37   1.437429170E-01  -3.155168E+00   2.643273146E-02
    34    1200.488226   3.773852E+00   2.892086E+16    4.24998E+37   1.772224691E-01  -2.986822E+00   3.558188037E-02
    35    1341.931778   3.402190E+00   2.348421E+16    3.19715E+37   2.147846932E-01  -2.812862E+00   4.733914477E-02
    36    1497.292921   3.050493E+00   1.886237E+16    2.36949E+37   2.563278723E-01  -2.635405E+00   6.230603734E-02
    37    1668.288529   2.722183E+00   1.500620E+16    1.73332E+37   3.017527279E-01  -2.456466E+00   8.120285847E-02
    38    1856.989346   2.419286E+00   1.184064E+16    1.25378E+37   3.509965596E-01  -2.277904E+00   1.048944121E-01
    39    2065.882931   2.142633E+00   9.277867E+15    8.98303E+36   4.040626799E-01  -2.101386E+00   1.344239022E-01
    40    2297.941052   1.892085E+00   7.232660E+15    6.38476E+36   4.610514331E-01  -1.928359E+00   1.710577734E-01
    41    2556.563539   1.666303E+00   5.659793E+15    4.50474E+36   5.223923109E-01  -1.760075E+00   2.163225056E-01
    42    2844.054138   1.463633E+00   4.460492E+15    3.15658E+36   5.886721201E-01  -1.598263E+00   2.717438994E-01
    43    3161.657955   1.282242E+00   3.542733E+15    2.19730E+36   6.603277438E-01  -1.444560E+00   3.387369485E-01
    44    3509.453947   1.120157E+00   2.836019E+15    1.51895E+36   7.375538726E-01  -1.300314E+00   4.184181946E-01
    45    3885.976448   9.754852E-01   2.287370E+15    1.04187E+36   8.201448166E-01  -1.166608E+00   5.112935909E-01
    46    4287.886082   8.465156E-01   1.857696E+15    7.08127E+35   9.073459471E-01  -1.044277E+00   6.168940228E-01
    47    4709.672324   7.317683E-01   1.517815E+15    4.76081E+35   9.977198736E-01  -9.339329E-01   7.334132352E-01
    48    5143.562148   6.299677E-01   1.246484E+15    3.15934E+35   1.089100237E+00  -8.359615E-01   8.574920843E-01
    49    5579.521458   5.400198E-01   1.027981E+15    2.06459E+35   1.178649981E+00  -7.505252E-01   9.842374283E-01
    50    6005.609704   4.609529E-01   8.506127E+14    1.32538E+35   1.263100067E+00  -6.775436E-01   1.107639008E+00
    51    6408.787794   3.918649E-01   7.056584E+14    8.33905E+34   1.339182561E+00  -6.166614E-01   1.221414669E+00
    52    6776.252545   3.318856E-01   5.865267E+14    5.13310E+34   1.404190410E+00  -5.672227E-01   1.320143771E+00
    53    7097.264401   2.801501E-01   4.881696E+14    3.08834E+34   1.456535491E+00  -5.282600E-01   1.400372799E+00
    54    7365.058331   2.357851E-01   4.066509E+14    1.81679E+34   1.496085603E+00  -4.985208E-01   1.461256717E+00
    55    7578.116727   1.978969E-01   3.388040E+14    1.04693E+34   1.524099342E+00  -4.765445E-01   1.504429237E+00
    56    7740.141353   1.655865E-01   2.820338E+14    5.92855E+33   1.542760974E+00  -4.607894E-01   1.533165685E+00
    57    7858.620299   1.379768E-01   2.341782E+14    3.31276E+33   1.554536738E+00  -4.497791E-01   1.551267935E+00
    58    7942.689421   1.142774E-01   1.934868E+14    1.83478E+33   1.561645071E+00  -4.422254E-01   1.562174266E+00
    59    8001.206280   9.395796E-02   1.588199E+14    1.01122E+33   1.565796131E+00  -4.370944E-01   1.568532050E+00
    60    8041.542992   7.306497E-02   1.234877E+14    5.59201E+32   1.568150182E+00  -4.336186E-01   1.572131786E+00
    61    8070.749422   5.233133E-02   8.830029E+13    3.22148E+32   1.569413098E+00  -4.311336E-01   1.574059695E+00
    62    8094.578153   3.693300E-02   6.224255E+13    1.85997E+32   1.570151264E+00  -4.291263E-01   1.575186197E+00
    63    8114.297802   2.593559E-02   4.366354E+13    1.07656E+32   1.570582210E+00  -4.274790E-01   1.575843521E+00
    64    8130.707873   1.818134E-02   3.057898E+13    6.22867E+31   1.570834831E+00  -4.261179E-01   1.576228714E+00
    65    8144.361832   1.271176E-02   2.136140E+13    3.60628E+31   1.570982339E+00  -4.249922E-01   1.576453575E+00
    66    8155.745714   8.884935E-03   1.491789E+13    2.08734E+31   1.571068506E+00  -4.240583E-01   1.576584912E+00
    67    8165.227598   6.138880E-03   1.030461E+13    1.21252E+31   1.571118486E+00  -4.232837E-01   1.576661072E+00
    68    8173.234151   4.131961E-03   6.932280E+12    7.09702E+30   1.571147383E+00  -4.226319E-01   1.576705090E+00
    69    8180.224094   2.559918E-03   4.292652E+12    4.24822E+30   1.571163836E+00  -4.220646E-01   1.576730152E+00
    70    8187.000562   1.546079E-03   2.591277E+12    2.58249E+30   1.571173500E+00  -4.215162E-01   1.576744871E+00
    71    8193.843424   8.351790E-04   1.398471E+12    1.62917E+30   1.571179054E+00  -4.209639E-01   1.576753332E+00
    72    8201.862962   4.749285E-04   7.946224E+11    1.02077E+30   1.571182615E+00  -4.203186E-01   1.576758759E+00
    73    8210.733612   2.146830E-04   3.587157E+11    6.36525E+29   1.571184876E+00  -4.196072E-01   1.576762205E+00
    74    8223.024214   1.380816E-04   2.305808E+11    3.80629E+29   1.571186392E+00  -4.186258E-01   1.576764515E+00
    75    8234.516272   9.078773E-05   1.515065E+11    2.25024E+29   1.571187320E+00  -4.177125E-01   1.576765931E+00
    76    8244.905980   5.885818E-05   9.810383E+10    1.33792E+29   1.571187869E+00  -4.168904E-01   1.576766767E+00
