         5       377       111       281

EOS                                                                            

  i            rad           emas         rho         pres          nb           kf(e)      kf(mu)       kf(p)       kf(n)      kf(la)      kf(S-)      kf(S0)      kf(S+)         Tc(n)       Tc(p)      Tc(la)    Durca        mstn        mstp  nSF   Acel   Aion   Zion
   20   5.857017E+03   2.057410E-01   4.599E+14   3.153E+34   2.317E-01      7.739E-01   5.048E-01   8.436E-01   1.781E+00   1.416E-01   2.016E-01   2.125E-01   0.000E+00      9.985E+08   1.000E+00   1.000E+00   01000   4.229E-01   4.229E-01  3p2   N/A    N/A    N/A 
   21   5.953050E+03   2.158860E-01   4.577E+14   3.101E+34   2.307E-01      7.721E-01   5.027E-01   8.413E-01   1.779E+00   1.414E-01   2.013E-01   2.121E-01   0.000E+00      9.982E+08   1.000E+00   1.000E+00   01000   4.243E-01   4.243E-01  3p2   N/A    N/A    N/A 
   22   6.046082E+03   2.262796E-01   4.554E+14   3.049E+34   2.296E-01      7.703E-01   5.006E-01   8.390E-01   1.776E+00   1.412E-01   2.010E-01   2.118E-01   0.000E+00      9.978E+08   1.000E+00   1.000E+00   01000   4.257E-01   4.257E-01  3p2   N/A    N/A    N/A 
   23   6.136336E+03   2.363628E-01   4.532E+14   2.999E+34   2.286E-01      7.685E-01   4.986E-01   8.368E-01   1.774E+00   1.410E-01   2.007E-01   2.115E-01   0.000E+00      9.973E+08   1.000E+00   1.000E+00   01000   4.271E-01   4.271E-01  3p2   N/A    N/A    N/A 
   24   6.224009E+03   2.461578E-01   4.511E+14   2.950E+34   2.276E-01      7.667E-01   4.966E-01   8.346E-01   1.772E+00   1.408E-01   2.004E-01   2.112E-01   0.000E+00      9.969E+08   1.000E+00   1.000E+00   01000   4.284E-01   4.284E-01  3p2   N/A    N/A    N/A 
   25   6.309280E+03   2.556843E-01   4.490E+14   2.903E+34   2.266E-01      7.650E-01   4.947E-01   8.324E-01   1.770E+00   1.406E-01   2.001E-01   2.109E-01   0.000E+00      9.964E+08   1.000E+00   1.000E+00   01000   4.297E-01   4.297E-01  3p2   N/A    N/A    N/A 
   26   6.392307E+03   2.649602E-01   4.470E+14   2.856E+34   2.257E-01      7.634E-01   4.928E-01   8.303E-01   1.768E+00   1.404E-01   1.998E-01   2.106E-01   0.000E+00      9.959E+08   1.000E+00   1.000E+00   01000   4.310E-01   4.310E-01  3p2   N/A    N/A    N/A 
   27   6.473231E+03   2.740011E-01   4.450E+14   2.811E+34   2.248E-01      7.617E-01   4.910E-01   8.283E-01   1.766E+00   1.402E-01   1.996E-01   2.103E-01   0.000E+00      9.954E+08   1.000E+00   1.000E+00   01000   4.322E-01   4.322E-01  3p2   N/A    N/A    N/A 
   28   6.552180E+03   2.828213E-01   4.431E+14   2.767E+34   2.239E-01      7.601E-01   4.892E-01   8.263E-01   1.764E+00   1.400E-01   1.993E-01   2.101E-01   0.000E+00      9.948E+08   1.000E+00   1.000E+00   01000   4.335E-01   4.335E-01  3p2   N/A    N/A    N/A 
   29   6.629271E+03   2.914341E-01   4.412E+14   2.724E+34   2.230E-01      7.586E-01   4.875E-01   8.244E-01   1.762E+00   1.398E-01   1.990E-01   2.098E-01   0.000E+00      9.943E+08   1.000E+00   1.000E+00   01000   4.347E-01   4.347E-01  3p2   N/A    N/A    N/A 
   30   6.704610E+03   3.011487E-01   4.391E+14   2.681E+34   2.221E-01      7.568E-01   4.855E-01   8.222E-01   1.760E+00   1.396E-01   1.988E-01   2.095E-01   0.000E+00      9.936E+08   1.000E+00   1.000E+00   01000   4.360E-01   4.360E-01  3p2   N/A    N/A    N/A 
   31   6.778294E+03   3.110758E-01   4.370E+14   2.638E+34   2.211E-01      7.551E-01   4.836E-01   8.200E-01   1.758E+00   1.394E-01   1.985E-01   2.092E-01   0.000E+00      9.929E+08   1.000E+00   1.000E+00   01000   4.374E-01   4.374E-01  3p2   N/A    N/A    N/A 
   32   6.850409E+03   3.207914E-01   4.350E+14   2.596E+34   2.202E-01      7.533E-01   4.817E-01   8.179E-01   1.756E+00   1.392E-01   1.982E-01   2.089E-01   0.000E+00      9.922E+08   1.000E+00   1.000E+00   01000   4.387E-01   4.387E-01  3p2   N/A    N/A    N/A 
   33   6.921036E+03   3.303068E-01   4.330E+14   2.555E+34   2.192E-01      7.516E-01   4.798E-01   8.158E-01   1.754E+00   1.390E-01   1.979E-01   2.086E-01   0.000E+00      9.915E+08   1.000E+00   1.000E+00   01000   4.401E-01   4.401E-01  3p2   N/A    N/A    N/A 
   34   6.990251E+03   3.396318E-01   4.310E+14   2.514E+34   2.183E-01      7.500E-01   4.780E-01   8.137E-01   1.752E+00   1.388E-01   1.976E-01   2.083E-01   0.000E+00      9.907E+08   1.000E+00   1.000E+00   01000   4.414E-01   4.414E-01  3p2   N/A    N/A    N/A 
   35   7.058122E+03   3.487757E-01   4.291E+14   2.475E+34   2.174E-01      7.483E-01   4.762E-01   8.117E-01   1.750E+00   1.387E-01   1.974E-01   2.080E-01   0.000E+00      9.899E+08   1.000E+00   1.000E+00   01000   4.426E-01   4.426E-01  3p2   N/A    N/A    N/A 
   36   7.124712E+03   3.577470E-01   4.272E+14   2.436E+34   2.166E-01      7.467E-01   4.744E-01   8.097E-01   1.748E+00   1.385E-01   1.971E-01   2.077E-01   0.000E+00      9.891E+08   1.000E+00   1.000E+00   01000   4.439E-01   4.439E-01  3p2   N/A    N/A    N/A 
   37   7.190080E+03   3.665538E-01   4.253E+14   2.398E+34   2.157E-01      7.451E-01   4.727E-01   8.077E-01   1.746E+00   1.383E-01   1.968E-01   2.075E-01   0.000E+00      9.883E+08   1.000E+00   1.000E+00   01000   4.452E-01   4.452E-01  3p2   N/A    N/A    N/A 
   38   7.254280E+03   3.752031E-01   4.235E+14   2.360E+34   2.149E-01      7.435E-01   4.710E-01   8.058E-01   1.744E+00   1.381E-01   1.966E-01   2.072E-01   0.000E+00      9.875E+08   1.000E+00   1.000E+00   01000   4.464E-01   4.464E-01  3p2   N/A    N/A    N/A 
   39   7.317364E+03   3.837021E-01   4.217E+14   2.323E+34   2.140E-01      7.420E-01   4.693E-01   8.039E-01   1.742E+00   1.379E-01   1.963E-01   2.069E-01   0.000E+00      9.866E+08   1.000E+00   1.000E+00   01000   4.476E-01   4.476E-01  3p2   N/A    N/A    N/A 
   40   7.379379E+03   3.920571E-01   4.200E+14   2.287E+34   2.132E-01      7.405E-01   4.677E-01   8.020E-01   1.740E+00   1.377E-01   1.961E-01   2.067E-01   0.000E+00      9.858E+08   1.402E+07   1.000E+00   01000   4.488E-01   4.488E-01  3p2   N/A    N/A    N/A 
   41   7.440368E+03   4.002739E-01   4.182E+14   2.252E+34   2.124E-01      7.390E-01   4.660E-01   8.001E-01   1.738E+00   1.376E-01   1.958E-01   2.064E-01   0.000E+00      9.849E+08   3.146E+07   1.000E+00   01000   4.500E-01   4.500E-01  3p2   N/A    N/A    N/A 
   42   7.500374E+03   4.096835E-01   4.162E+14   2.216E+34   2.115E-01      7.372E-01   4.642E-01   7.980E-01   1.736E+00   1.374E-01   1.955E-01   2.061E-01   0.000E+00      9.838E+08   5.545E+07   1.000E+00   01000   4.514E-01   4.514E-01  3p2   N/A    N/A    N/A 
   43   7.559434E+03   4.189734E-01   4.143E+14   2.181E+34   2.105E-01      7.355E-01   4.623E-01   7.959E-01   1.734E+00   1.372E-01   1.952E-01   2.058E-01   0.000E+00      9.828E+08   8.312E+07   1.000E+00   01000   4.528E-01   4.528E-01  3p2   N/A    N/A    N/A 
   44   7.617586E+03   4.281203E-01   4.123E+14   2.146E+34   2.096E-01      7.338E-01   4.605E-01   7.938E-01   1.732E+00   1.370E-01   1.950E-01   2.055E-01   0.000E+00      9.817E+08   1.136E+08   1.000E+00   01000   4.541E-01   4.541E-01  3p2   N/A    N/A    N/A 
   45   7.674863E+03   4.371295E-01   4.104E+14   2.112E+34   2.088E-01      7.322E-01   4.587E-01   7.918E-01   1.730E+00   1.368E-01   1.947E-01   2.052E-01   0.000E+00      9.806E+08   1.468E+08   1.000E+00   01000   4.554E-01   4.554E-01  3p2   N/A    N/A    N/A 
   46   7.731298E+03   4.460064E-01   4.085E+14   2.079E+34   2.079E-01      7.305E-01   4.569E-01   7.898E-01   1.728E+00   1.366E-01   1.944E-01   2.049E-01   0.000E+00      9.794E+08   1.824E+08   1.000E+00   01000   4.568E-01   4.568E-01  3p2   N/A    N/A    N/A 
   47   7.786921E+03   4.547554E-01   4.067E+14   2.046E+34   2.070E-01      7.289E-01   4.551E-01   7.878E-01   1.726E+00   1.364E-01   1.942E-01   2.046E-01   0.000E+00      9.783E+08   2.197E+08   1.000E+00   01000   4.581E-01   4.581E-01  3p2   N/A    N/A    N/A 
   48   7.841760E+03   4.633813E-01   4.048E+14   2.013E+34   2.062E-01      7.273E-01   4.534E-01   7.858E-01   1.724E+00   1.362E-01   1.939E-01   2.044E-01   0.000E+00      9.771E+08   2.585E+08   1.000E+00   01000   4.594E-01   4.594E-01  3p2   N/A    N/A    N/A 
   49   7.895843E+03   4.718881E-01   4.030E+14   1.981E+34   2.053E-01      7.257E-01   4.517E-01   7.839E-01   1.722E+00   1.360E-01   1.936E-01   2.041E-01   0.000E+00      9.759E+08   2.988E+08   1.000E+00   01000   4.607E-01   4.607E-01  3p2   N/A    N/A    N/A 
   50   7.949195E+03   4.802800E-01   4.013E+14   1.949E+34   2.045E-01      7.242E-01   4.500E-01   7.819E-01   1.720E+00   1.358E-01   1.934E-01   2.038E-01   0.000E+00      9.747E+08   3.401E+08   1.000E+00   01000   4.620E-01   4.620E-01  3p2   N/A    N/A    N/A 
   51   8.001840E+03   4.885607E-01   3.995E+14   1.918E+34   2.037E-01      7.226E-01   4.483E-01   7.801E-01   1.718E+00   1.357E-01   1.931E-01   2.035E-01   0.000E+00      9.734E+08   3.818E+08   1.000E+00   01000   4.632E-01   4.632E-01  3p2   N/A    N/A    N/A 
   52   8.053802E+03   4.967339E-01   3.978E+14   1.887E+34   2.029E-01      7.211E-01   4.466E-01   7.782E-01   1.716E+00   1.355E-01   1.928E-01   2.033E-01   0.000E+00      9.722E+08   4.241E+08   1.000E+00   01000   4.645E-01   4.645E-01  3p2   N/A    N/A    N/A 
   53   8.105101E+03   5.048029E-01   3.961E+14   1.856E+34   2.021E-01      7.196E-01   4.450E-01   7.763E-01   1.714E+00   1.353E-01   1.926E-01   2.030E-01   0.000E+00      9.709E+08   4.669E+08   1.000E+00   01000   4.657E-01   4.657E-01  3p2   N/A    N/A    N/A 
   54   8.155759E+03   5.127711E-01   3.944E+14   1.826E+34   2.013E-01      7.181E-01   4.433E-01   7.745E-01   1.712E+00   1.351E-01   1.923E-01   2.027E-01   0.000E+00      9.696E+08   5.096E+08   1.000E+00   01000   4.670E-01   4.670E-01  3p2   N/A    N/A    N/A 
   55   8.205796E+03   5.206415E-01   3.927E+14   1.796E+34   2.005E-01      7.167E-01   4.417E-01   7.727E-01   1.710E+00   1.350E-01   1.921E-01   2.025E-01   0.000E+00      9.683E+08   5.520E+08   1.000E+00   01000   4.682E-01   4.682E-01  3p2   N/A    N/A    N/A 
   56   8.255230E+03   5.287720E-01   3.909E+14   1.767E+34   1.997E-01      7.151E-01   4.400E-01   7.708E-01   1.708E+00   1.348E-01   1.918E-01   2.022E-01   0.000E+00      9.669E+08   5.968E+08   1.000E+00   01000   4.695E-01   4.695E-01  3p2   N/A    N/A    N/A 
   57   8.304078E+03   5.374181E-01   3.890E+14   1.738E+34   1.988E-01      7.135E-01   4.381E-01   7.687E-01   1.706E+00   1.346E-01   1.915E-01   2.019E-01   0.000E+00      9.654E+08   6.458E+08   1.000E+00   01000   4.709E-01   4.709E-01  3p2   N/A    N/A    N/A 
   58   8.352359E+03   5.459637E-01   3.872E+14   1.710E+34   1.979E-01      7.118E-01   4.363E-01   7.667E-01   1.704E+00   1.344E-01   1.913E-01   2.016E-01   0.000E+00      9.638E+08   6.933E+08   1.000E+00   01000   4.723E-01   4.723E-01  3p2   N/A    N/A    N/A 
   59   8.400087E+03   5.544116E-01   3.853E+14   1.682E+34   1.970E-01      7.102E-01   4.344E-01   7.647E-01   1.702E+00   1.342E-01   1.910E-01   2.013E-01   0.000E+00      9.622E+08   7.401E+08   1.000E+00   01000   4.737E-01   4.737E-01  3p2   N/A    N/A    N/A 
   60   8.447280E+03   5.627646E-01   3.834E+14   1.654E+34   1.962E-01      7.086E-01   4.326E-01   7.627E-01   1.700E+00   1.340E-01   1.907E-01   2.010E-01   0.000E+00      9.606E+08   7.857E+08   1.000E+00   01000   4.751E-01   4.751E-01  3p2   N/A    N/A    N/A 
   61   8.493951E+03   5.710253E-01   3.816E+14   1.627E+34   1.953E-01      7.070E-01   4.308E-01   7.607E-01   1.698E+00   1.338E-01   1.904E-01   2.007E-01   0.000E+00      9.589E+08   8.293E+08   1.000E+00   01000   4.765E-01   4.765E-01  3p2   N/A    N/A    N/A 
   62   8.540115E+03   5.791963E-01   3.798E+14   1.599E+34   1.945E-01      7.054E-01   4.290E-01   7.588E-01   1.695E+00   1.336E-01   1.901E-01   2.004E-01   0.000E+00      9.572E+08   8.714E+08   1.000E+00   01000   4.779E-01   4.779E-01  3p2   N/A    N/A    N/A 
   63   8.585785E+03   5.872797E-01   3.780E+14   1.573E+34   1.936E-01      7.038E-01   4.272E-01   7.568E-01   1.693E+00   1.334E-01   1.899E-01   2.001E-01   0.000E+00      9.555E+08   9.120E+08   1.000E+00   01000   4.793E-01   4.793E-01  3p2   N/A    N/A    N/A 
   64   8.630974E+03   5.952781E-01   3.763E+14   1.546E+34   1.928E-01      7.023E-01   4.254E-01   7.549E-01   1.691E+00   1.332E-01   1.896E-01   1.998E-01   0.000E+00      9.538E+08   9.505E+08   1.000E+00   01000   4.806E-01   4.806E-01  3p2   N/A    N/A    N/A 
   65   8.675695E+03   6.031936E-01   3.745E+14   1.520E+34   1.920E-01      7.008E-01   4.236E-01   7.530E-01   1.689E+00   1.330E-01   1.893E-01   1.996E-01   0.000E+00      9.521E+08   9.875E+08   1.000E+00   01000   4.820E-01   4.820E-01  3p2   N/A    N/A    N/A 
   66   8.719959E+03   6.110284E-01   3.728E+14   1.494E+34   1.912E-01      6.993E-01   4.218E-01   7.511E-01   1.687E+00   1.328E-01   1.891E-01   1.993E-01   0.000E+00      9.503E+08   1.023E+09   1.000E+00   01000   4.833E-01   4.833E-01  3p2   N/A    N/A    N/A 
   67   8.763779E+03   6.187845E-01   3.711E+14   1.468E+34   1.904E-01      6.978E-01   4.200E-01   7.493E-01   1.685E+00   1.326E-01   1.888E-01   1.990E-01   0.000E+00      9.486E+08   1.057E+09   1.000E+00   01000   4.847E-01   4.847E-01  3p2   N/A    N/A    N/A 
   68   8.807164E+03   6.264636E-01   3.694E+14   1.442E+34   1.896E-01      6.964E-01   4.182E-01   7.474E-01   1.683E+00   1.325E-01   1.885E-01   1.987E-01   0.000E+00      9.468E+08   1.090E+09   1.000E+00   01000   4.860E-01   4.860E-01  3p2   N/A    N/A    N/A 
   69   8.850127E+03   6.340679E-01   3.677E+14   1.417E+34   1.888E-01      6.949E-01   4.165E-01   7.456E-01   1.681E+00   1.323E-01   1.883E-01   1.984E-01   0.000E+00      9.450E+08   1.122E+09   1.000E+00   01000   4.873E-01   4.873E-01  3p2   N/A    N/A    N/A 
   70   8.892676E+03   6.415991E-01   3.661E+14   1.392E+34   1.880E-01      6.935E-01   4.147E-01   7.438E-01   1.679E+00   1.321E-01   1.880E-01   1.982E-01   0.000E+00      9.431E+08   1.153E+09   1.000E+00   01000   4.886E-01   4.886E-01  3p2   N/A    N/A    N/A 
   71   8.934822E+03   6.490588E-01   3.644E+14   1.367E+34   1.872E-01      6.921E-01   4.129E-01   7.420E-01   1.677E+00   1.319E-01   1.878E-01   1.979E-01   0.000E+00      9.413E+08   1.182E+09   1.000E+00   01000   4.900E-01   4.900E-01  3p2   N/A    N/A    N/A 
   72   8.976575E+03   6.564489E-01   3.628E+14   1.343E+34   1.865E-01      6.907E-01   4.111E-01   7.402E-01   1.675E+00   1.317E-01   1.875E-01   1.976E-01   0.000E+00      9.394E+08   1.211E+09   1.000E+00   01000   4.913E-01   4.913E-01  3p2   N/A    N/A    N/A 
   73   9.017942E+03   6.640021E-01   3.611E+14   1.319E+34   1.856E-01      6.892E-01   4.092E-01   7.383E-01   1.673E+00   1.315E-01   1.872E-01   1.973E-01   0.000E+00      9.374E+08   1.241E+09   1.000E+00   01000   4.926E-01   4.926E-01  3p2   N/A    N/A    N/A 
   74   9.058933E+03   6.718422E-01   3.592E+14   1.296E+34   1.848E-01      6.876E-01   4.071E-01   7.363E-01   1.671E+00   1.313E-01   1.869E-01   1.970E-01   0.000E+00      9.352E+08   1.272E+09   1.000E+00   01000   4.942E-01   4.942E-01  3p2   N/A    N/A    N/A 
   75   9.099557E+03   6.796121E-01   3.573E+14   1.273E+34   1.839E-01      6.860E-01   4.050E-01   7.342E-01   1.668E+00   1.311E-01   1.866E-01   1.967E-01   0.000E+00      9.329E+08   1.302E+09   1.000E+00   01000   4.957E-01   4.957E-01  3p2   N/A    N/A    N/A 
   76   9.139820E+03   6.873132E-01   3.555E+14   1.250E+34   1.830E-01      6.845E-01   4.029E-01   7.322E-01   1.666E+00   1.309E-01   1.863E-01   1.964E-01   0.000E+00      9.306E+08   1.332E+09   1.000E+00   01000   4.972E-01   4.972E-01  3p2   N/A    N/A    N/A 
   77   9.179733E+03   6.949471E-01   3.536E+14   1.227E+34   1.821E-01      6.830E-01   4.008E-01   7.302E-01   1.664E+00   1.307E-01   1.860E-01   1.961E-01   0.000E+00      9.283E+08   1.361E+09   1.000E+00   01000   4.987E-01   4.987E-01  3p2   N/A    N/A    N/A 
   78   9.219301E+03   7.025151E-01   3.518E+14   1.205E+34   1.813E-01      6.814E-01   3.987E-01   7.282E-01   1.661E+00   1.305E-01   1.858E-01   1.958E-01   0.000E+00      9.260E+08   1.389E+09   1.000E+00   01000   5.002E-01   5.002E-01  3p2   N/A    N/A    N/A 
   79   9.258533E+03   7.100187E-01   3.500E+14   1.183E+34   1.804E-01      6.799E-01   3.966E-01   7.263E-01   1.659E+00   1.303E-01   1.855E-01   1.955E-01   0.000E+00      9.236E+08   1.416E+09   1.000E+00   01000   5.017E-01   5.017E-01  3p2   N/A    N/A    N/A 
   80   9.297435E+03   7.174593E-01   3.482E+14   1.161E+34   1.796E-01      6.785E-01   3.944E-01   7.243E-01   1.657E+00   1.301E-01   1.852E-01   1.952E-01   0.000E+00      9.213E+08   1.442E+09   1.000E+00   01000   5.032E-01   5.032E-01  3p2   N/A    N/A    N/A 
   81   9.336014E+03   7.248382E-01   3.465E+14   1.139E+34   1.788E-01      6.770E-01   3.922E-01   7.224E-01   1.655E+00   1.299E-01   1.849E-01   1.949E-01   0.000E+00      9.188E+08   1.468E+09   1.000E+00   01000   5.047E-01   5.047E-01  3p2   N/A    N/A    N/A 
