         5       363       111       267

EOS                                                                            

  i            rad           emas         rho         pres          nb           kf(e)      kf(mu)       kf(p)       kf(n)      kf(la)      kf(S-)      kf(S0)      kf(S+)         Tc(n)       Tc(p)      Tc(la)    Durca        mstn        mstp  nSF   Acel   Aion   Zion

    0   0.000000E+00   0.000000E+00   8.027E+14   1.151E+35   4.386E-01      1.126E+00   9.909E-01   1.339E+00   2.196E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      5.347E+08   1.000E+00   1.000E+00   20000   4.545E-01   4.634E-01  3p2   N/A    N/A    N/A 
    1   2.473397E+03   2.524385E-02   7.758E+14   1.058E+35   4.258E-01      1.105E+00   9.670E-01   1.311E+00   2.179E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      5.621E+08   1.000E+00   1.000E+00   20000   4.668E-01   4.717E-01  3p2   N/A    N/A    N/A 
    2   3.116285E+03   5.025516E-02   7.600E+14   1.006E+35   4.183E-01      1.093E+00   9.527E-01   1.295E+00   2.170E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      5.788E+08   1.000E+00   1.000E+00   20000   4.744E-01   4.766E-01  3p2   N/A    N/A    N/A 
    3   3.567256E+03   7.450376E-02   7.469E+14   9.630E+34   4.120E-01      1.082E+00   9.406E-01   1.281E+00   2.161E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      5.930E+08   1.000E+00   1.000E+00   20000   4.808E-01   4.808E-01  3p2   N/A    N/A    N/A 
    4   3.926273E+03   9.732121E-02   7.355E+14   9.264E+34   4.065E-01      1.073E+00   9.300E-01   1.268E+00   2.154E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      6.057E+08   1.000E+00   1.000E+00   20000   4.866E-01   4.845E-01  3p2   N/A    N/A    N/A 
    5   4.229449E+03   1.218937E-01   7.246E+14   8.924E+34   4.012E-01      1.064E+00   9.197E-01   1.256E+00   2.147E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      6.180E+08   1.000E+00   1.000E+00   20000   4.923E-01   4.881E-01  3p2   N/A    N/A    N/A 
    6   4.494461E+03   1.433773E-01   7.151E+14   8.626E+34   3.965E-01      1.056E+00   9.106E-01   1.246E+00   2.140E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      6.290E+08   1.000E+00   1.000E+00   20000   4.974E-01   4.913E-01  3p2   N/A    N/A    N/A 
    7   4.731439E+03   1.677945E-01   7.054E+14   8.336E+34   3.918E-01      1.048E+00   9.012E-01   1.235E+00   2.134E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      6.404E+08   1.000E+00   1.000E+00   20000   5.027E-01   4.946E-01  3p2   N/A    N/A    N/A 
    8   4.946794E+03   1.899838E-01   6.966E+14   8.072E+34   3.874E-01      1.041E+00   8.926E-01   1.225E+00   2.128E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      6.508E+08   1.000E+00   1.000E+00   10000   5.076E-01   4.976E-01  3p2   N/A    N/A    N/A 
    9   5.144873E+03   2.104833E-01   6.885E+14   7.830E+34   3.834E-01      1.034E+00   8.847E-01   1.216E+00   2.122E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      6.606E+08   1.000E+00   1.000E+00   10000   5.122E-01   5.005E-01  3p2   N/A    N/A    N/A 
   10   5.328772E+03   2.340790E-01   6.800E+14   7.589E+34   3.792E-01      1.027E+00   8.762E-01   1.206E+00   2.116E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      6.710E+08   1.000E+00   1.000E+00   10000   5.171E-01   5.035E-01  3p2   N/A    N/A    N/A 
   11   5.500786E+03   2.561498E-01   6.721E+14   7.364E+34   3.753E-01      1.020E+00   8.683E-01   1.197E+00   2.110E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      6.808E+08   1.000E+00   1.000E+00   10000   5.218E-01   5.063E-01  3p2   N/A    N/A    N/A 
   12   5.662666E+03   2.769204E-01   6.646E+14   7.152E+34   3.715E-01      1.014E+00   8.607E-01   1.189E+00   2.105E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      6.900E+08   1.000E+00   1.000E+00   10000   5.263E-01   5.090E-01  3p2   N/A    N/A    N/A 
   13   5.815784E+03   2.965668E-01   6.575E+14   6.951E+34   3.680E-01      1.008E+00   8.535E-01   1.180E+00   2.099E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      6.989E+08   1.000E+00   1.000E+00   10000   5.306E-01   5.116E-01  3p2   N/A    N/A    N/A 
   14   5.961239E+03   3.184006E-01   6.502E+14   6.754E+34   3.643E-01      1.001E+00   8.460E-01   1.172E+00   2.094E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      7.082E+08   1.000E+00   1.000E+00   10000   5.351E-01   5.143E-01  3p2   N/A    N/A    N/A 
   15   6.099922E+03   3.400043E-01   6.430E+14   6.565E+34   3.607E-01      9.949E-01   8.386E-01   1.163E+00   2.088E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      7.174E+08   1.000E+00   1.000E+00   10000   5.396E-01   5.170E-01  3p2   N/A    N/A    N/A 
   16   6.232570E+03   3.606681E-01   6.361E+14   6.383E+34   3.572E-01      9.889E-01   8.314E-01   1.155E+00   2.083E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      7.262E+08   1.000E+00   1.000E+00   10000   5.441E-01   5.196E-01  3p2   N/A    N/A    N/A 
