         5       653       401       557

EOS                                                                            

  i            rad           emas         rho         pres          nb           kf(e)      kf(mu)       kf(p)       kf(n)      kf(la)      kf(S-)      kf(S0)      kf(S+)         Tc(n)       Tc(p)      Tc(la)    Durca        mstn        mstp  nSF   Acel   Aion   Zion

    0   0.000000E+00   0.000000E+00   6.688E+14   6.815E+34   3.776E-01      8.891E-01   7.098E-01   1.020E+00   2.163E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      5.903E+08   1.000E+00   1.000E+00   00000   4.818E-01   5.972E-01  3p2   N/A    N/A    N/A 
    1   1.501081E+03   4.807671E-03   6.615E+14   6.604E+34   3.739E-01      8.829E-01   7.020E-01   1.011E+00   2.157E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      6.005E+08   1.000E+00   1.000E+00   00000   4.860E-01   5.991E-01  3p2   N/A    N/A    N/A 
    2   1.891244E+03   9.510994E-03   6.572E+14   6.482E+34   3.717E-01      8.792E-01   6.974E-01   1.006E+00   2.153E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      6.066E+08   1.000E+00   1.000E+00   00000   4.885E-01   6.003E-01  3p2   N/A    N/A    N/A 
    3   2.164934E+03   1.413338E-02   6.536E+14   6.382E+34   3.699E-01      8.762E-01   6.935E-01   1.002E+00   2.151E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      6.118E+08   1.000E+00   1.000E+00   00000   4.905E-01   6.012E-01  3p2   N/A    N/A    N/A 
    4   2.382818E+03   1.899407E-02   6.503E+14   6.290E+34   3.682E-01      8.734E-01   6.900E-01   9.983E-01   2.148E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      6.165E+08   1.000E+00   1.000E+00   00000   4.925E-01   6.021E-01  3p2   N/A    N/A    N/A 
    5   2.566813E+03   2.359514E-02   6.474E+14   6.209E+34   3.667E-01      8.709E-01   6.869E-01   9.949E-01   2.145E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      6.207E+08   1.000E+00   1.000E+00   00000   4.942E-01   6.028E-01  3p2   N/A    N/A    N/A 
    6   2.727645E+03   2.837773E-02   6.446E+14   6.132E+34   3.653E-01      8.685E-01   6.839E-01   9.916E-01   2.143E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      6.248E+08   1.000E+00   1.000E+00   00000   4.959E-01   6.036E-01  3p2   N/A    N/A    N/A 
    7   2.871465E+03   3.265440E-02   6.421E+14   6.063E+34   3.640E-01      8.664E-01   6.811E-01   9.886E-01   2.141E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      6.285E+08   1.000E+00   1.000E+00   00000   4.974E-01   6.043E-01  3p2   N/A    N/A    N/A 
    8   3.002162E+03   3.754509E-02   6.395E+14   5.993E+34   3.627E-01      8.642E-01   6.784E-01   9.857E-01   2.139E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      6.323E+08   1.000E+00   1.000E+00   00000   4.990E-01   6.049E-01  3p2   N/A    N/A    N/A 
    9   3.122375E+03   4.227601E-02   6.371E+14   5.928E+34   3.614E-01      8.622E-01   6.758E-01   9.829E-01   2.136E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      6.359E+08   1.000E+00   1.000E+00   00000   5.005E-01   6.056E-01  3p2   N/A    N/A    N/A 
   10   3.233981E+03   4.666826E-02   6.348E+14   5.867E+34   3.603E-01      8.603E-01   6.734E-01   9.803E-01   2.135E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      6.392E+08   1.000E+00   1.000E+00   00000   5.018E-01   6.062E-01  3p2   N/A    N/A    N/A 
   11   3.338374E+03   5.077661E-02   6.327E+14   5.810E+34   3.592E-01      8.585E-01   6.711E-01   9.779E-01   2.133E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      6.423E+08   1.000E+00   1.000E+00   00000   5.031E-01   6.068E-01  3p2   N/A    N/A    N/A 
   12   3.436618E+03   5.568742E-02   6.305E+14   5.751E+34   3.580E-01      8.566E-01   6.687E-01   9.753E-01   2.131E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      6.457E+08   1.000E+00   1.000E+00   00000   5.045E-01   6.074E-01  3p2   N/A    N/A    N/A 
   13   3.529544E+03   6.048183E-02   6.283E+14   5.694E+34   3.569E-01      8.548E-01   6.663E-01   9.727E-01   2.129E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      6.489E+08   1.000E+00   1.000E+00   00000   5.059E-01   6.079E-01  3p2   N/A    N/A    N/A 
   14   3.617819E+03   6.503627E-02   6.263E+14   5.640E+34   3.558E-01      8.531E-01   6.641E-01   9.704E-01   2.127E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      6.520E+08   1.000E+00   1.000E+00   00000   5.072E-01   6.085E-01  3p2   N/A    N/A    N/A 
   15   3.701984E+03   6.937869E-02   6.243E+14   5.588E+34   3.548E-01      8.515E-01   6.620E-01   9.681E-01   2.125E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      6.550E+08   1.000E+00   1.000E+00   00000   5.084E-01   6.090E-01  3p2   N/A    N/A    N/A 
   16   3.782487E+03   7.353216E-02   6.224E+14   5.538E+34   3.539E-01      8.499E-01   6.600E-01   9.660E-01   2.124E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      6.578E+08   1.000E+00   1.000E+00   00000   5.096E-01   6.095E-01  3p2   N/A    N/A    N/A 
   17   3.859702E+03   7.751598E-02   6.207E+14   5.491E+34   3.529E-01      8.484E-01   6.581E-01   9.639E-01   2.122E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      6.606E+08   1.000E+00   1.000E+00   00000   5.107E-01   6.100E-01  3p2   N/A    N/A    N/A 
   18   3.933945E+03   8.240751E-02   6.187E+14   5.441E+34   3.519E-01      8.468E-01   6.560E-01   9.617E-01   2.120E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      6.636E+08   1.000E+00   1.000E+00   00000   5.120E-01   6.106E-01  3p2   N/A    N/A    N/A 
   19   4.005487E+03   8.718737E-02   6.168E+14   5.392E+34   3.509E-01      8.452E-01   6.539E-01   9.595E-01   2.118E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      6.665E+08   1.000E+00   1.000E+00   00000   5.132E-01   6.111E-01  3p2   N/A    N/A    N/A 
   20   4.074561E+03   9.180232E-02   6.149E+14   5.345E+34   3.500E-01      8.436E-01   6.519E-01   9.573E-01   2.117E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      6.694E+08   1.000E+00   1.000E+00   00000   5.144E-01   6.116E-01  3p2   N/A    N/A    N/A 
   21   4.141369E+03   9.626590E-02   6.131E+14   5.299E+34   3.490E-01      8.421E-01   6.499E-01   9.553E-01   2.115E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      6.721E+08   1.000E+00   1.000E+00   00000   5.156E-01   6.121E-01  3p2   N/A    N/A    N/A 
   22   4.206088E+03   1.005899E-01   6.114E+14   5.255E+34   3.482E-01      8.407E-01   6.481E-01   9.533E-01   2.114E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      6.748E+08   1.000E+00   1.000E+00   00000   5.167E-01   6.126E-01  3p2   N/A    N/A    N/A 
