         5       653       401       557

EOS                                                                            

  i            rad           emas         rho         pres          nb           kf(e)      kf(mu)       kf(p)       kf(n)      kf(la)      kf(S-)      kf(S0)      kf(S+)         Tc(n)       Tc(p)      Tc(la)    Durca        mstn        mstp  nSF   Acel   Aion   Zion

    0   0.000000E+00   0.000000E+00   9.925E+14   1.455E+35   5.448E-01      1.031E+00   8.796E-01   1.211E+00   2.430E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      2.041E+08   1.000E+00   1.000E+00   00000   5.617E-01   3.718E-01  3p2   N/A    N/A    N/A 
    1   1.432018E+03   6.178810E-03   9.810E+14   1.406E+35   5.393E-01      1.025E+00   8.734E-01   1.204E+00   2.423E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      2.118E+08   1.000E+00   1.000E+00   00000   5.640E-01   3.734E-01  3p2   N/A    N/A    N/A 
    2   1.804230E+03   1.227277E-02   9.743E+14   1.378E+35   5.361E-01      1.022E+00   8.697E-01   1.199E+00   2.419E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      2.164E+08   1.000E+00   1.000E+00   00000   5.653E-01   3.743E-01  3p2   N/A    N/A    N/A 
    3   2.065327E+03   1.839735E-02   9.686E+14   1.354E+35   5.334E-01      1.020E+00   8.665E-01   1.196E+00   2.415E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      2.204E+08   1.000E+00   1.000E+00   00000   5.664E-01   3.751E-01  3p2   N/A    N/A    N/A 
    4   2.273187E+03   2.447293E-02   9.636E+14   1.334E+35   5.310E-01      1.017E+00   8.637E-01   1.193E+00   2.412E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      2.240E+08   1.000E+00   1.000E+00   00000   5.675E-01   3.758E-01  3p2   N/A    N/A    N/A 
    5   2.448716E+03   3.032610E-02   9.590E+14   1.315E+35   5.288E-01      1.015E+00   8.612E-01   1.190E+00   2.409E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      2.273E+08   1.000E+00   1.000E+00   00000   5.684E-01   3.765E-01  3p2   N/A    N/A    N/A 
    6   2.602149E+03   3.640772E-02   9.546E+14   1.297E+35   5.267E-01      1.013E+00   8.587E-01   1.187E+00   2.406E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      2.305E+08   1.000E+00   1.000E+00   00000   5.693E-01   3.771E-01  3p2   N/A    N/A    N/A 
    7   2.739352E+03   4.248082E-02   9.504E+14   1.280E+35   5.247E-01      1.011E+00   8.564E-01   1.184E+00   2.403E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      2.336E+08   1.000E+00   1.000E+00   00000   5.702E-01   3.778E-01  3p2   N/A    N/A    N/A 
    8   2.864036E+03   4.799983E-02   9.467E+14   1.265E+35   5.229E-01      1.009E+00   8.542E-01   1.182E+00   2.400E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      2.365E+08   1.000E+00   1.000E+00   00000   5.710E-01   3.783E-01  3p2   N/A    N/A    N/A 
    9   2.978718E+03   5.404448E-02   9.429E+14   1.250E+35   5.210E-01      1.007E+00   8.520E-01   1.179E+00   2.398E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      2.394E+08   1.000E+00   1.000E+00   00000   5.718E-01   3.789E-01  3p2   N/A    N/A    N/A 
   10   3.085189E+03   6.024714E-02   9.391E+14   1.235E+35   5.192E-01      1.005E+00   8.499E-01   1.177E+00   2.395E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      2.423E+08   1.000E+00   1.000E+00   00000   5.725E-01   3.794E-01  3p2   N/A    N/A    N/A 
   11   3.184779E+03   6.604889E-02   9.356E+14   1.222E+35   5.175E-01      1.004E+00   8.479E-01   1.175E+00   2.393E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      2.450E+08   1.000E+00   1.000E+00   00000   5.733E-01   3.800E-01  3p2   N/A    N/A    N/A 
   12   3.278503E+03   7.150888E-02   9.323E+14   1.209E+35   5.160E-01      1.002E+00   8.460E-01   1.173E+00   2.391E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      2.476E+08   1.000E+00   1.000E+00   00000   5.740E-01   3.805E-01  3p2   N/A    N/A    N/A 
   13   3.367153E+03   7.682604E-02   9.292E+14   1.196E+35   5.144E-01      1.001E+00   8.442E-01   1.170E+00   2.389E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      2.501E+08   1.000E+00   1.000E+00   00000   5.747E-01   3.810E-01  3p2   N/A    N/A    N/A 
