#   Time in years,  Te_inf includes ephi
#   Temp and Lum are local values, i.e. no ephi
#
#
#        Time= 1.000E-10      Te_inf 6.490E+06
#
# zone       Rad [m]       Rho [gm/cc]        exp(phi)           dvol         Temp [K]      Lum [Lsun]           Q_mUrca        lambda_e       lambda_mu         Q_dUrca  
#                                                                        no exp(phi)    no exp(2phi) 
#
  363   1.0346238E+004  1.0000000E+010  6.0736422E-001  2.3131092E+015    4.9608666E+009  2.5996797E+003    0.0000000E+000  1.7162037E+018  0.0000000E+000  0.0000000E+000
  361   1.0345179E+004  1.0798819E+010  6.0731103E-001  2.3128995E+015    5.0335488E+009  1.2556379E+003    0.0000000E+000  1.7998152E+018  0.0000000E+000  0.0000000E+000
  359   1.0344120E+004  1.1661449E+010  6.0725785E-001  2.3126200E+015    5.0673261E+009  1.3209240E+003    0.0000000E+000  1.8819224E+018  0.0000000E+000  0.0000000E+000
  357   1.0343061E+004  1.2592987E+010  6.0720467E-001  2.3123406E+015    5.1013336E+009  1.3880010E+003    0.0000000E+000  1.9662045E+018  0.0000000E+000  0.0000000E+000
  355   1.0341998E+004  1.3598938E+010  6.0715126E-001  2.3380676E+015    5.1357110E+009  1.4577106E+003    0.0000000E+000  2.0514804E+018  0.0000000E+000  0.0000000E+000
  353   1.0340924E+004  1.4685247E+010  6.0709721E-001  2.3452094E+015    5.1706856E+009  1.5301184E+003    0.0000000E+000  2.1400757E+018  0.0000000E+000  0.0000000E+000
  351   1.0339850E+004  1.5858332E+010  6.0704317E-001  2.3449220E+015    5.2059020E+009  1.6047404E+003    0.0000000E+000  2.2308127E+018  0.0000000E+000  0.0000000E+000
  349   1.0338776E+004  1.7125125E+010  6.0698914E-001  2.3446346E+015    5.2413619E+009  1.6818591E+003    0.0000000E+000  2.3232788E+018  0.0000000E+000  0.0000000E+000
  347   1.0337702E+004  1.8493112E+010  6.0693511E-001  2.3443473E+015    5.2770669E+009  1.7615234E+003    0.0000000E+000  2.4182229E+018  0.0000000E+000  0.0000000E+000
  345   1.0336628E+004  1.9970376E+010  6.0688108E-001  2.3830099E+015    5.3130190E+009  1.8424660E+003    0.0000000E+000  2.5152649E+018  0.0000000E+000  0.0000000E+000
  343   1.0335463E+004  2.1565647E+010  6.0682241E-001  2.6610237E+015    5.3522837E+009  1.9306679E+003    0.0000000E+000  2.6141608E+018  0.0000000E+000  0.0000000E+000
  341   1.0334244E+004  2.3288352E+010  6.0676093E-001  2.6606536E+015    5.3937140E+009  2.0209518E+003    0.0000000E+000  2.7168450E+018  0.0000000E+000  0.0000000E+000
  339   1.0333024E+004  2.5148669E+010  6.0669945E-001  2.6602836E+015    5.4354699E+009  2.1141321E+003    0.0000000E+000  2.8218439E+018  0.0000000E+000  0.0000000E+000
  337   1.0331805E+004  2.7157591E+010  6.0663798E-001  2.6599137E+015    5.4775539E+009  2.2104328E+003    0.0000000E+000  2.9291630E+018  0.0000000E+000  0.0000000E+000
  335   1.0330585E+004  2.9326990E+010  6.0657652E-001  2.6595438E+015    5.5199688E+009  2.3093827E+003    0.0000000E+000  3.0388135E+018  0.0000000E+000  0.0000000E+000
  333   1.0329349E+004  3.1669685E+010  6.0651421E-001  2.8712244E+015    5.5632964E+009  2.4148625E+003    0.0000000E+000  3.1510421E+018  0.0000000E+000  0.0000000E+000
  331   1.0327968E+004  3.4199519E+010  6.0644445E-001  3.0110580E+015    5.6121219E+009  2.5249875E+003    0.0000000E+000  3.2677836E+018  0.0000000E+000  0.0000000E+000
  329   1.0326587E+004  3.6931440E+010  6.0637469E-001  3.0105840E+015    5.6613825E+009  2.6389961E+003    0.0000000E+000  3.3872548E+018  0.0000000E+000  0.0000000E+000
  327   1.0325206E+004  3.9881593E+010  6.0630493E-001  3.0101102E+015    5.7110821E+009  2.7556866E+003    0.0000000E+000  3.5094903E+018  0.0000000E+000  0.0000000E+000
  325   1.0323825E+004  4.3067409E+010  6.0623519E-001  3.0096364E+015    5.7612246E+009  2.8766087E+003    0.0000000E+000  3.6317053E+018  0.0000000E+000  0.0000000E+000
  323   1.0322444E+004  4.6507714E+010  6.0616546E-001  3.0768959E+015    5.8118141E+009  3.0026659E+003    0.0000000E+000  3.7594862E+018  0.0000000E+000  0.0000000E+000
  321   1.0320952E+004  5.0222838E+010  6.0609000E-001  3.3546114E+015    5.8669590E+009  3.1397047E+003    0.0000000E+000  3.8923630E+018  0.0000000E+000  0.0000000E+000
  319   1.0319412E+004  5.4234732E+010  6.0601206E-001  3.3540229E+015    5.9244482E+009  3.2806711E+003    0.0000000E+000  4.0294895E+018  0.0000000E+000  0.0000000E+000
  317   1.0317872E+004  5.8567103E+010  6.0593412E-001  3.3534346E+015    5.9825093E+009  3.4268896E+003    0.0000000E+000  4.1700615E+018  0.0000000E+000  0.0000000E+000
  315   1.0316332E+004  6.3245553E+010  6.0585619E-001  3.3528465E+015    6.0411480E+009  3.5785426E+003    0.0000000E+000  4.3141715E+018  0.0000000E+000  0.0000000E+000
