         5       363       111       267

EOS                                                                            

  i            rad           emas         rho         pres          nb           kf(e)      kf(mu)       kf(p)       kf(n)      kf(la)      kf(S-)      kf(S0)      kf(S+)         Tc(n)       Tc(p)      Tc(la)    Durca        mstn        mstp  nSF   Acel   Aion   Zion

    0   0.000000E+00   0.000000E+00   1.135E+16   8.445E+36   2.178E+00      1.715E+00   1.630E+00   2.108E+00   3.806E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      1.023E+02   1.000E+00   1.000E+00   10000   3.166E-01   3.166E-01  3p2   N/A    N/A    N/A 
    1   2.095278E+03   1.642072E-01   6.941E+15   4.880E+36   1.669E+00      1.576E+00   1.482E+00   1.928E+00   3.483E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      1.204E+04   1.000E+00   1.000E+00   10000   3.952E-01   3.952E-01  3p2   N/A    N/A    N/A 
    2   2.639885E+03   2.822591E-01   5.433E+15   3.683E+36   1.453E+00      1.508E+00   1.410E+00   1.840E+00   3.326E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      9.018E+04   1.000E+00   1.000E+00   10000   4.378E-01   4.378E-01  3p2   N/A    N/A    N/A 
    3   3.021913E+03   3.777289E-01   4.518E+15   2.964E+36   1.307E+00      1.459E+00   1.357E+00   1.776E+00   3.211E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      3.482E+05   1.000E+00   1.000E+00   10000   4.711E-01   4.711E-01  3p2   N/A    N/A    N/A 
    4   3.326046E+03   4.592020E-01   3.903E+15   2.485E+36   1.200E+00      1.420E+00   1.315E+00   1.725E+00   3.121E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      9.290E+05   1.000E+00   1.000E+00   10000   4.982E-01   4.982E-01  3p2   N/A    N/A    N/A 
    5   3.582874E+03   5.297368E-01   3.445E+15   2.131E+36   1.115E+00      1.387E+00   1.280E+00   1.683E+00   3.046E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      2.013E+06   1.000E+00   1.000E+00   10000   5.215E-01   5.215E-01  3p2   N/A    N/A    N/A 
    6   3.807372E+03   5.922554E-01   3.076E+15   1.848E+36   1.043E+00      1.358E+00   1.248E+00   1.645E+00   2.978E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      3.871E+06   1.000E+00   1.000E+00   10000   5.429E-01   5.429E-01  3p2   N/A    N/A    N/A 
    7   4.008122E+03   6.488294E-01   2.802E+15   1.640E+36   9.856E-01      1.334E+00   1.222E+00   1.614E+00   2.923E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      6.432E+06   1.000E+00   1.000E+00   10000   5.605E-01   5.605E-01  3p2   N/A    N/A    N/A 
    8   4.190555E+03   7.004038E-01   2.567E+15   1.462E+36   9.344E-01      1.312E+00   1.198E+00   1.585E+00   2.872E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      1.009E+07   1.000E+00   1.000E+00   10000   5.771E-01   5.771E-01  3p2   N/A    N/A    N/A 
    9   4.358353E+03   7.478238E-01   2.366E+15   1.310E+36   8.886E-01      1.292E+00   1.175E+00   1.558E+00   2.824E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      1.502E+07   1.000E+00   1.000E+00   10000   5.925E-01   5.925E-01  3p2   N/A    N/A    N/A 
   10   4.514139E+03   7.918109E-01   2.213E+15   1.196E+36   8.524E-01      1.275E+00   1.157E+00   1.535E+00   2.786E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      2.050E+07   1.000E+00   1.000E+00   10000   6.052E-01   6.052E-01  3p2   N/A    N/A    N/A 
   11   4.659856E+03   8.329552E-01   2.069E+15   1.090E+36   8.174E-01      1.258E+00   1.138E+00   1.513E+00   2.747E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      2.761E+07   1.000E+00   1.000E+00   10000   6.177E-01   6.177E-01  3p2   N/A    N/A    N/A 
   12   4.796989E+03   8.716756E-01   1.935E+15   9.897E+35   7.832E-01      1.241E+00   1.120E+00   1.491E+00   2.709E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      3.675E+07   1.000E+00   1.000E+00   10000   6.303E-01   6.303E-01  3p2   N/A    N/A    N/A 
   13   4.926699E+03   9.079040E-01   1.839E+15   9.197E+35   7.581E-01      1.228E+00   1.105E+00   1.474E+00   2.680E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      4.523E+07   1.000E+00   1.000E+00   10000   6.397E-01   6.397E-01  3p2   N/A    N/A    N/A 
   14   5.049918E+03   9.423046E-01   1.748E+15   8.541E+35   7.339E-01      1.216E+00   1.091E+00   1.457E+00   2.651E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      5.512E+07   1.000E+00   1.000E+00   10000   6.490E-01   6.490E-01  3p2   N/A    N/A    N/A 
   15   5.167399E+03   9.751036E-01   1.662E+15   7.916E+35   7.102E-01      1.203E+00   1.077E+00   1.441E+00   2.623E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      6.672E+07   1.000E+00   1.000E+00   10000   6.582E-01   6.582E-01  3p2   N/A    N/A    N/A 
