#   Time in years,  Te_inf includes ephi
#   Temp and Lum are local values, i.e. no ephi
#
#
#        Time= 1.000E-10      Te_inf 6.688E+06
#
# zone       Rad [m]       Rho [gm/cc]        exp(phi)           dvol         Temp [K]      Lum [Lsun]           Q_mUrca        lambda_e       lambda_mu         Q_dUrca  
#                                                                        no exp(phi)    no exp(2phi) 
#
  363   1.0014951E+004  1.0000000E+010  6.3818975E-001  2.3360326E+015    4.9628115E+009  2.2528641E+003    0.0000000E+000  1.7163910E+018  0.0000000E+000  0.0000000E+000
  361   1.0013754E+004  1.0798819E+010  6.3813420E-001  2.3357603E+015    5.0352582E+009  1.1485348E+003    0.0000000E+000  1.7999981E+018  0.0000000E+000  0.0000000E+000
  359   1.0012558E+004  1.1661449E+010  6.3807866E-001  2.3353974E+015    5.0707693E+009  1.2088030E+003    0.0000000E+000  1.8823435E+018  0.0000000E+000  0.0000000E+000
  357   1.0011361E+004  1.2592987E+010  6.3802313E-001  2.3350345E+015    5.1065351E+009  1.2708646E+003    0.0000000E+000  1.9669242E+018  0.0000000E+000  0.0000000E+000
  355   1.0010164E+004  1.3598938E+010  6.3796760E-001  2.3346717E+015    5.1425575E+009  1.3351354E+003    0.0000000E+000  2.0525444E+018  0.0000000E+000  0.0000000E+000
  353   1.0008968E+004  1.4685247E+010  6.3791207E-001  2.3548333E+015    5.1788382E+009  1.4017137E+003    0.0000000E+000  2.1414862E+018  0.0000000E+000  0.0000000E+000
  351   1.0007724E+004  1.5858332E+010  6.3785431E-001  2.4741502E+015    5.2168042E+009  1.4719626E+003    0.0000000E+000  2.2328980E+018  0.0000000E+000  0.0000000E+000
  349   1.0006456E+004  1.7125125E+010  6.3779531E-001  2.4737427E+015    5.2558389E+009  1.5442955E+003    0.0000000E+000  2.3263227E+018  0.0000000E+000  0.0000000E+000
  347   1.0005187E+004  1.8493112E+010  6.3773632E-001  2.4733353E+015    5.2951706E+009  1.6191730E+003    0.0000000E+000  2.4223846E+018  0.0000000E+000  0.0000000E+000
  345   1.0003919E+004  1.9970376E+010  6.3767734E-001  2.4729280E+015    5.3348016E+009  1.6962025E+003    0.0000000E+000  2.5207145E+018  0.0000000E+000  0.0000000E+000
  343   1.0002650E+004  2.1565647E+010  6.3761836E-001  2.4725207E+015    5.3747343E+009  1.7754885E+003    0.0000000E+000  2.6202450E+018  0.0000000E+000  0.0000000E+000
  341   1.0001366E+004  2.3288352E+010  6.3755868E-001  2.7013012E+015    5.4154476E+009  1.8602998E+003    0.0000000E+000  2.7231958E+018  0.0000000E+000  0.0000000E+000
  339   9.9998925E+003  2.5148669E+010  6.3749000E-001  2.8716374E+015    5.4625865E+009  1.9492212E+003    0.0000000E+000  2.8303486E+018  0.0000000E+000  0.0000000E+000
  337   9.9984185E+003  2.7157591E+010  6.3742132E-001  2.8710880E+015    5.5101428E+009  2.0413937E+003    0.0000000E+000  2.9400996E+018  0.0000000E+000  0.0000000E+000
  335   9.9969446E+003  2.9326990E+010  6.3735265E-001  2.8705388E+015    5.5581200E+009  2.1367558E+003    0.0000000E+000  3.0524744E+018  0.0000000E+000  0.0000000E+000
  333   9.9954707E+003  3.1669685E+010  6.3728399E-001  2.8699896E+015    5.6065221E+009  2.2355254E+003    0.0000000E+000  3.1675112E+018  0.0000000E+000  0.0000000E+000
  331   9.9939968E+003  3.4199519E+010  6.3721533E-001  2.8976984E+015    5.6553528E+009  2.3375102E+003    0.0000000E+000  3.2852530E+018  0.0000000E+000  0.0000000E+000
  329   9.9924704E+003  3.6931440E+010  6.3714410E-001  3.0166136E+015    5.7063790E+009  2.4454319E+003    0.0000000E+000  3.4064917E+018  0.0000000E+000  0.0000000E+000
  327   9.9909206E+003  3.9881593E+010  6.3707172E-001  3.0160069E+015    5.7586683E+009  2.5556227E+003    0.0000000E+000  3.5309668E+018  0.0000000E+000  0.0000000E+000
  325   9.9893708E+003  4.3067409E+010  6.3699935E-001  3.0154004E+015    5.8114448E+009  2.6699439E+003    0.0000000E+000  3.6555819E+018  0.0000000E+000  0.0000000E+000
  323   9.9878210E+003  4.6507714E+010  6.3692698E-001  3.0147939E+015    5.8647132E+009  2.7891807E+003    0.0000000E+000  3.7859342E+018  0.0000000E+000  0.0000000E+000
  321   9.9862711E+003  5.0222838E+010  6.3685463E-001  3.0141877E+015    5.9184781E+009  2.9118240E+003    0.0000000E+000  3.9193913E+018  0.0000000E+000  0.0000000E+000
  319   9.9846774E+003  5.4234732E+010  6.3678019E-001  3.4252362E+015    5.9742903E+009  3.0473743E+003    0.0000000E+000  4.0568744E+018  0.0000000E+000  0.0000000E+000
  317   9.9827920E+003  5.8567103E+010  6.3669191E-001  3.6652059E+015    6.0410098E+009  3.1913890E+003    0.0000000E+000  4.2036418E+018  0.0000000E+000  0.0000000E+000
  315   9.9809066E+003  6.3245553E+010  6.3660365E-001  3.6643094E+015    6.1084870E+009  3.3413217E+003    0.0000000E+000  4.3545022E+018  0.0000000E+000  0.0000000E+000
  313   9.9790212E+003  6.8297726E+010  6.3651539E-001  3.6634131E+015    6.1767307E+009  3.4973806E+003    0.0000000E+000  4.5095831E+018  0.0000000E+000  0.0000000E+000
  311   9.9771358E+003  7.3753476E+010  6.3642715E-001  3.6625171E+015    6.2457498E+009  3.6598602E+003    0.0000000E+000  4.6690194E+018  0.0000000E+000  0.0000000E+000
  309   9.9752503E+003  7.9645042E+010  6.3633892E-001  3.6864134E+015    6.3155533E+009  3.8285769E+003    0.0000000E+000  4.8329525E+018  0.0000000E+000  0.0000000E+000
  307   9.9733373E+003  8.6007237E+010  6.3624911E-001  3.7184849E+015    6.3871941E+009  4.0051756E+003    0.0000000E+000  4.9999207E+018  0.0000000E+000  0.0000000E+000
  305   9.9714221E+003  9.2877656E+010  6.3615919E-001  3.7175612E+015    6.4597421E+009  4.1899794E+003    0.0000000E+000  5.1740815E+018  0.0000000E+000  0.0000000E+000
  303   9.9695070E+003  1.0029690E+011  6.3606928E-001  3.7166378E+015    6.5331281E+009  5.6095156E+003    0.0000000E+000  5.3533037E+018  0.0000000E+000  0.0000000E+000
  301   9.9675918E+003  1.0830880E+011  6.3597938E-001  3.7157147E+015    6.6073619E+009  7.0526567E+003    0.0000000E+000  8.4762981E+018  0.0000000E+000  0.0000000E+000
  299   9.9656766E+003  1.1696071E+011  6.3588950E-001  3.7147919E+015    6.6824536E+009  7.1133121E+003    0.0000000E+000  8.8558688E+018  0.0000000E+000  0.0000000E+000
