         5       653       401       557

EOS                                                                            

  i            rad           emas         rho         pres          nb           kf(e)      kf(mu)       kf(p)       kf(n)      kf(la)      kf(S-)      kf(S0)      kf(S+)         Tc(n)       Tc(p)      Tc(la)    Durca        mstn        mstp  nSF   Acel   Aion   Zion

    0   0.000000E+00   0.000000E+00   1.591E+15   5.218E+35   7.944E-01      1.245E+00   1.123E+00   1.496E+00   2.722E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      3.328E+07   1.000E+00   1.000E+00   10000   4.804E-01   3.192E-01  3p2   N/A    N/A    N/A 
    1   1.425583E+03   9.736838E-03   1.566E+15   5.013E+35   7.849E-01      1.238E+00   1.115E+00   1.486E+00   2.713E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      3.575E+07   1.000E+00   1.000E+00   10000   4.829E-01   3.207E-01  3p2   N/A    N/A    N/A 
    2   1.796122E+03   1.933826E-02   1.551E+15   4.896E+35   7.794E-01      1.233E+00   1.110E+00   1.480E+00   2.707E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      3.729E+07   1.000E+00   1.000E+00   10000   4.843E-01   3.216E-01  3p2   N/A    N/A    N/A 
    3   2.056046E+03   2.893775E-02   1.538E+15   4.798E+35   7.747E-01      1.230E+00   1.106E+00   1.476E+00   2.702E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      3.863E+07   1.000E+00   1.000E+00   10000   4.855E-01   3.223E-01  3p2   N/A    N/A    N/A 
    4   2.262972E+03   3.841438E-02   1.527E+15   4.713E+35   7.705E-01      1.227E+00   1.103E+00   1.471E+00   2.698E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      3.987E+07   1.000E+00   1.000E+00   10000   4.866E-01   3.230E-01  3p2   N/A    N/A    N/A 
    5   2.437713E+03   4.759852E-02   1.517E+15   4.636E+35   7.668E-01      1.224E+00   1.099E+00   1.468E+00   2.694E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      4.102E+07   1.000E+00   1.000E+00   00000   4.876E-01   3.236E-01  3p2   N/A    N/A    N/A 
    6   2.590456E+03   5.702363E-02   1.508E+15   4.564E+35   7.632E-01      1.221E+00   1.096E+00   1.464E+00   2.690E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      4.215E+07   1.000E+00   1.000E+00   00000   4.886E-01   3.241E-01  3p2   N/A    N/A    N/A 
    7   2.727042E+03   6.650027E-02   1.499E+15   4.496E+35   7.597E-01      1.218E+00   1.093E+00   1.460E+00   2.686E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      4.325E+07   1.000E+00   1.000E+00   00000   4.895E-01   3.247E-01  3p2   N/A    N/A    N/A 
    8   2.851166E+03   7.511227E-02   1.490E+15   4.434E+35   7.566E-01      1.216E+00   1.091E+00   1.457E+00   2.683E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      4.427E+07   1.000E+00   1.000E+00   00000   4.903E-01   3.252E-01  3p2   N/A    N/A    N/A 
    9   2.965332E+03   8.442713E-02   1.482E+15   4.374E+35   7.535E-01      1.213E+00   1.088E+00   1.454E+00   2.680E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      4.531E+07   1.000E+00   1.000E+00   00000   4.912E-01   3.257E-01  3p2   N/A    N/A    N/A 
   10   3.071325E+03   9.403771E-02   1.474E+15   4.315E+35   7.505E-01      1.211E+00   1.085E+00   1.451E+00   2.676E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      4.637E+07   1.000E+00   1.000E+00   00000   4.920E-01   3.262E-01  3p2   N/A    N/A    N/A 
   11   3.170468E+03   1.030271E-01   1.467E+15   4.260E+35   7.476E-01      1.209E+00   1.083E+00   1.448E+00   2.673E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      4.737E+07   1.000E+00   1.000E+00   00000   4.928E-01   3.267E-01  3p2   N/A    N/A    N/A 
   12   3.263770E+03   1.114870E-01   1.460E+15   4.208E+35   7.449E-01      1.206E+00   1.080E+00   1.445E+00   2.670E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      4.835E+07   1.000E+00   1.000E+00   00000   4.935E-01   3.272E-01  3p2   N/A    N/A    N/A 
   13   3.352022E+03   1.197006E-01   1.453E+15   4.158E+35   7.423E-01      1.204E+00   1.078E+00   1.442E+00   2.667E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      4.930E+07   1.000E+00   1.000E+00   00000   4.943E-01   3.276E-01  3p2   N/A    N/A    N/A 
   14   3.435857E+03   1.295069E-01   1.446E+15   4.107E+35   7.395E-01      1.202E+00   1.075E+00   1.439E+00   2.664E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      5.034E+07   1.000E+00   1.000E+00   00000   4.950E-01   3.281E-01  3p2   N/A    N/A    N/A 
   15   3.515790E+03   1.388568E-01   1.439E+15   4.058E+35   7.369E-01      1.200E+00   1.073E+00   1.436E+00   2.662E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      5.135E+07   1.000E+00   1.000E+00   00000   4.958E-01   3.286E-01  3p2   N/A    N/A    N/A 
   16   3.592244E+03   1.477997E-01   1.433E+15   4.012E+35   7.343E-01      1.198E+00   1.071E+00   1.434E+00   2.659E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      5.233E+07   1.000E+00   1.000E+00   00000   4.965E-01   3.290E-01  3p2   N/A    N/A    N/A 
   17   3.665575E+03   1.563775E-01   1.426E+15   3.967E+35   7.319E-01      1.196E+00   1.069E+00   1.431E+00   2.656E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      5.330E+07   1.000E+00   1.000E+00   00000   4.972E-01   3.294E-01  3p2   N/A    N/A    N/A 
   18   3.736084E+03   1.646250E-01   1.420E+15   3.924E+35   7.295E-01      1.194E+00   1.067E+00   1.429E+00   2.654E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      5.425E+07   1.000E+00   1.000E+00   00000   4.979E-01   3.299E-01  3p2   N/A    N/A    N/A 
