#   Time in years,  Te_inf includes ephi
#   Temp and Lum are local values, i.e. no ephi
#
#
#        Time= 1.000E-10      Te_inf 6.323E+06
#
# zone       Rad [m]       Rho [gm/cc]        exp(phi)           dvol         Temp [K]      Lum [Lsun]           Q_mUrca        lambda_e       lambda_mu         Q_dUrca  
#                                                                        no exp(phi)    no exp(2phi) 
#
  363   1.2762156E+004  1.0000000E+010  8.7603473E-001  1.6935349E+016    4.9614451E+009  8.2357301E+002    0.0000000E+000  1.7162595E+018  0.0000000E+000  0.0000000E+000
  361   1.2754887E+004  1.0798819E+010  8.7595916E-001  1.6921956E+016    5.0343040E+009  4.0579072E+002    0.0000000E+000  1.7998961E+018  0.0000000E+000  0.0000000E+000
  359   1.2747619E+004  1.1661449E+010  8.7588358E-001  1.6904771E+016    5.0688628E+009  4.2677512E+002    0.0000000E+000  1.8821105E+018  0.0000000E+000  0.0000000E+000
  357   1.2740342E+004  1.2592987E+010  8.7580764E-001  1.6926369E+016    5.1037231E+009  4.4838199E+002    0.0000000E+000  1.9665355E+018  0.0000000E+000  0.0000000E+000
  355   1.2733056E+004  1.3598938E+010  8.7573136E-001  1.6908454E+016    5.1388851E+009  4.7072803E+002    0.0000000E+000  2.0519743E+018  0.0000000E+000  0.0000000E+000
  353   1.2725771E+004  1.4685247E+010  8.7565508E-001  1.6890549E+016    5.1743093E+009  4.9394781E+002    0.0000000E+000  2.1407036E+018  0.0000000E+000  0.0000000E+000
  351   1.2718485E+004  1.5858332E+010  8.7557880E-001  1.6872653E+016    5.2099980E+009  5.1787138E+002    0.0000000E+000  2.2315978E+018  0.0000000E+000  0.0000000E+000
  349   1.2711200E+004  1.7125125E+010  8.7550253E-001  1.6854767E+016    5.2459532E+009  5.4258994E+002    0.0000000E+000  2.3242468E+018  0.0000000E+000  0.0000000E+000
  347   1.2703914E+004  1.8493112E+010  8.7542627E-001  1.7601360E+016    5.2821771E+009  5.6830626E+002    0.0000000E+000  2.4194015E+018  0.0000000E+000  0.0000000E+000
  345   1.2695882E+004  1.9970376E+010  8.7534161E-001  1.8735352E+016    5.3224301E+009  5.9527454E+002    0.0000000E+000  2.5176263E+018  0.0000000E+000  0.0000000E+000
  343   1.2687765E+004  2.1565647E+010  8.7525601E-001  1.8713192E+016    5.3634445E+009  6.2305086E+002    0.0000000E+000  2.6171930E+018  0.0000000E+000  0.0000000E+000
  341   1.2679649E+004  2.3288352E+010  8.7517042E-001  1.8691045E+016    5.4048012E+009  6.5185180E+002    0.0000000E+000  2.7200919E+018  0.0000000E+000  0.0000000E+000
  339   1.2671532E+004  2.5148669E+010  8.7508483E-001  1.8668912E+016    5.4465031E+009  6.8155903E+002    0.0000000E+000  2.8253151E+018  0.0000000E+000  0.0000000E+000
  337   1.2663416E+004  2.7157591E+010  8.7499925E-001  1.8646793E+016    5.4885536E+009  7.1170053E+002    0.0000000E+000  2.9328688E+018  0.0000000E+000  0.0000000E+000
  335   1.2654707E+004  2.9326990E+010  8.7490710E-001  2.1781651E+016    5.5340669E+009  7.4543150E+002    0.0000000E+000  3.0438821E+018  0.0000000E+000  0.0000000E+000
  333   1.2645021E+004  3.1669685E+010  8.7480413E-001  2.2190412E+016    5.5851640E+009  7.8001594E+002    0.0000000E+000  3.1594017E+018  0.0000000E+000  0.0000000E+000
  331   1.2635336E+004  3.4199519E+010  8.7470116E-001  2.2158982E+016    5.6367722E+009  8.1578118E+002    0.0000000E+000  3.2777718E+018  0.0000000E+000  0.0000000E+000
  329   1.2625651E+004  3.6931440E+010  8.7459821E-001  2.2127575E+016    5.6888967E+009  8.5284011E+002    0.0000000E+000  3.3990460E+018  0.0000000E+000  0.0000000E+000
  327   1.2615966E+004  3.9881593E+010  8.7449527E-001  2.2096191E+016    5.7415434E+009  8.9080587E+002    0.0000000E+000  3.5232683E+018  0.0000000E+000  0.0000000E+000
  325   1.2606278E+004  4.3067409E+010  8.7439214E-001  2.2096855E+016    5.7947380E+009  9.3021340E+002    0.0000000E+000  3.6476707E+018  0.0000000E+000  0.0000000E+000
  323   1.2596572E+004  4.6507714E+010  8.7428799E-001  2.2081608E+016    5.8485707E+009  9.7131849E+002    0.0000000E+000  3.7778967E+018  0.0000000E+000  0.0000000E+000
  321   1.2586865E+004  5.0222838E+010  8.7418385E-001  2.2050155E+016    5.9029450E+009  1.0138772E+003    0.0000000E+000  3.9112729E+018  0.0000000E+000  0.0000000E+000
  319   1.2577159E+004  5.4234732E+010  8.7407972E-001  2.2018726E+016    5.9578669E+009  1.0579119E+003    0.0000000E+000  4.0478803E+018  0.0000000E+000  0.0000000E+000
  317   1.2567453E+004  5.8567103E+010  8.7397561E-001  2.1987319E+016    6.0133421E+009  1.1035020E+003    0.0000000E+000  4.1878049E+018  0.0000000E+000  0.0000000E+000
  315   1.2557747E+004  6.3245553E+010  8.7387151E-001  2.2007196E+016    6.0693769E+009  1.1499874E+003    0.0000000E+000  4.3311348E+018  0.0000000E+000  0.0000000E+000
  313   1.2547166E+004  6.8297726E+010  8.7375738E-001  2.5769263E+016    6.1311090E+009  1.2031178E+003    0.0000000E+000  4.4811789E+018  0.0000000E+000  0.0000000E+000
  311   1.2535756E+004  7.3753476E+010  8.7363374E-001  2.5725965E+016    6.1984449E+009  1.2575336E+003    0.0000000E+000  4.6383757E+018  0.0000000E+000  0.0000000E+000
  309   1.2524346E+004  7.9645042E+010  8.7351012E-001  2.5682705E+016    6.2665818E+009  1.3137981E+003    0.0000000E+000  4.7999809E+018  0.0000000E+000  0.0000000E+000
  307   1.2512937E+004  8.6007237E+010  8.7338652E-001  2.5639483E+016    6.3355300E+009  1.3723539E+003    0.0000000E+000  4.9638158E+018  0.0000000E+000  0.0000000E+000
