         5       363       111       267

EOS                                                                            

  i            rad           emas         rho         pres          nb           kf(e)      kf(mu)       kf(p)       kf(n)      kf(la)      kf(S-)      kf(S0)      kf(S+)         Tc(n)       Tc(p)      Tc(la)    Durca        mstn        mstp  nSF   Acel   Aion   Zion

    0   0.000000E+00   0.000000E+00   5.824E+15   3.992E+36   1.512E+00      1.527E+00   1.430E+00   1.865E+00   3.370E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      5.231E+04   1.000E+00   1.000E+00   10000   4.255E-01   4.255E-01  3p2   N/A    N/A    N/A 
    1   2.220043E+03   1.146238E-01   4.408E+15   2.878E+36   1.288E+00      1.452E+00   1.350E+00   1.767E+00   3.196E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      4.139E+05   1.000E+00   1.000E+00   10000   4.756E-01   4.756E-01  3p2   N/A    N/A    N/A 
    2   2.797079E+03   2.078274E-01   3.799E+15   2.405E+36   1.182E+00      1.413E+00   1.307E+00   1.716E+00   3.105E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      1.102E+06   1.000E+00   1.000E+00   10000   5.032E-01   5.032E-01  3p2   N/A    N/A    N/A 
    3   3.201856E+03   2.903251E-01   3.380E+15   2.081E+36   1.103E+00      1.382E+00   1.275E+00   1.677E+00   3.034E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      2.255E+06   1.000E+00   1.000E+00   10000   5.251E-01   5.251E-01  3p2   N/A    N/A    N/A 
    4   3.524099E+03   3.651182E-01   3.063E+15   1.838E+36   1.040E+00      1.357E+00   1.247E+00   1.644E+00   2.976E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      3.961E+06   1.000E+00   1.000E+00   10000   5.436E-01   5.436E-01  3p2   N/A    N/A    N/A 
    5   3.796220E+03   4.329028E-01   2.812E+15   1.647E+36   9.877E-01      1.335E+00   1.223E+00   1.615E+00   2.925E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      6.313E+06   1.000E+00   1.000E+00   10000   5.599E-01   5.599E-01  3p2   N/A    N/A    N/A 
    6   4.034086E+03   4.943901E-01   2.600E+15   1.486E+36   9.417E-01      1.315E+00   1.202E+00   1.589E+00   2.879E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      9.466E+06   1.000E+00   1.000E+00   10000   5.747E-01   5.747E-01  3p2   N/A    N/A    N/A 
    7   4.246790E+03   5.524494E-01   2.427E+15   1.356E+36   9.028E-01      1.298E+00   1.182E+00   1.566E+00   2.839E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      1.329E+07   1.000E+00   1.000E+00   10000   5.877E-01   5.877E-01  3p2   N/A    N/A    N/A 
    8   4.440086E+03   6.065004E-01   2.277E+15   1.244E+36   8.677E-01      1.282E+00   1.165E+00   1.545E+00   2.802E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      1.799E+07   1.000E+00   1.000E+00   10000   5.998E-01   5.998E-01  3p2   N/A    N/A    N/A 
