# list of all "regular" pulsars from the ATNF catalogue
# https://www.atnf.csiro.au/research/pulsar/psrcat
#
# We define a regular pulsar as one with a spin period > 30 ms
#
# P0 = spin period in sec
# P1 = \dot{P}/P [dimensionless]
# d  = distance estimate in kpc
#
# citation: Manchester, R. N., Hobbs, G.B., Teoh, A. & Hobbs, M.,
#           AJ, 129, 1993-2006 (2005)

id    name          P0       dP0     P1       dP1        d     age
667   J1347-5947    0.609962 1.5e-11 1.42e-14 7.0e-18    6.285 6.82e+05
668   J1348-6307    0.927772 3.0e-10 3.79e-15 7.0e-17   10.640 3.88e+06
669   J1349-6130    0.259365 1.3e-11 5.12e-15 3.0e-20    5.480 8.03e+05
670   J1349-63      0.373034 1.0e-07      NaN       0    9.312    NaN

671   J1350-5115    0.295700 7.0e-12 7.58e-16 1.8e-20    3.304 6.18e+06
672   J1350-6225    0.138158 1.2e-12 8.88e-15 4.0e-20      NaN 2.46e+05
673   J1352-6803    0.628903 1.6e-11 1.23e-15 3.0e-18    9.902 8.07e+06
674   J1354+2454    6.270000 0.0e+00      NaN       0    3.732    NaN
675   J1354-6249    2.951938 3.0e-09 1.48e-14 1.1e-15    5.159 3.16e+06

676   B1352-51      0.644305 1.3e-11 2.81e-15 5.0e-20    4.984 3.63e+06
677   J1355-5747    2.038674 4.0e-10 7.15e-16 9.0e-17    6.443 4.52e+07
678   J1355-5925    1.213381 5.0e-11 5.99e-15 1.1e-17    7.208 3.21e+06
679   J1355-6206    0.276603 1.0e-11 3.10e-18 6.0e-19    7.542 1.41e+09
680   J1356-5521    0.507380 6.0e-12 7.24e-16 1.0e-19    7.317 1.11e+07

681   B1353-62      0.455761 1.0e-06      NaN       0    6.481    NaN
682   J1357-6429    0.166108 1.4e-11 3.60e-13 1.4e-18    3.100 7.31e+03
683   J1358-2533    0.912971 1.0e-06      NaN       0    2.545    NaN
684   J1358-6025    0.060533       0 3.02e-15       0      NaN 3.18e+05
685   B1356-60      0.127508 4.0e-13 6.33e-15 1.2e-20    5.000 3.19e+05

686   J1400-6325    0.031182 3.0e-10 3.89e-14 6.0e-17    7.000 1.27e+04
687   B1358-63      0.842805 6.0e-11 1.68e-14 4.0e-19    1.800 7.94e+05
688   B1359-51      1.380182 4.0e-09 5.41e-15 4.0e-18    1.285 4.04e+06
689   J1403-0314    0.362634       0      NaN       0   25.000    NaN
690   J1403-6310    0.399170 5.0e-11 9.00e-17 2.0e-17    5.667 7.03e+07

691   J1403-7646    1.306198 8.0e-10 1.20e-15 1.6e-17    5.307 1.72e+07
692   J1404+1159    2.650439 4.0e-11 1.38e-15 6.0e-19    2.189 3.05e+07
693   J1405-5641    0.617575 4.0e-11 1.20e-15 1.2e-17   12.383 8.17e+06
694   J1406-4233    2.436795 1.8e-10 6.81e-16 3.0e-18    6.785 5.67e+07
695   J1406-5806    0.288349 5.0e-11 6.11e-16 1.0e-17    5.567 7.48e+06

696   J1406-6121    0.213075 1.4e-11 5.47e-14 3.0e-18    7.292 6.17e+04
697   J1407-6048    0.492344 5.0e-11 3.16e-15 8.0e-18    7.860 2.47e+06
698   J1407-6153    0.701615 3.0e-10 8.85e-15 7.0e-17    8.205 1.26e+06
699   J1409-6953    0.528591 3.0e-10 8.40e-16 1.0e-17    8.751 9.97e+06
700   J1410-6132    0.050052       0 3.20e-14       0   13.510 2.48e+04

701   J1410-7404    0.278729 1.5e-12 6.74e-18 9.0e-20    1.336 6.55e+08
702   J1411+2551    0.062453 2.0e-15 9.56e-20 5.1e-21    1.131 1.04e+10
703   J1412-6111    0.529156 4.0e-11 1.91e-15 3.0e-17    5.284 4.38e+06
704   J1412-6145    0.315258 1.3e-10 9.90e-14 4.0e-18    7.097 5.04e+04
705   J1412+7922    0.058199 1.8e-11 3.29e-15 3.0e-19      NaN 2.80e+05

706   J1413-6141    0.285625 1.6e-10 3.33e-13 1.5e-16    8.469 1.36e+04
707   J1413-6205    0.109741 3.0e-11 2.77e-14 4.0e-18    2.150 6.28e+04
708   J1413-6222    0.292408 3.0e-11 2.23e-15 6.0e-18   13.087 2.08e+06
709   B1409-62      0.394946 2.0e-12 7.43e-15 2.0e-19    3.037 8.42e+05
710   J1414-6802    4.630188 4.0e-10 6.39e-15 7.0e-17    5.420 1.15e+07

711   J1415-6621    0.392479 5.0e-11 5.80e-16 1.0e-18   10.428 1.07e+07
712   J1416-5033    0.794883 2.0e-09 1.20e-16 5.0e-17    1.423 1.05e+08
713   J1416-6037    0.295580 3.0e-11 4.28e-15 1.5e-17    5.083 1.09e+06
714   J1418-3921    1.096806 2.0e-11 8.89e-16 3.0e-19    4.081 1.95e+07
715   J1418-5945    1.672596 3.0e-10 2.71e-16 1.7e-17    6.140 9.78e+07

716   J1418-6058    0.110573 1.3e-11 1.69e-13 1.0e-17    1.885 1.03e+04
717   B1417-54      0.935772 1.8e-11 2.32e-16 7.0e-20    4.399 6.39e+07
718   J1420-5625    0.034117 1.2e-13 6.75e-20 1.7e-20    1.328 8.01e+09
719   J1420-6048    0.068180 2.0e-11 8.32e-14 3.0e-18    5.632 1.30e+04
720   J1422-6138    0.340968 1.2e-10 9.68e-14 1.1e-17      NaN 5.58e+04

721   J1423-6953    0.333411 3.0e-12 1.45e-15 6.0e-20    4.704 3.64e+06
722   J1424-5556    0.770375 1.8e-11 7.80e-16 3.0e-18    6.205 1.56e+07
723   J1424-56      1.427000       0      NaN       0    0.949    NaN
724   J1424-5822    0.366736 1.3e-10 3.94e-15 3.0e-19    6.695 1.48e+06
725   J1424-6438    1.023504 9.0e-11 2.40e-16 7.0e-17    6.079 6.76e+07

726   J1425-5723    0.353263 8.0e-11 2.20e-17 2.0e-18    1.065 2.54e+08
727   J1425-5759    0.707868 4.0e-11 7.42e-16 1.6e-17    7.636 1.51e+07
728   J1425-6210    0.501730 8.0e-11 4.78e-16 4.0e-17    6.851 1.66e+07
729   J1426+52      0.995800       0      NaN       0   25.000    NaN
730   J1427-4158    0.586486 1.8e-11 6.21e-16 7.0e-19    3.744 1.50e+07

731   B1424-55      0.570292 4.0e-12 2.09e-15 1.4e-20    1.897 4.33e+06
732   J1429-5911    0.115843 3.0e-11 3.05e-14 3.0e-18    1.955 6.02e+04
733   J1429-5935    0.763915 8.0e-11 4.28e-14 9.0e-18    7.685 2.83e+05
734   J1430-5712    0.491519 9.0e-12 4.69e-14 1.6e-18    3.902 1.66e+05
735   B1426-66      0.785443 7.0e-13 2.78e-15 5.0e-20    1.327 4.48e+06

736   J1432-5032    2.034989 3.0e-10 5.92e-15 8.0e-18    5.280 5.44e+06
737   J1433-6038    1.954430 5.0e-10 5.63e-15 4.0e-17    6.221 5.50e+06
738   J1434-5943    1.072121 3.0e-11 2.96e-17 1.8e-18    3.212 5.74e+08
739   J1434-6006    0.306368 4.0e-11 3.02e-15 1.7e-17    5.297 1.61e+06
740   J1434-6029    0.963348 1.6e-10 1.03e-15 8.0e-17    4.808 1.48e+07

741   J1434+7257    0.041741 3.0e-14 5.50e-19 1.0e-21    0.974 1.20e+09
742   J1435-5954    0.472996 9.0e-12 1.55e-15 3.0e-20    1.064 4.84e+06
743   J1437-5959    0.061696 9.0e-13 8.59e-15 5.0e-19    8.543 1.14e+05
744   J1437-6146    0.467616 7.0e-11 6.33e-15 9.0e-19    4.253 1.17e+06
745   J1439+7655    0.947903 2.0e-06      NaN       0    2.047    NaN

746   B1436-63      0.459607 7.0e-12 1.12e-15 5.0e-19    3.446 6.50e+06
747   J1441-6137    1.175840 1.0e-10 3.60e-16 5.0e-17    3.882 5.18e+07
748   J1443-5122    0.732061 5.0e-10 3.38e-16 9.0e-18    2.979 3.43e+07
749   J1444-5941    2.760228 6.0e-10 8.23e-15 3.0e-16    3.844 5.31e+06
750   J1444-6026    4.758576 2.0e-10 1.85e-14 8.0e-18    5.823 4.07e+06

751   J1447-5757    0.158730       0 1.17e-14       0      NaN 2.14e+05
752   J1449-5846    0.463330 1.8e-11 8.60e-17 9.0e-18    4.169 8.54e+07
753   J1452-5851    0.386643 3.0e-13 5.07e-14 3.0e-19    4.504 1.21e+05
754   J1452-6036    0.154992 5.0e-13 1.45e-15 5.0e-20    6.135 1.69e+06
755   B1449-64      0.179487 3.0e-12 2.74e-15 5.0e-20    2.800 1.04e+06

756   J1454-5846    0.045249 1.1e-13 8.17e-19 9.0e-21    2.988 8.78e+08
757   J1455-59      0.176191 2.0e-07      NaN       0    6.692    NaN
758   J1456-48      0.536810       0      NaN       0    9.338    NaN
759   B1451-68      0.263377 5.0e-13 9.89e-17 3.0e-20    0.430 4.22e+07
760   B1454-51      1.748308 7.0e-11 5.30e-15 3.0e-19    0.994 5.23e+06

761   J1457-5900    1.498637 4.0e-10 3.66e-15 7.0e-17    3.738 6.49e+06
762   J1457-5902    0.390739 5.0e-11 1.23e-14 1.4e-17    6.366 5.03e+05
763   J1459-6053    0.103151 1.1e-11 2.53e-14 6.0e-19    1.840 6.47e+04
764   J1501-0046    0.464037 8.2e-12 2.39e-16 6.0e-18    2.131 3.07e+07
765   J1501-5637    0.782949 3.0e-10 1.70e-16 8.0e-17    4.938 7.30e+07

766   J1502+28      3.784000       0      NaN       0    1.289    NaN
767   J1502+4653    1.752508 4.0e-11 1.72e-16 1.0e-17   25.000 1.61e+08
768   J1502-5653    0.535504 3.0e-12 1.83e-15 3.0e-19    3.961 4.64e+06
769   J1502-5828    0.668105 1.4e-10 3.64e-14 8.0e-17    7.093 2.91e+05
770   J1502-6128    0.842104 3.0e-11 1.35e-15 7.0e-18    5.189 9.90e+06

771   J1503+2111    3.314002 1.2e-10 1.40e-16 2.0e-17    0.244 3.75e+08
772   J1504-5621    0.412985 3.0e-11 5.53e-15 1.2e-17    3.548 1.18e+06
773   J1504-5659    1.672372 3.0e-11 1.43e-15 3.0e-21   11.274 1.86e+07
774   J1505-25      0.999000 0.0e+00      NaN       0    4.019    NaN
775   B1503-51      0.840739 3.0e-09 6.37e-15 1.4e-16    1.384 2.09e+06

776   B1504-43      0.286758 9.0e-13 1.58e-15 5.0e-20    1.394 2.87e+06
777   J1507-5800    0.897254 1.1e-11 2.60e-16 6.0e-19    5.893 5.46e+07
778   B1503-66      0.355656 1.2e-11 1.15e-15 3.0e-20    4.792 4.89e+06
779   B1508+55      0.739682 4.0e-12 5.00e-15 4.0e-20    2.100 2.34e+06
780   J1509-5850    0.088925 6.0e-12 9.17e-15 1.3e-19    3.372 1.54e+05

781   J1509-6015    0.339038 4.0e-11 2.12e-15 1.2e-17   11.090 2.53e+06
782   B1507-44      0.943871 1.1e-09 6.10e-16 4.0e-17    4.128 2.45e+07
783   J1511-5414    0.200384 4.0e-12 4.85e-16 9.0e-20    2.430 6.55e+06
784   J1511-5835    0.301511 4.0e-11 3.44e-16 1.9e-17    5.122 1.39e+07
785   J1512-5431    2.040532 3.0e-10 1.92e-15 6.0e-17    5.115 1.68e+07

786   B1508-57      0.128699 3.0e-12 6.85e-15 4.0e-21    6.835 2.98e+05
787   J1513-5739    0.973458 9.0e-11 2.75e-14 4.0e-17    5.890 5.60e+05
788   B1509-58      0.151582 5.0e-12 1.53e-12 7.0e-20    4.400 1.57e+03
789   J1513-5946    1.046117 8.0e-12 8.53e-15 4.0e-19    3.757 1.94e+06
790   J1513-6013    1.958737 1.2e-10 1.37e-15 8.0e-21    7.928 2.26e+07

791   B1510-48      0.454840 7.0e-12 9.26e-16 1.9e-20    1.243 7.78e+06
792   J1514-5316    0.296279 4.0e-12 1.60e-18 5.0e-19    0.850 2.93e+09
793   J1514-5925    0.148797 1.8e-12 2.88e-15 4.0e-19    3.906 8.19e+05
794   J1515-5720    0.286648 1.4e-11 6.09e-15 1.7e-20    6.069 7.45e+05
795   J1516-43      0.036022 3.0e-09      NaN       0    3.037    NaN

796   J1517-313     0.140668 1.0e-07      NaN       0    3.294    NaN
797   J1517-314     1.103726 4.0e-07      NaN       0    5.440    NaN
798   J1517-32      0.064402       0      NaN       0    0.966    NaN
799   J1517-4356    0.650837 6.0e-12 2.16e-16 6.0e-19    4.473 4.79e+07
800   J1517-4636    0.886612 5.0e-11 2.10e-15 2.0e-18    7.675 6.70e+06

801   J1518-0627    0.794997 7.8e-12 4.18e-16 5.6e-18    2.679 3.01e+07
802   J1518-3952    0.499196 1.5e-11 2.37e-16 8.0e-18   12.297 3.34e+07
803   J1518+4904    0.040935 6.0e-16 2.72e-20 3.0e-24    0.964 2.39e+10
804   J1518-5415    0.214925 6.0e-12 4.06e-17 1.4e-18    3.768 8.39e+07
805   J1519-5734    0.518758 3.0e-11 4.27e-15 5.0e-18    6.799 1.92e+06

806   J1519-6106    2.154307 1.4e-10 8.37e-15 1.9e-17    5.047 4.08e+06
807   J1519-6308    1.254052 1.0e-10 5.96e-15 5.0e-17   12.367 3.33e+06
808   J1522-5525    1.389605 1.6e-09 3.30e-15 8.0e-17    2.000 6.67e+06
809   J1522-5735    0.102136 4.0e-11 3.12e-14 3.0e-18      NaN 5.18e+04
810   B1518-58      0.395354 1.5e-11 2.06e-15 7.0e-20    3.882 3.05e+06

811   J1523-3235    1.504835 3.0e-10 9.53e-16 1.0e-17    7.997 2.50e+07
812   J1524-5625    0.078219 5.0e-12 3.90e-14 1.9e-19    3.378 3.18e+04
813   J1524-5706    1.116174 1.2e-10 3.56e-13 3.0e-19    7.434 4.96e+04
814   J1524-5819    0.961043 1.0e-10 1.26e-13 1.0e-17    7.546 1.21e+05
815   J1525-5417    1.011694 7.0e-11 1.62e-14 1.4e-17    4.880 9.91e+05

816   J1525-5523    0.355156 1.6e-12 8.96e-18 7.0e-20    3.132 6.28e+08
817   J1525-5605    0.280349 4.0e-11 1.16e-16 7.0e-18    5.078 3.83e+07
818   J1526-5633    0.301888 5.0e-11 1.23e-16 1.7e-17    4.796 3.89e+07
819   B1524-39      2.417605 6.0e-11 1.91e-14 3.0e-19    1.691 2.01e+06
820   B1523-55      1.048719 5.0e-12 1.13e-14 3.0e-19    5.381 1.47e+06

821   J1528-3146    0.060822 1.0e-14 2.49e-19 1.0e-21    0.774 3.87e+09
822   J1528-4109    0.526556 4.0e-12 3.96e-16 4.0e-19    5.453 2.11e+07
823   J1528-5547    3.467302 1.7e-09 7.75e-15 2.0e-20    4.471 7.09e+06
824   J1528-5838    0.355687 8.0e-12 2.48e-14 1.3e-19      NaN 2.28e+05
825   J1529-26      0.799000 0.0e+00      NaN       0    3.008    NaN

826   J1529+40      0.476400       0      NaN       0    0.499    NaN
827   J1529-5355    0.891265 4.0e-10 8.10e-16 4.0e-17    6.240 1.74e+07
828   J1529-5611    0.822249 5.0e-10 4.10e-15 3.0e-16    3.321 3.18e+06
829   J1530-21      0.505000 0.0e+00      NaN       0    2.696    NaN
830   J1530-5327    0.278958 4.0e-12 4.68e-15 8.0e-20    1.123 9.44e+05

831   J1530-6343    0.910320 1.1e-11 8.25e-16 7.0e-18   11.447 1.75e+07
832   J1531-4012    0.356849 6.0e-12 9.63e-17 6.0e-19    9.528 5.87e+07
833   J1531-5610    0.084206 3.0e-12 1.38e-14 1.0e-19    2.841 9.67e+04
834   B1530+27      1.124836 7.0e-12 7.80e-16 6.0e-20    1.695 2.29e+07
835   J1532-5308    0.443825 4.0e-11 6.50e-17 6.0e-18    3.825 1.08e+08

836   J1532-56      0.522977 1.3e-10      NaN       0    4.440    NaN
837   J1534-4428    1.221426 3.0e-10 1.80e-16 2.0e-17    9.640 1.08e+08
838   J1534-46      0.364835 9.0e-06      NaN       0    2.035    NaN
839   B1530-53      1.368882 6.0e-12 1.43e-15 4.0e-19    0.810 1.52e+07
840   B1530-539     0.289689 6.0e-12 1.54e-15 4.0e-19    3.748 2.97e+06

841   J1535-4114    0.432866 6.0e-12 4.07e-15 6.0e-19    2.770 1.68e+06
842   J1535-4415    0.468402 3.0e-11 4.05e-17 9.0e-19    5.818 1.83e+08
843   J1535-5450    0.566734 4.0e-11 1.43e-14 1.0e-17    3.946 6.26e+05
844   J1535-5848    0.307178 7.0e-12 2.72e-15 3.0e-18    2.971 1.79e+06
845   J1536+17      0.933300       0      NaN       0   25.000    NaN

846   J1536-30      1.901000 0.0e+00      NaN       0    5.285    NaN
847   J1536-3602    1.319759 5.0e-11 7.90e-16 1.9e-18    7.620 2.65e+07
848   J1536-5433    0.881438 3.0e-10 1.91e-15 8.0e-17    3.306 7.31e+06
849   J1536-5907    0.557841 3.0e-11 1.37e-15 7.0e-18    8.135 6.47e+06
850   B1534+12      0.037904 1.6e-16 2.42e-18 3.0e-24    0.941 2.48e+08

851   J1537-4912    0.301311 8.0e-11 1.93e-15 2.0e-18    2.055 2.47e+06
852   J1537-5153    1.528124 1.2e-10 4.17e-15 1.2e-17    2.744 5.80e+06
853   J1537-5645    0.430464 1.5e-10 2.78e-15 6.0e-17    8.465 2.45e+06
854   J1538+2345    3.449385 1.0e-10 6.89e-15 1.2e-17    1.312 7.93e+06
855   J1538-5438    0.276726 5.0e-11 1.42e-15 3.0e-17    3.179 3.08e+06

856   J1538-5519    0.395731 8.0e-11 4.10e-17 1.5e-17    5.940 1.53e+08
857   J1538-5551    0.104676 5.0e-13 3.21e-15 7.0e-20    5.977 5.17e+05
858   J1538-5621    1.908494 2.0e-11 7.31e-15 7.0e-19    3.313 4.14e+06
859   J1538-5638    0.843980 1.4e-10 7.12e-15 8.0e-17    7.043 1.88e+06
860   J1538-5732    0.341213 6.0e-12 4.55e-15 6.0e-19    3.428 1.19e+06

861   J1538-5750    0.506568 1.8e-11 4.20e-17 3.0e-18    2.519 1.91e+08
862   J1539-4828    1.272842 1.4e-10 1.27e-15 2.0e-18    3.465 1.59e+07
863   J1539-5521    1.004958 8.0e-11 7.28e-16 8.0e-18    4.912 2.19e+07
864   B1535-56      0.243395 1.1e-11 4.85e-15 1.2e-20    3.536 7.95e+05
865   J1539-6322    1.630846 3.0e-11 2.02e-16 6.0e-19    7.095 1.28e+08

866   J1540-5736    0.612916 8.0e-11 4.21e-16 3.0e-17    6.349 2.31e+07
867   J1541-5535    0.295838 9.0e-11 7.50e-14 3.0e-17    5.161 6.25e+04
868   J1542-5034    0.599248 4.0e-10 4.02e-15 1.5e-18    2.732 2.36e+06
869   J1542-5133    1.783865 3.0e-10 5.89e-16 6.0e-17    4.061 4.80e+07
870   J1542-5303    1.207568 6.0e-11 7.78e-14 3.0e-17    5.370 2.46e+05

871   B1540-06      0.709064 4.0e-12 8.80e-16 4.0e-20    3.226 1.28e+07
872   B1541+09      0.748448 6.0e-12 4.32e-16 4.0e-20    5.900 2.74e+07
873   J1543-5013    0.644255 6.0e-10 1.01e-14 1.7e-17    5.809 1.01e+06
874   J1543-5459    0.377138 6.0e-11 5.21e-14 1.0e-18    4.658 1.15e+05
875   J1544-0713    0.484130 4.0e-12 1.14e-15 8.0e-20    2.633 6.75e+06

876   B1541-52      0.178554 3.0e-12 6.03e-17 1.3e-21    0.932 4.70e+07
877   J1546-5302    0.580840 4.0e-11 1.18e-14 3.0e-17    5.334 7.80e+05
878   J1547-0944    1.576925 4.4e-11 2.94e-15 3.6e-17    3.756 8.50e+06
879   J1547-5750    0.647198 6.0e-11 2.56e-17 5.0e-18    3.464 4.01e+08
880   J1547-5839    0.242190 1.0e-11 5.94e-16 3.0e-18    5.685 6.46e+06

881   J1548-4821    0.145655 3.0e-11 8.00e-19 1.1e-18    3.439 2.88e+09
882   J1548-4927    0.602738 1.9e-11 4.05e-15 3.0e-18    3.518 2.36e+06
883   J1548-5607    0.170938 6.0e-12 1.07e-14 9.0e-21    5.702 2.52e+05
884   J1549+2113    1.262471 5.0e-12 8.54e-16 8.0e-19    3.033 2.34e+07
885   J1549-4848    0.288355 1.7e-12 1.41e-14 3.0e-20    1.308 3.24e+05

886   J1549-57      0.737500 3.0e-04      NaN       0    0.704    NaN
887   J1549-5722    0.497772 8.0e-11 4.70e-17 1.0e-17    2.858 1.68e+08
888   J1550-5242    0.749659 4.0e-11 1.78e-14 6.0e-18    5.644 6.68e+05
889   J1550-5317    1.421124 1.3e-10 9.35e-16 1.1e-17    6.932 2.41e+07
890   J1550-5418    2.069833 4.0e-08 2.32e-11 5.0e-14    4.000 1.41e+03

891   J1551-4424    0.674060 2.0e-10 1.88e-16 8.0e-18    2.227 5.68e+07
892   J1551-5310    0.453448 3.0e-11 1.95e-13 4.0e-18    5.878 3.69e+04
893   J1551-6214    0.198839 8.0e-13 2.28e-17 5.0e-19    3.901 1.38e+08
894   B1550-54      1.081347 8.0e-10 1.57e-14 1.2e-19    3.786 1.09e+06
895   J1554-5209    0.125230 7.0e-13 2.29e-15 5.0e-20    3.079 8.65e+05

896   J1554-5512    3.418039 3.0e-09 3.12e-14 1.0e-15    6.397 1.74e+06
897   J1555-0515    0.975410 5.0e-11 2.05e-15 2.0e-18    1.548 7.52e+06
898   B1552-23      0.532578 1.8e-12 6.94e-16 1.5e-20    3.747 1.22e+07
899   B1552-31      0.518110 9.0e-13 6.22e-17 9.0e-21    5.299 1.32e+08
900   J1556-5358    0.994681 1.4e-10 1.04e-14 8.0e-17    5.020 1.51e+06

901   J1557-4258    0.329187 2.0e-12 3.30e-16 2.0e-20    8.630 1.58e+07
902   J1557-5151    0.408155 8.0e-12 7.54e-17 9.0e-19    6.485 8.58e+07
903   J1558-5419    0.594575 1.5e-10 6.04e-15 6.0e-17    7.430 1.56e+06
904   J1558-5756    1.122342 3.0e-11 1.86e-13 4.0e-18    3.325 9.54e+04
905   J1558-67      0.267268       0      NaN       0    5.402    NaN

906   J1559-44      1.169890       0      NaN       0    4.804    NaN
907   B1556-44      0.257056 1.1e-12 1.02e-15 8.0e-20    2.300 4.00e+06
908   B1555-55      0.957267 5.0e-11 1.99e-14 3.0e-18    4.133 7.62e+05
909   B1557-50      0.192605 4.0e-13 5.06e-15 4.0e-20    6.900 6.03e+05
910   B1556-57      0.194456 8.0e-13 2.13e-15 1.2e-20    4.183 1.45e+06

911   J1600-5916    1.247666 3.0e-10 8.87e-16 7.0e-17    5.657 2.23e+07
912   J1601-50      0.860777 4.0e-06      NaN       0    1.367    NaN
913   J1601-5244    2.559357 7.0e-09 7.21e-16 1.4e-16    4.088 5.63e+07
914   J1601-5335    0.288479 6.0e-12 6.23e-14 9.0e-19    3.576 7.33e+04
915   J1602-4957    0.819990 1.4e-10 1.59e-14 3.0e-17    6.029 8.15e+05

916   B1558-50      0.864286 3.0e-11 6.94e-14 1.5e-18    8.000 1.97e+05
917   J1603-1655    0.714700 0.0e+00      NaN       0   25.000    NaN
918   J1603+18      0.503000       0      NaN       0   25.000    NaN
919   J1603-2531    0.283071 4.0e-12 1.59e-15 1.7e-20    3.412 2.81e+06
920   B1600-27      0.778313 4.0e-12 3.01e-15 3.0e-20    2.306 4.10e+06

921   J1603-3539    0.141909 9.0e-13 1.24e-16 1.7e-19    4.100 1.81e+07
922   J1603-5312    0.839221 6.0e-11 4.96e-14 5.0e-22    3.113 2.68e+05
923   J1603-5657    0.496077 9.0e-11 2.79e-15 3.0e-18    6.730 2.81e+06
924   J1604-3142    0.883890 1.1e-11 2.65e-17 1.6e-19    2.902 5.29e+08
925   J1604-44      1.389200       0      NaN       0    7.833    NaN

926   J1604-4718    0.527466 2.0e-11 4.96e-15 9.0e-18    1.307 1.68e+06
927   B1600-49      0.327419 1.1e-12 1.02e-15 3.0e-19    3.225 5.09e+06
928   J1604-7203    0.341403 4.0e-12 8.40e-17 2.0e-19    1.595 6.44e+07
929   J1605+3249    6.880000       0      NaN       0      NaN    NaN
930   J1605-5215    1.013609 5.0e-10 4.75e-15 1.1e-16    5.087 3.38e+06

931   B1601-52      0.658013 5.0e-12 2.56e-16 1.8e-20    0.922 4.07e+07
932   B1604-00      0.421816 1.3e-13 3.06e-16 6.0e-22    1.087 2.18e+07
933   J1607-5140    0.342723 9.0e-11 2.54e-15 4.0e-17    5.118 2.14e+06
934   J1607-6449    0.298116 9.0e-12 2.49e-17 3.0e-19    3.444 1.90e+08
935   J1609-1930    1.557917 7.0e-11 5.09e-16 3.0e-18    1.791 4.85e+07

936   J1609-4616    0.249609 5.0e-12 5.01e-16 4.0e-18    3.747 7.89e+06
937   J1609-5158    1.279402 7.0e-10 1.30e-14 1.0e-16    6.477 1.56e+06
938   B1607-13      1.018393 1.1e-11 2.30e-16 9.0e-20    3.247 7.02e+07
939   J1610-5006    0.481119 5.0e-11 1.36e-14 1.0e-17    5.615 5.59e+05
940   J1610-5303    0.786468 9.0e-11 2.62e-15 1.2e-17    5.353 4.77e+06

941   J1611-01      1.296870 2.0e-05      NaN       0    2.015    NaN
942   J1611-4811    1.296850 3.0e-09 1.95e-15 1.4e-16    4.909 1.05e+07
943   J1611-4949    0.666438 8.0e-11 5.42e-16 3.0e-17    7.234 1.95e+07
944   B1607-52      0.182495 4.0e-12 5.17e-15 7.0e-20    2.949 5.59e+05
945   J1611-5847    0.354550 1.8e-12 2.01e-18 4.0e-19    2.479 2.79e+09

946   J1612+2008    0.426646 1.2e-12 3.73e-17 1.5e-19    1.740 1.81e+08
947   J1612-2408    0.923834 3.0e-11 1.57e-15 1.2e-18    2.770 9.30e+06
948   J1612-49      0.192687 1.4e-10      NaN       0    6.293    NaN
949   J1612-5022    1.368283 6.0e-11 3.40e-17 4.0e-19    3.994 6.38e+08
950   J1612-5136    0.483311 1.2e-10 3.78e-15 1.2e-17    6.690 2.02e+06

951   J1612-55      0.846907 3.0e-06      NaN       0    6.923    NaN
952   J1612-5805    0.615520 3.0e-11 9.35e-16 9.0e-19    5.542 1.04e+07
953   B1609-47      0.382377 3.0e-12 6.34e-16 9.0e-21    3.521 9.56e+06
954   J1613-5211    0.457502 7.0e-11 1.92e-14 1.7e-17    4.718 3.77e+05
955   J1613-5234    0.655221 1.8e-10 6.63e-15 1.8e-17    7.421 1.57e+06

956   B1612+07      1.206801 5.0e-12 2.36e-15 3.0e-20    1.626 8.10e+06
957   J1614-23      0.033500       0      NaN       0    3.235    NaN
958   J1614-3846    0.464106 9.0e-11 9.20e-16 4.0e-17    5.637 7.99e+06
959   J1614-3937    0.407292 6.0e-12 1.59e-16 1.0e-19   10.650 4.07e+07
960   B1610-50      0.231694 8.0e-11 4.95e-13 1.7e-17    5.148 7.42e+03

961   J1614-5144    1.534008 5.0e-10 7.44e-15 5.0e-17    6.129 3.27e+06
962   J1614-5402    0.572592 6.0e-11 2.90e-17 8.0e-18    5.829 3.13e+08
963   B1612-29      2.477568 5.0e-11 1.58e-15 1.9e-19    1.717 2.48e+07
964   J1615-4958    0.558258 3.0e-11 1.46e-15 8.0e-21    3.911 6.05e+06
965   J1615-5137    0.179280       0 1.06e-14       0      NaN 2.67e+05

966   J1615-5444    0.360958 4.0e-12 3.38e-16 7.0e-19    6.882 1.69e+07
967   B1611-55      0.791526 2.0e-11 2.00e-15 8.0e-19    3.192 6.27e+06
968   J1616-5017    0.491384 1.3e-11 4.66e-14 3.0e-22    3.480 1.67e+05
969   J1616-5109    1.219594 8.0e-10 1.91e-14 9.0e-17    6.842 1.01e+06
970   J1616-5208    1.025831 4.0e-10 2.89e-14 1.0e-16    6.006 5.62e+05

971   J1617-4216    3.428466 1.3e-10 1.81e-14 1.5e-17    7.287 3.00e+06
972   J1617-4608    0.567080 1.0e-11 1.65e-14 1.0e-18   11.077 5.46e+05
973   J1617-5055    0.069357 3.0e-09 1.35e-13 2.0e-16    4.743 8.13e+03
974   J1618-4723    0.203553 5.0e-11 1.99e-15 8.0e-19    3.089 1.62e+06
975   J1619-3345    1.158600 0.0e+00      NaN       0    5.285    NaN

976   J1619-42      1.023152 4.0e-06      NaN       0    8.149    NaN
977   J1620-4927    0.171935 1.5e-12 1.05e-14 1.2e-19      NaN 2.60e+05
