# list of all "regular" pulsars from the ATNF catalogue
# https://www.atnf.csiro.au/research/pulsar/psrcat
#
# We define a regular pulsar as one with a spin period > 30 ms
#
# P0 = spin period in sec
# P1 = \dot{P}/P [dimensionless]
# d  = distance estimate in kpc
#
# citation: Manchester, R. N., Hobbs, G.B., Teoh, A. & Hobbs, M.,
#           AJ, 129, 1993-2006 (2005)

id    name          P0       dP0     P1       dP1        d     age
72    B0203-40      0.630551 4.0e-12 1.20e-15 3.0e-19    1.260 8.35e+06
73    J0209+5759    1.063906 1.4e-11 1.39e-14 1.4e-18    1.743 1.21e+06
74    J0210+5845    1.766208 2.0e-09 1.34e-13 2.0e-17    1.952 2.09e+05
75    J0211-8159    1.077333 8.0e-10 2.90e-16 2.0e-17    1.523 5.89e+07

76    J0212+5222    0.376386 1.5e-12 6.60e-15 1.3e-18    1.558 9.04e+05
77    J0215+6218    0.548880 3.0e-12 6.62e-16 3.0e-20    2.004 1.31e+07
78    J0220+3626    1.029700       0      NaN       0    2.240    NaN
79    J0229+20      0.806900       0      NaN       0    2.089    NaN
80    B0226+70      1.466820 7.0e-12 3.11e-15 7.0e-20    1.755 7.47e+06

81    J0241+16      1.545400       0      NaN       0    0.936    NaN
82    J0242+62      0.592000       0      NaN       0    0.217    NaN
83    J0243+6027    1.473000       0      NaN       0    2.717    NaN
84    J0244+14      2.128100       0      NaN       0    2.796    NaN
85    J0248+6021    0.217094 5.0e-06 5.51e-14 5.0e-17    2.000 6.24e+04

86    J0250+5854   23.535378 1.0e-09 2.72e-14 7.0e-17    1.558 1.37e+07
87    B0254-53      0.447708 3.0e-13 3.13e-17 3.0e-20    1.514 2.27e+08
88    J0301+35      0.146800 0.0e+00      NaN       0    3.100    NaN
89    J0302+2252    1.207165 2.0e-12 8.25e-17 1.0e-19    1.014 2.32e+08
90    B0301+19      1.387584 3.0e-12 1.30e-15 2.0e-20    0.739 1.70e+07

91    J0305+11      0.862100       0      NaN       0    1.838    NaN
92    J0317+13      1.974300       0      NaN       0    0.366    NaN
93    B0320+39      3.032072 1.0e-11 6.36e-16 7.0e-20    0.952 7.56e+07
94    J0324+5239    0.336620 3.0e-12 3.81e-16 3.0e-18    2.290 1.40e+07
95    J0325+6744    1.364679 1.5e-11 1.55e-15 1.0e-17    1.929 1.39e+07

96    J0329+1654    0.893320 1.0e-12 2.15e-16 6.0e-20    2.557 6.58e+07
97    B0329+54      0.714520 4.0e-12 2.05e-15 8.0e-21    1.695 5.53e+06
98    B0331+45      0.269201 1.3e-13 7.35e-18 1.0e-21    2.439 5.80e+08
99    J0335+6623    1.761934 1.9e-10 4.81e-15 1.0e-16    1.907 5.80e+06
100   J0337+79      2.056210 6.0e-05      NaN       0    1.053    NaN

101   J0341+5711    1.888000       0      NaN       0    2.037    NaN
102   J0343+06      1.007640 0.0e+00      NaN       0    3.774    NaN
103   J0343-3000    2.597027 9.0e-11 5.70e-17 9.0e-18    1.594 7.22e+08
104   B0339+53      1.934478 1.5e-11 1.34e-14 1.5e-19    1.705 2.28e+06
105   J0344-0901    1.226006 1.3e-11 3.47e-15 1.6e-18    1.507 5.60e+06

106   J0348+0432    0.039123 7.0e-16 2.41e-19 5.0e-23    2.100 2.57e+09
107   J0349+2340    2.420771 4.0e-11 1.10e-15 7.0e-19    3.746 3.49e+07
