# Neutron star mass function from fig. 2 of https://arxiv.org/abs/2301.07780
# (black curve, corresponding to the maximum posteriori distribution)
#
#    Mass [M_sun]        probability density
1.00332364791977         0
1.0273471203172968       0.011358216284840239
1.0500441433186412       0.020301976538873667
1.0746669743322208       0.030049379018631583
1.0954381893213299       0.05218842614020858
1.1181352123226742       0.10304935013555294
1.141090156039943        0.1695299125745482
1.1586423394973222       0.2780664682904561
1.1621536811737663       0.21369458956810483
1.173411694177623        0.37563736676889103
1.1779728184171276       0.32205667032711105
1.1873186514176812       0.48183202934096947
1.1934480613725897       0.4111702235828725
1.200669841418472        0.5855951518221483
1.2115762031204167       0.6764740021328821
1.206034592309699        0.5099793314328611
1.216970430664892        0.9367263152640515
1.22588875586441         1.0392425469294793
1.2313910644707966       1.1400002711439932
1.2363097948916573       1.2327647796725367
1.2417308193936314       1.334719325911383
1.2468142022311226       1.4460929046882933
1.2535670355207786       1.5443187238260623
1.2571743182609796       1.6770213926922524
1.2646341789677151       1.8302857364702234
1.2714690779397109       1.968340453174049
1.2783494923321639       2.0863792174218867
1.2848551630961857       2.2058458953113043
1.2923422330213044       2.3157560057954396
1.2988860500424713       2.388920779119941
1.310966118482856        2.4825580603882496
1.3182816878799837       2.5976603662662368
1.3327252479717484       2.7026955410370275
1.3533589052456976       2.7271504603789722
1.3708975139285546       2.631879970716449
1.3799533968432325       2.523993162241474
1.389536584332689        2.337876535815041
1.3863727568840167       2.44474150887935
1.4009882641197309       2.190874818364337
1.4117680273750315       2.082362844038829
1.419386608522336        1.9832369987855674
1.426264494280319        1.8476807020657477
1.4348618514777978       1.6298871779086666
1.4333143271822517       1.750190474803945
1.4389885829325877       1.4951474853859552
1.4470357092694281       1.3845753885062062
1.4542345630294504       1.2928003104598726
1.4618329892001745       1.1916012619816154
1.4699390688435119       1.0839775506638718
1.4781925317530917       0.9727638362006816
1.4872484146677696       0.8709961583826011
1.4974997396308587       0.7779106867531551
1.5122380662551083       0.6795293239587945
1.5308083578016627       0.5880363230992165
1.553505380803007        0.5316517475846618
1.5762024038043514       0.5188193959158323
1.5988994268056957       0.5297074518772629
1.6215964498070403       0.5561498734978825
1.6442934728083847       0.5864808865332973
1.666990495809729        0.6172007587101929
1.6896875188110734       0.6483094900285673
1.7123845418124177       0.6696967428099505
1.7288914676315772       0.6787960467205751
1.7627306655608541       0.7326919237296599
1.7846023422712407       0.7408579657007337
1.807299365272585        0.7490240076718067
1.912531017369727        0.6953614461476096
1.9352280403710713       0.6623084191218362
1.9579250633724157       0.6284776738131042
1.9909389150107346       0.5717042391570679
2.0127762022923315       0.5284436596674542
2.0369678427756988       0.4819675142002202
2.063791597231833        0.43721880068840235
2.072097966954936        0.4076056814526421
2.092043835653087        0.40060621690600673
2.1147408586544314       0.37213092610687504
2.138764331051958        0.3268229723755329
2.159285283475252        0.29191322464229064
2.183028438680121        0.25528770402485
2.2051359286164955       0.22673062935866284
2.227432371458309        0.21084295586392
2.2509229966624975       0.19101113964845595
2.273620019663842        0.16845730944263426
2.296317042665186        0.14862549322717022
2.3190140656665306       0.13073797271910514
2.341711088667875        0.11479474791843725
2.362860587373673        0.10176796667886823
2.389856288973757        0.08964852343608509
2.473766495221151        0.034523110855844585
2.4964635182224955       0.025879327653810513
2.51916054122384         0.024812742580037295
2.541857564225184        0.020924151165242044
2.564554587226529        0.016568928780667846
2.5872516102278733       0.01408023027519878
2.6099486332292177       0.01194150499706037
2.632645656230562        0.01194150499706037
2.6553426792319064       0.009025061435962378
2.6780397022332507       0.005525329162646031
2.6924832623250152       0.005525329162646031


