         5       653       401       557

EOS                                                                            

  i            rad           emas         rho         pres          nb           kf(e)      kf(mu)       kf(p)       kf(n)      kf(la)      kf(S-)      kf(S0)      kf(S+)         Tc(n)       Tc(p)      Tc(la)    Durca        mstn        mstp  nSF   Acel   Aion   Zion

    0   0.000000E+00   0.000000E+00   8.109E+14   8.915E+34   4.535E-01      8.410E-01   6.486E-01   9.538E-01   2.324E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      3.329E+08   1.000E+00   1.000E+00   00000   6.203E-01   3.703E-01  3p2   N/A    N/A    N/A 
    1   1.432332E+03   5.060018E-03   8.014E+14   8.625E+34   4.487E-01      8.384E-01   6.451E-01   9.501E-01   2.316E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      3.442E+08   1.000E+00   1.000E+00   00000   6.251E-01   3.732E-01  3p2   N/A    N/A    N/A 
    2   1.804625E+03   1.000868E-02   7.959E+14   8.458E+34   4.459E-01      8.368E-01   6.431E-01   9.480E-01   2.312E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      3.510E+08   1.000E+00   1.000E+00   00000   6.280E-01   3.749E-01  3p2   N/A    N/A    N/A 
    3   2.065780E+03   1.501409E-02   7.912E+14   8.318E+34   4.436E-01      8.355E-01   6.413E-01   9.462E-01   2.308E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      3.568E+08   1.000E+00   1.000E+00   00000   6.305E-01   3.763E-01  3p2   N/A    N/A    N/A 
    4   2.273685E+03   2.002460E-02   7.870E+14   8.194E+34   4.415E-01      8.343E-01   6.398E-01   9.445E-01   2.304E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      3.621E+08   1.000E+00   1.000E+00   00000   6.327E-01   3.776E-01  3p2   N/A    N/A    N/A 
    5   2.449253E+03   2.472940E-02   7.833E+14   8.084E+34   4.396E-01      8.332E-01   6.384E-01   9.430E-01   2.301E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      3.669E+08   1.000E+00   1.000E+00   00000   6.347E-01   3.788E-01  3p2   N/A    N/A    N/A 
    6   2.602720E+03   2.980674E-02   7.796E+14   7.978E+34   4.377E-01      8.322E-01   6.370E-01   9.416E-01   2.297E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      3.717E+08   1.000E+00   1.000E+00   00000   6.366E-01   3.799E-01  3p2   N/A    N/A    N/A 
    7   2.739952E+03   3.469281E-02   7.762E+14   7.880E+34   4.360E-01      8.312E-01   6.357E-01   9.402E-01   2.294E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      3.761E+08   1.000E+00   1.000E+00   00000   6.385E-01   3.810E-01  3p2   N/A    N/A    N/A 
    8   2.864664E+03   3.913309E-02   7.731E+14   7.790E+34   4.345E-01      8.303E-01   6.346E-01   9.390E-01   2.292E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      3.801E+08   1.000E+00   1.000E+00   00000   6.401E-01   3.820E-01  3p2   N/A    N/A    N/A 
