         5       377       111       281

EOS                                                                            

  i            rad           emas         rho         pres          nb           kf(e)      kf(mu)       kf(p)       kf(n)      kf(la)      kf(S-)      kf(S0)      kf(S+)         Tc(n)       Tc(p)      Tc(la)    Durca        mstn        mstp  nSF   Acel   Aion   Zion

    0   0.000000E+00   0.000000E+00   4.625E+14   3.907E+34   2.329E-01      7.720E-01   5.090E-01   8.340E-01   1.789E+00   1.419E-01   0.000E+00   2.128E-01   0.000E+00      9.995E+08   1.000E+00   1.000E+00   01000   4.213E-01   4.213E-01  3p2   N/A    N/A    N/A 
    1   1.862921E+03   6.261517E-03   4.563E+14   3.762E+34   2.300E-01      7.670E-01   5.035E-01   8.276E-01   1.783E+00   1.413E-01   0.000E+00   2.120E-01   0.000E+00      9.988E+08   1.000E+00   1.000E+00   01000   4.251E-01   4.251E-01  3p2   N/A    N/A    N/A 
    2   2.347134E+03   1.263973E-02   4.526E+14   3.677E+34   2.283E-01      7.639E-01   5.002E-01   8.238E-01   1.779E+00   1.409E-01   0.000E+00   2.114E-01   0.000E+00      9.982E+08   1.000E+00   1.000E+00   01000   4.274E-01   4.274E-01  3p2   N/A    N/A    N/A 
    3   2.686798E+03   1.886782E-02   4.495E+14   3.608E+34   2.269E-01      7.614E-01   4.974E-01   8.207E-01   1.776E+00   1.406E-01   0.000E+00   2.110E-01   0.000E+00      9.977E+08   1.000E+00   1.000E+00   01000   4.294E-01   4.294E-01  3p2   N/A    N/A    N/A 
    4   2.957203E+03   2.474227E-02   4.469E+14   3.547E+34   2.257E-01      7.592E-01   4.950E-01   8.179E-01   1.773E+00   1.404E-01   0.000E+00   2.106E-01   0.000E+00      9.971E+08   1.000E+00   1.000E+00   01000   4.310E-01   4.310E-01  3p2   N/A    N/A    N/A 
    5   3.185551E+03   3.121030E-02   4.443E+14   3.490E+34   2.245E-01      7.570E-01   4.927E-01   8.152E-01   1.771E+00   1.401E-01   0.000E+00   2.102E-01   0.000E+00      9.965E+08   1.000E+00   1.000E+00   01000   4.327E-01   4.327E-01  3p2   N/A    N/A    N/A 
    6   3.385153E+03   3.686412E-02   4.420E+14   3.439E+34   2.234E-01      7.552E-01   4.906E-01   8.129E-01   1.768E+00   1.399E-01   0.000E+00   2.099E-01   0.000E+00      9.960E+08   1.000E+00   1.000E+00   01000   4.342E-01   4.342E-01  3p2   N/A    N/A    N/A 
    7   3.563641E+03   4.334231E-02   4.396E+14   3.389E+34   2.223E-01      7.532E-01   4.884E-01   8.105E-01   1.766E+00   1.397E-01   0.000E+00   2.096E-01   0.000E+00      9.953E+08   1.000E+00   1.000E+00   01000   4.357E-01   4.357E-01  3p2   N/A    N/A    N/A 
    8   3.725843E+03   4.940604E-02   4.374E+14   3.343E+34   2.213E-01      7.514E-01   4.864E-01   8.082E-01   1.764E+00   1.395E-01   0.000E+00   2.092E-01   0.000E+00      9.947E+08   1.000E+00   1.000E+00   01000   4.371E-01   4.371E-01  3p2   N/A    N/A    N/A 
    9   3.875033E+03   5.498332E-02   4.354E+14   3.300E+34   2.204E-01      7.498E-01   4.845E-01   8.061E-01   1.761E+00   1.393E-01   0.000E+00   2.089E-01   0.000E+00      9.941E+08   1.000E+00   1.000E+00   01000   4.385E-01   4.385E-01  3p2   N/A    N/A    N/A 
   10   4.013542E+03   6.103529E-02   4.334E+14   3.258E+34   2.194E-01      7.481E-01   4.826E-01   8.040E-01   1.759E+00   1.391E-01   0.000E+00   2.086E-01   0.000E+00      9.934E+08   1.000E+00   1.000E+00   01000   4.398E-01   4.398E-01  3p2   N/A    N/A    N/A 
   11   4.143100E+03   6.735954E-02   4.313E+14   3.216E+34   2.185E-01      7.464E-01   4.807E-01   8.019E-01   1.757E+00   1.389E-01   0.000E+00   2.083E-01   0.000E+00      9.927E+08   1.450E+07   1.000E+00   01000   4.411E-01   4.411E-01  3p2   N/A    N/A    N/A 
   12   4.265025E+03   7.331120E-02   4.294E+14   3.177E+34   2.176E-01      7.449E-01   4.790E-01   8.000E-01   1.755E+00   1.387E-01   0.000E+00   2.081E-01   0.000E+00      9.920E+08   3.332E+07   1.000E+00   01000   4.424E-01   4.424E-01  3p2   N/A    N/A    N/A 
   13   4.380352E+03   7.894075E-02   4.276E+14   3.140E+34   2.168E-01      7.434E-01   4.773E-01   7.981E-01   1.753E+00   1.385E-01   0.000E+00   2.078E-01   0.000E+00      9.913E+08   5.444E+07   1.000E+00   01000   4.436E-01   4.436E-01  3p2   N/A    N/A    N/A 
   14   4.489906E+03   8.428853E-02   4.259E+14   3.105E+34   2.160E-01      7.420E-01   4.757E-01   7.963E-01   1.751E+00   1.383E-01   0.000E+00   2.075E-01   0.000E+00      9.906E+08   7.721E+07   1.000E+00   01000   4.448E-01   4.448E-01  3p2   N/A    N/A    N/A 
   15   4.594359E+03   9.020882E-02   4.241E+14   3.070E+34   2.151E-01      7.406E-01   4.740E-01   7.945E-01   1.750E+00   1.382E-01   0.000E+00   2.073E-01   0.000E+00      9.899E+08   1.037E+08   1.000E+00   01000   4.460E-01   4.460E-01  3p2   N/A    N/A    N/A 
   16   4.694268E+03   9.649113E-02   4.223E+14   3.034E+34   2.143E-01      7.390E-01   4.722E-01   7.926E-01   1.748E+00   1.380E-01   0.000E+00   2.070E-01   0.000E+00      9.891E+08   1.338E+08   1.000E+00   01000   4.472E-01   4.472E-01  3p2   N/A    N/A    N/A 
   17   4.790095E+03   1.025168E-01   4.205E+14   3.000E+34   2.134E-01      7.376E-01   4.705E-01   7.907E-01   1.746E+00   1.378E-01   0.000E+00   2.067E-01   0.000E+00      9.883E+08   1.651E+08   1.000E+00   01000   4.485E-01   4.485E-01  3p2   N/A    N/A    N/A 
   18   4.882235E+03   1.083106E-01   4.188E+14   2.967E+34   2.126E-01      7.362E-01   4.688E-01   7.890E-01   1.744E+00   1.376E-01   0.000E+00   2.065E-01   0.000E+00      9.874E+08   1.970E+08   1.000E+00   01000   4.496E-01   4.496E-01  3p2   N/A    N/A    N/A 
   19   4.971022E+03   1.138936E-01   4.171E+14   2.936E+34   2.119E-01      7.349E-01   4.673E-01   7.873E-01   1.742E+00   1.375E-01   0.000E+00   2.062E-01   0.000E+00      9.866E+08   2.294E+08   1.000E+00   01000   4.508E-01   4.508E-01  3p2   N/A    N/A    N/A 
   20   5.056746E+03   1.192840E-01   4.155E+14   2.906E+34   2.111E-01      7.336E-01   4.657E-01   7.856E-01   1.740E+00   1.373E-01   0.000E+00   2.060E-01   0.000E+00      9.858E+08   2.623E+08   1.000E+00   01000   4.519E-01   4.519E-01  3p2   N/A    N/A    N/A 
   21   5.139659E+03   1.244975E-01   4.140E+14   2.876E+34   2.104E-01      7.323E-01   4.642E-01   7.840E-01   1.739E+00   1.371E-01   0.000E+00   2.058E-01   0.000E+00      9.850E+08   2.954E+08   1.000E+00   01000   4.530E-01   4.530E-01  3p2   N/A    N/A    N/A 
   22   5.219979E+03   1.298071E-01   4.124E+14   2.847E+34   2.097E-01      7.311E-01   4.627E-01   7.825E-01   1.737E+00   1.370E-01   0.000E+00   2.055E-01   0.000E+00      9.842E+08   3.291E+08   1.000E+00   01000   4.540E-01   4.540E-01  3p2   N/A    N/A    N/A 
   23   5.297901E+03   1.360030E-01   4.108E+14   2.817E+34   2.089E-01      7.298E-01   4.611E-01   7.807E-01   1.735E+00   1.368E-01   0.000E+00   2.053E-01   0.000E+00      9.833E+08   3.670E+08   1.000E+00   01000   4.552E-01   4.552E-01  3p2   N/A    N/A    N/A 
   24   5.373595E+03   1.420217E-01   4.091E+14   2.788E+34   2.082E-01      7.285E-01   4.595E-01   7.790E-01   1.733E+00   1.366E-01   0.000E+00   2.050E-01   0.000E+00      9.823E+08   4.048E+08   1.000E+00   01000   4.564E-01   4.564E-01  3p2   N/A    N/A    N/A 
   25   5.447215E+03   1.478756E-01   4.075E+14   2.759E+34   2.074E-01      7.272E-01   4.579E-01   7.774E-01   1.731E+00   1.365E-01   0.000E+00   2.048E-01   0.000E+00      9.814E+08   4.425E+08   1.000E+00   01000   4.575E-01   4.575E-01  3p2   N/A    N/A    N/A 
   26   5.518897E+03   1.535753E-01   4.060E+14   2.732E+34   2.067E-01      7.260E-01   4.564E-01   7.758E-01   1.730E+00   1.363E-01   0.000E+00   2.045E-01   0.000E+00      9.804E+08   4.791E+08   1.000E+00   01000   4.586E-01   4.586E-01  3p2   N/A    N/A    N/A 
   27   5.588764E+03   1.591308E-01   4.045E+14   2.705E+34   2.060E-01      7.248E-01   4.549E-01   7.743E-01   1.728E+00   1.362E-01   0.000E+00   2.043E-01   0.000E+00      9.795E+08   5.153E+08   1.000E+00   01000   4.597E-01   4.597E-01  3p2   N/A    N/A    N/A 
   28   5.656926E+03   1.645506E-01   4.030E+14   2.678E+34   2.053E-01      7.236E-01   4.534E-01   7.728E-01   1.726E+00   1.360E-01   0.000E+00   2.041E-01   0.000E+00      9.785E+08   5.509E+08   1.000E+00   01000   4.607E-01   4.607E-01  3p2   N/A    N/A    N/A 
   29   5.723485E+03   1.698430E-01   4.016E+14   2.653E+34   2.046E-01      7.224E-01   4.520E-01   7.713E-01   1.725E+00   1.359E-01   0.000E+00   2.039E-01   0.000E+00      9.776E+08   5.860E+08   1.000E+00   01000   4.617E-01   4.617E-01  3p2   N/A    N/A    N/A 
