6    241    179          Itext Imax Icore 

      Mag field EoS B31 (2104.05950) with crust from APR 

   Rho           Press        nbar          Ye          Ymu          Yn            Yp         Yla           Ysm         Ys0          Ysp          mstp          mstn        mstla        mstsm        msts0        mstsp 
  g/cm3        dyne/cm2      #/fm3       [A_cell]     [A_ion]        [Z] 

2.411554E+15 1.165110E+36 1.056400E+00 7.178684E-03 1.978145E-03 2.524365E-01 1.949902E-01 2.680988E-01 1.858334E-01 8.948434E-02 0.000000E+00 1.082636E-01 1.082636E-01 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.374803E+15 1.142327E+36 1.041803E+00 7.644983E-03 1.348805E-03 2.520452E-01 1.954388E-01 2.677291E-01 1.864450E-01 8.934799E-02 0.000000E+00 1.097509E-01 1.097509E-01 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.338627E+15 1.119882E+36 1.027407E+00 7.802638E-03 1.721042E-03 2.536269E-01 1.962415E-01 2.665545E-01 1.867178E-01 8.733551E-02 0.000000E+00 1.112577E-01 1.112577E-01 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.303016E+15 1.097766E+36 1.013211E+00 7.912826E-03 2.504248E-03 2.567602E-01 1.971698E-01 2.656306E-01 1.867527E-01 8.326965E-02 0.000000E+00 1.127844E-01 1.127844E-01 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.267961E+15 1.075977E+36 9.992104E-01 8.091430E-03 3.356563E-03 2.608447E-01 1.980979E-01 2.653945E-01 1.866499E-01 7.756502E-02 0.000000E+00 1.143311E-01 1.143311E-01 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.233452E+15 1.054510E+36 9.854035E-01 8.369511E-03 4.110826E-03 2.652604E-01 1.989453E-01 2.659195E-01 1.864649E-01 7.092958E-02 0.000000E+00 1.158981E-01 1.158981E-01 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.199480E+15 1.033361E+36 9.717874E-01 8.735852E-03 4.703695E-03 2.695772E-01 1.996499E-01 2.670683E-01 1.862103E-01 6.405476E-02 0.000000E+00 1.174857E-01 1.174857E-01 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.166037E+15 1.012526E+36 9.583594E-01 9.161654E-03 5.132814E-03 2.736604E-01 2.001588E-01 2.686226E-01 1.858643E-01 5.739939E-02 0.000000E+00 1.190939E-01 1.190939E-01 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.133113E+15 9.920004E+35 9.451169E-01 9.615234E-03 5.427177E-03 2.776785E-01 2.004288E-01 2.703475E-01 1.853864E-01 5.111632E-02 0.000000E+00 1.207232E-01 1.207232E-01 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.100699E+15 9.717804E+35 9.320574E-01 1.006923E-02 5.630109E-03 2.820127E-01 2.004252E-01 2.720226E-01 1.847259E-01 4.511433E-02 0.000000E+00 1.223736E-01 1.223736E-01 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.068789E+15 9.518621E+35 9.191784E-01 1.050487E-02 5.786530E-03 2.870601E-01 2.001350E-01 2.734696E-01 1.838436E-01 3.920036E-02 0.000000E+00 1.240454E-01 1.240454E-01 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.037372E+15 9.322417E+35 9.064773E-01 1.091237E-02 5.934549E-03 2.931080E-01 1.995573E-01 2.745504E-01 1.827104E-01 3.322698E-02 0.000000E+00 1.257389E-01 1.257389E-01 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.006441E+15 9.129156E+35 8.939518E-01 1.128957E-02 6.103243E-03 3.002234E-01 1.987062E-01 2.751803E-01 1.813133E-01 2.718404E-02 0.000000E+00 1.274543E-01 1.274543E-01 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.975988E+15 8.938790E+35 8.815993E-01 1.163962E-02 6.313627E-03 3.082738E-01 1.976094E-01 2.753044E-01 1.796561E-01 2.120297E-02 0.000000E+00 1.291918E-01 1.291918E-01 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.946005E+15 8.751300E+35 8.694175E-01 1.197068E-02 6.576189E-03 3.169998E-01 1.963044E-01 2.749184E-01 1.777576E-01 1.547298E-02 0.000000E+00 1.309517E-01 1.309517E-01 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.916486E+15 8.566645E+35 8.574040E-01 1.229258E-02 6.892464E-03 3.261968E-01 1.948329E-01 2.740171E-01 1.756478E-01 1.012029E-02 0.000000E+00 1.327342E-01 1.327342E-01 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.887421E+15 8.384784E+35 8.455566E-01 1.261589E-02 7.261543E-03 3.357199E-01 1.932418E-01 2.726435E-01 1.733644E-01 5.153047E-03 0.000000E+00 1.345394E-01 1.345394E-01 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.858805E+15 8.205690E+35 8.338728E-01 1.295018E-02 7.673393E-03 3.446209E-01 1.915708E-01 2.708394E-01 1.709473E-01 1.398105E-03 0.000000E+00 1.363678E-01 1.363678E-01 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.830630E+15 8.006230E+35 8.223505E-01 1.330405E-02 8.118498E-03 3.502343E-01 1.898579E-01 2.686519E-01 1.684353E-01 1.398105E-03 0.000000E+00 1.382194E-01 1.382194E-01 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.802890E+15 7.832570E+35 8.109874E-01 1.368359E-02 8.584400E-03 3.562105E-01 1.881307E-01 2.661301E-01 1.658627E-01 1.398105E-03 0.000000E+00 1.400945E-01 1.400945E-01 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.775577E+15 7.661581E+35 7.997813E-01 1.409331E-02 9.059340E-03 3.624532E-01 1.864083E-01 2.633320E-01 1.632557E-01 1.398105E-03 0.000000E+00 1.419934E-01 1.419934E-01 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.748685E+15 7.493231E+35 7.887300E-01 1.453417E-02 9.531919E-03 3.688924E-01 1.847012E-01 2.603071E-01 1.606351E-01 1.398105E-03 0.000000E+00 1.439163E-01 1.439163E-01 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.722208E+15 7.327491E+35 7.778315E-01 1.500804E-02 9.992287E-03 3.754779E-01 1.830117E-01 2.571006E-01 1.580114E-01 1.398105E-03 0.000000E+00 1.458634E-01 1.458634E-01 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.696140E+15 7.164331E+35 7.670835E-01 1.551122E-02 1.043312E-02 3.821879E-01 1.813306E-01 2.537527E-01 1.553863E-01 1.398105E-03 0.000000E+00 1.478349E-01 1.478349E-01 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.670473E+15 7.003719E+35 7.564841E-01 1.604172E-02 1.084867E-02 3.890112E-01 1.796462E-01 2.502982E-01 1.527558E-01 1.398105E-03 0.000000E+00 1.498312E-01 1.498312E-01 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.645202E+15 6.845634E+35 7.460311E-01 1.659646E-02 1.123509E-02 3.959577E-01 1.779391E-01 2.467661E-01 1.501075E-01 1.398105E-03 0.000000E+00 1.518523E-01 1.518523E-01 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.620320E+15 6.690038E+35 7.357226E-01 1.717027E-02 1.159208E-02 4.030435E-01 1.761894E-01 2.431797E-01 1.474270E-01 1.398105E-03 0.000000E+00 1.538986E-01 1.538986E-01 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.595822E+15 6.536904E+35 7.255565E-01 1.775927E-02 1.192042E-02 4.102936E-01 1.743762E-01 2.395560E-01 1.446965E-01 1.398105E-03 0.000000E+00 1.559702E-01 1.559702E-01 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.571702E+15 6.386209E+35 7.155309E-01 1.835998E-02 1.222239E-02 4.177386E-01 1.724770E-01 2.359092E-01 1.418947E-01 1.398105E-03 0.000000E+00 1.580674E-01 1.580674E-01 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.547954E+15 6.237932E+35 7.056438E-01 1.896957E-02 1.250167E-02 4.253985E-01 1.704771E-01 2.322492E-01 1.390059E-01 1.398105E-03 0.000000E+00 1.601905E-01 1.601905E-01 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.524572E+15 6.092036E+35 6.958933E-01 1.958519E-02 1.276398E-02 4.332936E-01 1.683632E-01 2.285818E-01 1.360141E-01 1.398105E-03 0.000000E+00 1.623396E-01 1.623396E-01 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.501551E+15 5.948490E+35 6.862775E-01 2.020553E-02 1.301515E-02 4.414398E-01 1.661269E-01 2.249083E-01 1.329062E-01 1.398105E-03 0.000000E+00 1.645149E-01 1.645149E-01 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.478884E+15 5.807275E+35 6.767947E-01 2.083029E-02 1.326148E-02 4.498441E-01 1.637640E-01 2.212299E-01 1.296722E-01 1.398105E-03 0.000000E+00 1.667167E-01 1.667167E-01 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.456567E+15 5.668375E+35 6.674428E-01 2.146018E-02 1.350950E-02 4.585010E-01 1.612773E-01 2.175462E-01 1.263076E-01 1.398105E-03 0.000000E+00 1.689452E-01 1.689452E-01 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.434594E+15 5.531750E+35 6.582202E-01 2.209692E-02 1.376564E-02 4.673999E-01 1.586756E-01 2.138509E-01 1.228130E-01 1.398105E-03 0.000000E+00 1.712006E-01 1.712006E-01 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.412958E+15 5.397368E+35 6.491250E-01 2.274315E-02 1.403601E-02 4.765161E-01 1.559708E-01 2.101441E-01 1.191917E-01 1.398105E-03 0.000000E+00 1.734831E-01 1.734831E-01 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.391657E+15 5.265213E+35 6.401555E-01 2.340227E-02 1.432622E-02 4.858267E-01 1.531788E-01 2.064176E-01 1.154503E-01 1.398105E-03 0.000000E+00 1.757929E-01 1.757929E-01 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.370683E+15 5.135275E+35 6.313100E-01 2.407834E-02 1.464113E-02 4.952970E-01 1.503170E-01 2.026708E-01 1.115976E-01 1.398105E-03 0.000000E+00 1.781303E-01 1.781303E-01 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
