         5       377       111       281

EOS                                                                            

  i            rad           emas         rho         pres          nb           kf(e)      kf(mu)       kf(p)       kf(n)      kf(la)      kf(S-)      kf(S0)      kf(S+)         Tc(n)       Tc(p)      Tc(la)    Durca        mstn        mstp  nSF   Acel   Aion   Zion

    0   0.000000E+00   0.000000E+00   5.696E+14   6.456E+34   2.818E-01      8.468E-01   5.997E-01   9.409E-01   1.882E+00   1.512E-01   2.152E-01   2.268E-01   0.000E+00      9.737E+08   1.000E+00   1.000E+00   01000   3.641E-01   3.641E-01  3p2   N/A    N/A    N/A 
    1   2.280167E+03   1.427331E-02   5.593E+14   6.092E+34   2.771E-01      8.415E-01   5.917E-01   9.332E-01   1.872E+00   1.503E-01   2.140E-01   2.255E-01   0.000E+00      9.792E+08   1.000E+00   1.000E+00   01000   3.690E-01   3.690E-01  3p2   N/A    N/A    N/A 
    2   2.872831E+03   2.816418E-02   5.533E+14   5.883E+34   2.744E-01      8.382E-01   5.868E-01   9.286E-01   1.867E+00   1.498E-01   2.133E-01   2.248E-01   0.000E+00      9.822E+08   1.000E+00   1.000E+00   01000   3.719E-01   3.719E-01  3p2   N/A    N/A    N/A 
    3   3.288570E+03   4.213301E-02   5.483E+14   5.710E+34   2.721E-01      8.353E-01   5.827E-01   9.246E-01   1.863E+00   1.494E-01   2.127E-01   2.242E-01   0.000E+00      9.845E+08   1.000E+00   1.000E+00   01000   3.743E-01   3.743E-01  3p2   N/A    N/A    N/A 
    4   3.619540E+03   5.614327E-02   5.437E+14   5.557E+34   2.700E-01      8.327E-01   5.790E-01   9.209E-01   1.858E+00   1.490E-01   2.121E-01   2.236E-01   0.000E+00      9.864E+08   1.000E+00   1.000E+00   01000   3.766E-01   3.766E-01  3p2   N/A    N/A    N/A 
    5   3.899031E+03   6.904913E-02   5.396E+14   5.422E+34   2.682E-01      8.303E-01   5.756E-01   9.176E-01   1.855E+00   1.487E-01   2.116E-01   2.231E-01   0.000E+00      9.881E+08   1.000E+00   1.000E+00   01000   3.786E-01   3.786E-01  3p2   N/A    N/A    N/A 
    6   4.143339E+03   8.336540E-02   5.356E+14   5.291E+34   2.663E-01      8.279E-01   5.722E-01   9.143E-01   1.851E+00   1.484E-01   2.112E-01   2.226E-01   0.000E+00      9.896E+08   1.000E+00   1.000E+00   01000   3.806E-01   3.806E-01  3p2   N/A    N/A    N/A 
    7   4.361803E+03   9.655756E-02   5.319E+14   5.173E+34   2.647E-01      8.256E-01   5.691E-01   9.112E-01   1.848E+00   1.480E-01   2.107E-01   2.221E-01   0.000E+00      9.909E+08   1.000E+00   1.000E+00   01000   3.825E-01   3.825E-01  3p2   N/A    N/A    N/A 
    8   4.560334E+03   1.091814E-01   5.285E+14   5.063E+34   2.631E-01      8.235E-01   5.662E-01   9.083E-01   1.845E+00   1.478E-01   2.103E-01   2.217E-01   0.000E+00      9.920E+08   1.000E+00   1.000E+00   01000   3.843E-01   3.843E-01  3p2   N/A    N/A    N/A 
    9   4.742939E+03   1.234144E-01   5.250E+14   4.952E+34   2.615E-01      8.212E-01   5.632E-01   9.052E-01   1.842E+00   1.474E-01   2.099E-01   2.212E-01   0.000E+00      9.931E+08   1.000E+00   1.000E+00   01000   3.861E-01   3.861E-01  3p2   N/A    N/A    N/A 
   10   4.912471E+03   1.366285E-01   5.217E+14   4.850E+34   2.600E-01      8.191E-01   5.603E-01   9.023E-01   1.839E+00   1.472E-01   2.095E-01   2.208E-01   0.000E+00      9.941E+08   1.000E+00   1.000E+00   01000   3.878E-01   3.878E-01  3p2   N/A    N/A    N/A 
   11   5.071046E+03   1.489886E-01   5.186E+14   4.754E+34   2.586E-01      8.171E-01   5.576E-01   8.996E-01   1.836E+00   1.469E-01   2.091E-01   2.204E-01   0.000E+00      9.949E+08   1.000E+00   1.000E+00   01000   3.895E-01   3.895E-01  3p2   N/A    N/A    N/A 
