         5       653       401       557

EOS                                                                            

  i            rad           emas         rho         pres          nb           kf(e)      kf(mu)       kf(p)       kf(n)      kf(la)      kf(S-)      kf(S0)      kf(S+)         Tc(n)       Tc(p)      Tc(la)    Durca        mstn        mstp  nSF   Acel   Aion   Zion
   20   3.920797E+03   1.359881E-01   1.025E+15   1.600E+35   5.600E-01      1.045E+00   8.968E-01   1.231E+00   2.451E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      1.839E+08   1.000E+00   1.000E+00   00000   5.555E-01   3.674E-01  3p2   N/A    N/A    N/A 
   21   3.985084E+03   1.430594E-01   1.022E+15   1.584E+35   5.584E-01      1.044E+00   8.950E-01   1.229E+00   2.448E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      1.860E+08   1.000E+00   1.000E+00   00000   5.561E-01   3.679E-01  3p2   N/A    N/A    N/A 
   22   4.047361E+03   1.499095E-01   1.018E+15   1.569E+35   5.568E-01      1.042E+00   8.932E-01   1.226E+00   2.446E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      1.880E+08   1.000E+00   1.000E+00   00000   5.568E-01   3.684E-01  3p2   N/A    N/A    N/A 
   23   4.107778E+03   1.565551E-01   1.015E+15   1.554E+35   5.552E-01      1.041E+00   8.915E-01   1.224E+00   2.444E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      1.900E+08   1.000E+00   1.000E+00   00000   5.574E-01   3.688E-01  3p2   N/A    N/A    N/A 
   24   4.166469E+03   1.630107E-01   1.012E+15   1.540E+35   5.537E-01      1.039E+00   8.898E-01   1.223E+00   2.442E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      1.920E+08   1.000E+00   1.000E+00   00000   5.580E-01   3.692E-01  3p2   N/A    N/A    N/A 
   25   4.223551E+03   1.692895E-01   1.008E+15   1.526E+35   5.523E-01      1.038E+00   8.881E-01   1.221E+00   2.440E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      1.940E+08   1.000E+00   1.000E+00   00000   5.586E-01   3.696E-01  3p2   N/A    N/A    N/A 
   26   4.279130E+03   1.754029E-01   1.005E+15   1.512E+35   5.508E-01      1.037E+00   8.865E-01   1.219E+00   2.438E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      1.959E+08   1.000E+00   1.000E+00   00000   5.592E-01   3.700E-01  3p2   N/A    N/A    N/A 
   27   4.333302E+03   1.813615E-01   1.002E+15   1.499E+35   5.494E-01      1.035E+00   8.849E-01   1.217E+00   2.437E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      1.978E+08   1.000E+00   1.000E+00   00000   5.598E-01   3.704E-01  3p2   N/A    N/A    N/A 
   28   4.386152E+03   1.871748E-01   9.995E+14   1.486E+35   5.480E-01      1.034E+00   8.833E-01   1.215E+00   2.435E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      1.996E+08   1.000E+00   1.000E+00   00000   5.603E-01   3.708E-01  3p2   N/A    N/A    N/A 
   29   4.437759E+03   1.932536E-01   9.966E+14   1.473E+35   5.467E-01      1.033E+00   8.818E-01   1.213E+00   2.433E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      2.015E+08   1.000E+00   1.000E+00   00000   5.609E-01   3.712E-01  3p2   N/A    N/A    N/A 
   30   4.488192E+03   2.002317E-01   9.934E+14   1.460E+35   5.452E-01      1.031E+00   8.801E-01   1.211E+00   2.431E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      2.035E+08   1.000E+00   1.000E+00   00000   5.615E-01   3.717E-01  3p2   N/A    N/A    N/A 
   31   4.537517E+03   2.070565E-01   9.903E+14   1.446E+35   5.437E-01      1.030E+00   8.784E-01   1.209E+00   2.429E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      2.056E+08   1.000E+00   1.000E+00   00000   5.621E-01   3.721E-01  3p2   N/A    N/A    N/A 
   32   4.585792E+03   2.137359E-01   9.873E+14   1.434E+35   5.423E-01      1.028E+00   8.767E-01   1.208E+00   2.427E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      2.076E+08   1.000E+00   1.000E+00   00000   5.627E-01   3.725E-01  3p2   N/A    N/A    N/A 
   33   4.633072E+03   2.202776E-01   9.843E+14   1.421E+35   5.408E-01      1.027E+00   8.751E-01   1.206E+00   2.425E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      2.096E+08   1.000E+00   1.000E+00   00000   5.633E-01   3.729E-01  3p2   N/A    N/A    N/A 
   34   4.679406E+03   2.266885E-01   9.814E+14   1.409E+35   5.395E-01      1.025E+00   8.735E-01   1.204E+00   2.423E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      2.116E+08   1.000E+00   1.000E+00   00000   5.639E-01   3.733E-01  3p2   N/A    N/A    N/A 
   35   4.724840E+03   2.329749E-01   9.785E+14   1.397E+35   5.381E-01      1.024E+00   8.720E-01   1.202E+00   2.421E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      2.135E+08   1.000E+00   1.000E+00   00000   5.645E-01   3.737E-01  3p2   N/A    N/A    N/A 
   36   4.769416E+03   2.391426E-01   9.757E+14   1.385E+35   5.368E-01      1.023E+00   8.704E-01   1.200E+00   2.419E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      2.154E+08   1.000E+00   1.000E+00   00000   5.650E-01   3.741E-01  3p2   N/A    N/A    N/A 
