         5       363       111       267

EOS                                                                            

  i            rad           emas         rho         pres          nb           kf(e)      kf(mu)       kf(p)       kf(n)      kf(la)      kf(S-)      kf(S0)      kf(S+)         Tc(n)       Tc(p)      Tc(la)    Durca        mstn        mstp  nSF   Acel   Aion   Zion
   20   6.649888E+03   2.738370E-01   4.147E+14   2.532E+34   2.399E-01      7.726E-01   5.570E-01   8.591E-01   1.863E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      9.841E+08   1.000E+00   1.000E+00   00000   8.737E-01   8.737E-01  3p2   N/A    N/A    N/A 
   21   6.758922E+03   2.876936E-01   4.122E+14   2.476E+34   2.385E-01      7.703E-01   5.538E-01   8.559E-01   1.860E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      9.857E+08   1.000E+00   1.000E+00   00000   8.744E-01   8.744E-01  3p2   N/A    N/A    N/A 
   22   6.864548E+03   3.011169E-01   4.097E+14   2.422E+34   2.372E-01      7.681E-01   5.507E-01   8.528E-01   1.857E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      9.871E+08   1.000E+00   1.000E+00   00000   8.751E-01   8.751E-01  3p2   N/A    N/A    N/A 
   23   6.967019E+03   3.141394E-01   4.074E+14   2.370E+34   2.359E-01      7.659E-01   5.476E-01   8.497E-01   1.854E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      9.885E+08   1.000E+00   1.000E+00   00000   8.758E-01   8.758E-01  3p2   N/A    N/A    N/A 
   24   7.066561E+03   3.267896E-01   4.050E+14   2.320E+34   2.346E-01      7.638E-01   5.447E-01   8.468E-01   1.851E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      9.897E+08   1.000E+00   1.000E+00   00000   8.764E-01   8.764E-01  3p2   N/A    N/A    N/A 
   25   7.163375E+03   3.390932E-01   4.028E+14   2.270E+34   2.334E-01      7.617E-01   5.418E-01   8.439E-01   1.848E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      9.909E+08   1.000E+00   1.000E+00   00000   8.770E-01   8.770E-01  3p2   N/A    N/A    N/A 
   26   7.257641E+03   3.510730E-01   4.006E+14   2.222E+34   2.322E-01      7.597E-01   5.389E-01   8.410E-01   1.845E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      9.919E+08   1.000E+00   1.000E+00   00000   8.777E-01   8.777E-01  3p2   N/A    N/A    N/A 
   27   7.349520E+03   3.627493E-01   3.985E+14   2.176E+34   2.311E-01      7.577E-01   5.361E-01   8.383E-01   1.842E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      9.929E+08   1.000E+00   1.000E+00   00000   8.782E-01   8.782E-01  3p2   N/A    N/A    N/A 
   28   7.439156E+03   3.741407E-01   3.964E+14   2.130E+34   2.299E-01      7.557E-01   5.333E-01   8.355E-01   1.840E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      9.938E+08   1.000E+00   1.000E+00   00000   8.788E-01   8.788E-01  3p2   N/A    N/A    N/A 
   29   7.526684E+03   3.872322E-01   3.940E+14   2.084E+34   2.286E-01      7.535E-01   5.301E-01   8.324E-01   1.836E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      9.947E+08   1.000E+00   1.000E+00   00000   8.795E-01   8.795E-01  3p2   N/A    N/A    N/A 
