         5       653       401       557

EOS                                                                            

  i            rad           emas         rho         pres          nb           kf(e)      kf(mu)       kf(p)       kf(n)      kf(la)      kf(S-)      kf(S0)      kf(S+)         Tc(n)       Tc(p)      Tc(la)    Durca        mstn        mstp  nSF   Acel   Aion   Zion

    0   0.000000E+00   0.000000E+00   1.305E+15   3.139E+35   6.829E-01      1.156E+00   1.023E+00   1.378E+00   2.601E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      7.662E+07   1.000E+00   1.000E+00   00000   5.118E-01   3.386E-01  3p2   N/A    N/A    N/A 
    1   1.445200E+03   8.351999E-03   1.287E+15   3.026E+35   6.755E-01      1.149E+00   1.016E+00   1.369E+00   2.593E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      8.088E+07   1.000E+00   1.000E+00   00000   5.142E-01   3.401E-01  3p2   N/A    N/A    N/A 
    2   1.820838E+03   1.650757E-02   1.277E+15   2.961E+35   6.712E-01      1.146E+00   1.012E+00   1.365E+00   2.588E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      8.349E+07   1.000E+00   1.000E+00   00000   5.156E-01   3.410E-01  3p2   N/A    N/A    N/A 
    3   2.084339E+03   2.474617E-02   1.268E+15   2.906E+35   6.675E-01      1.143E+00   1.008E+00   1.360E+00   2.584E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      8.575E+07   1.000E+00   1.000E+00   00000   5.167E-01   3.417E-01  3p2   N/A    N/A    N/A 
    4   2.294112E+03   3.299167E-02   1.260E+15   2.858E+35   6.642E-01      1.140E+00   1.005E+00   1.357E+00   2.580E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      8.783E+07   1.000E+00   1.000E+00   00000   5.178E-01   3.424E-01  3p2   N/A    N/A    N/A 
    5   2.471258E+03   4.071061E-02   1.253E+15   2.815E+35   6.613E-01      1.137E+00   1.002E+00   1.353E+00   2.576E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      8.974E+07   1.000E+00   1.000E+00   00000   5.188E-01   3.430E-01  3p2   N/A    N/A    N/A 
    6   2.626103E+03   4.906915E-02   1.246E+15   2.774E+35   6.584E-01      1.135E+00   9.996E-01   1.350E+00   2.573E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      9.163E+07   1.000E+00   1.000E+00   00000   5.197E-01   3.436E-01  3p2   N/A    N/A    N/A 
    7   2.764568E+03   5.706255E-02   1.240E+15   2.737E+35   6.557E-01      1.133E+00   9.970E-01   1.347E+00   2.570E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      9.342E+07   1.000E+00   1.000E+00   00000   5.206E-01   3.442E-01  3p2   N/A    N/A    N/A 
    8   2.890400E+03   6.432665E-02   1.234E+15   2.702E+35   6.533E-01      1.130E+00   9.946E-01   1.344E+00   2.567E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      9.508E+07   1.000E+00   1.000E+00   00000   5.214E-01   3.447E-01  3p2   N/A    N/A    N/A 
    9   3.006138E+03   7.279311E-02   1.228E+15   2.667E+35   6.508E-01      1.128E+00   9.921E-01   1.341E+00   2.564E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      9.684E+07   1.000E+00   1.000E+00   00000   5.222E-01   3.452E-01  3p2   N/A    N/A    N/A 
   10   3.113590E+03   8.093726E-02   1.223E+15   2.634E+35   6.484E-01      1.126E+00   9.897E-01   1.338E+00   2.561E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      9.854E+07   1.000E+00   1.000E+00   00000   5.230E-01   3.458E-01  3p2   N/A    N/A    N/A 
   11   3.214096E+03   8.855502E-02   1.217E+15   2.603E+35   6.461E-01      1.124E+00   9.875E-01   1.336E+00   2.558E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      1.002E+08   1.000E+00   1.000E+00   00000   5.238E-01   3.463E-01  3p2   N/A    N/A    N/A 
   12   3.308683E+03   9.572404E-02   1.212E+15   2.574E+35   6.440E-01      1.122E+00   9.854E-01   1.333E+00   2.556E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      1.017E+08   1.000E+00   1.000E+00   00000   5.245E-01   3.467E-01  3p2   N/A    N/A    N/A 
