#   Time in years,  Te_inf includes ephi
#   Temp and Lum are local values, i.e. no ephi
#
#
#        Time= 1.000E-10      Te_inf 6.264E+06
#
# zone       Rad [m]       Rho [gm/cc]        exp(phi)           dvol         Temp [K]      Lum [Lsun]           Q_mUrca        lambda_e       lambda_mu         Q_dUrca  
#                                                                        no exp(phi)    no exp(2phi) 
#
  307   1.2812154E+004  8.6007237E+010  8.7655194E-001  2.8306471E+016    6.3244794E+009  1.3520228E+003    0.0000000E+000  4.9560618E+018  0.0000000E+000  0.0000000E+000
  305   1.2800097E+004  9.2877656E+010  8.7642769E-001  2.8257141E+016    6.3936423E+009  1.8031042E+003    0.0000000E+000  5.1261356E+018  0.0000000E+000  0.0000000E+000
  303   1.2788039E+004  1.0029690E+011  8.7630345E-001  2.8312629E+016    6.4636270E+009  2.2598909E+003    0.0000000E+000  8.0838233E+018  0.0000000E+000  0.0000000E+000
  301   1.2775815E+004  1.0830880E+011  8.7617647E-001  2.8725936E+016    6.5354352E+009  2.2767490E+003    0.0000000E+000  8.4390370E+018  0.0000000E+000  0.0000000E+000
  299   1.2763514E+004  1.1696071E+011  8.7604823E-001  2.8674733E+016    6.6085729E+009  2.3033924E+003    0.0000000E+000  8.0675958E+018  0.0000000E+000  0.0000000E+000
  297   1.2751213E+004  1.2630375E+011  8.7592001E-001  2.8623577E+016    6.6825999E+009  2.4331706E+003    0.0000000E+000  8.4372037E+018  0.0000000E+000  0.0000000E+000
  295   1.2738912E+004  1.3639313E+011  8.7579181E-001  2.8572469E+016    6.7575278E+009  2.5693025E+003    0.0000000E+000  8.8234045E+018  0.0000000E+000  0.0000000E+000
  293   1.2726611E+004  1.4728847E+011  8.7566362E-001  2.8521407E+016    6.8333685E+009  2.7129260E+003    0.0000000E+000  9.2208838E+018  0.0000000E+000  0.0000000E+000
  291   1.2714228E+004  1.5905415E+011  8.7553452E-001  3.0691992E+016    6.9106492E+009  2.8691102E+003    0.0000000E+000  9.6427788E+018  0.0000000E+000  0.0000000E+000
  289   1.2700169E+004  1.7175969E+011  8.7538613E-001  3.2471546E+016    6.9995544E+009  3.0368848E+003    0.0000000E+000  1.0089560E+019  0.0000000E+000  0.0000000E+000
  287   1.2686110E+004  1.8548017E+011  8.7523776E-001  3.2405043E+016    7.0897023E+009  3.2145592E+003    0.0000000E+000  1.0557430E+019  0.0000000E+000  0.0000000E+000
  285   1.2672052E+004  2.0029668E+011  8.7508942E-001  3.2338611E+016    7.1811117E+009  3.4017410E+003    0.0000000E+000  1.1047214E+019  0.0000000E+000  0.0000000E+000
  283   1.2657993E+004  2.1629675E+011  8.7494111E-001  3.2272249E+016    7.2738018E+009  3.6000027E+003    0.0000000E+000  1.1552484E+019  0.0000000E+000  0.0000000E+000
  281   1.2643934E+004  2.3357494E+011  8.7479282E-001  3.2135463E+016    7.3677919E+009  3.8115484E+003    0.0000000E+000  1.2089971E+019  0.0000000E+000  0.0000000E+000
  279   1.2630018E+004  2.5223334E+011  8.7464472E-001  3.1629205E+016    7.4621396E+009  4.0329911E+003    0.0000000E+000  1.2652866E+019  0.0000000E+000  0.0000000E+000
  277   1.2616183E+004  2.7238221E+011  8.7449675E-001  3.1565134E+016    7.5572460E+009  4.2684007E+003    0.0000000E+000  1.3233571E+019  0.0000000E+000  0.0000000E+000
  275   1.2602348E+004  2.9414061E+011  8.7434880E-001  3.1501130E+016    7.6536695E+009  4.5194748E+003    0.0000000E+000  1.3851935E+019  0.0000000E+000  0.0000000E+000
  273   1.2588513E+004  3.1763711E+011  8.7420087E-001  3.1437194E+016    7.7514297E+009  4.7834503E+003    0.0000000E+000  1.4500995E+019  0.0000000E+000  0.0000000E+000
  271   1.2574678E+004  3.4301056E+011  8.7405297E-001  3.1373324E+016    7.8505465E+009  5.0637630E+003    0.0000000E+000  1.5166662E+019  0.0000000E+000  0.0000000E+000
  269   1.2560843E+004  3.7041089E+011  8.7390510E-001  2.4535333E+016    7.9510406E+009  5.3566276E+003    0.0000000E+000  1.5881967E+019  0.0000000E+000  0.0000000E+000
  267   1.2554173E+004  4.0000000E+011  8.7383317E-001  1.2424751E+016    7.9999974E+009  4.3036234E+002    0.0000000E+000  1.6582030E+019  0.0000000E+000  0.0000000E+000
  265   1.2548678E+004  4.3193633E+011  8.7377371E-001  1.2411624E+016    8.0039155E+009  4.0236488E+002    0.0000000E+000  1.4416180E+019  0.0000000E+000  0.0000000E+000
  263   1.2543184E+004  4.6642248E+011  8.7371425E-001  1.2401575E+016    8.0078369E+009  4.0442813E+002    0.0000000E+000  1.4485738E+019  0.0000000E+000  0.0000000E+000
  261   1.2537690E+004  5.0366204E+011  8.7365480E-001  1.2391530E+016    8.0117618E+009  4.0676741E+002    0.0000000E+000  1.4564471E+019  0.0000000E+000  0.0000000E+000
  259   1.2532196E+004  5.4387484E+011  8.7359535E-001  1.2381489E+016    8.0156900E+009  4.0961823E+002    0.0000000E+000  1.4653760E+019  0.0000000E+000  0.0000000E+000
  257   1.2526701E+004  5.8729825E+011  8.7353591E-001  1.2371453E+016    8.0196217E+009  4.1294843E+002    0.0000000E+000  1.4768793E+019  0.0000000E+000  0.0000000E+000
  255   1.2521207E+004  6.3418863E+011  8.7347647E-001  1.2361421E+016    8.0235567E+009  4.1654391E+002    0.0000000E+000  1.4893068E+019  0.0000000E+000  0.0000000E+000
  253   1.2515713E+004  6.8482278E+011  8.7341703E-001  1.2351393E+016    8.0274952E+009  4.2041502E+002    0.0000000E+000  1.5027051E+019  0.0000000E+000  0.0000000E+000
  251   1.2510218E+004  7.3949959E+011  8.7335760E-001  1.2341369E+016    8.0314371E+009  4.2457025E+002    0.0000000E+000  1.5171308E+019  0.0000000E+000  0.0000000E+000
  249   1.2504724E+004  7.9854185E+011  8.7329817E-001  1.2331350E+016    8.0353825E+009  4.2818880E+002    0.0000000E+000  1.5325628E+019  0.0000000E+000  0.0000000E+000
  247   1.2498580E+004  8.6229809E+011  8.7323137E-001  1.5277121E+016    8.0398020E+009  4.3376512E+002    0.0000000E+000  1.5490703E+019  0.0000000E+000  0.0000000E+000
  245   1.2491748E+004  9.3114469E+011  8.7315675E-001  1.5303376E+016    8.0447239E+009  4.3882455E+002    0.0000000E+000  1.5666931E+019  0.0000000E+000  0.0000000E+000
  243   1.2484917E+004  1.0054880E+012  8.7308215E-001  1.5287900E+016    8.0496512E+009  4.4419996E+002    0.0000000E+000  1.5854334E+019  0.0000000E+000  0.0000000E+000
  241   1.2478085E+004  1.0857670E+012  8.7300755E-001  1.5272433E+016    8.0545838E+009  4.4990435E+002    0.0000000E+000  1.6053255E+019  0.0000000E+000  0.0000000E+000
  239   1.2471253E+004  1.1724556E+012  8.7293296E-001  1.5256974E+016    8.0595217E+009  4.5595292E+002    0.0000000E+000  1.6264277E+019  0.0000000E+000  0.0000000E+000
  237   1.2464422E+004  1.2660654E+012  8.7285837E-001  1.5241523E+016    8.0644651E+009  4.6236100E+002    0.0000000E+000  1.6487924E+019  0.0000000E+000  0.0000000E+000
  235   1.2457590E+004  1.3671491E+012  8.7278379E-001  1.5226080E+016    8.0694137E+009  4.6922578E+002    0.0000000E+000  1.6724775E+019  0.0000000E+000  0.0000000E+000
  233   1.2450823E+004  1.4763034E+012  8.7270990E-001  1.3434925E+016    8.0743211E+009  4.7630726E+002    0.0000000E+000  1.6975410E+019  0.0000000E+000  0.0000000E+000
  231   1.2445458E+004  1.5941727E+012  8.7265084E-001  1.1935863E+016    8.0782201E+009  4.8387117E+002    0.0000000E+000  1.7239465E+019  0.0000000E+000  0.0000000E+000
  229   1.2440093E+004  1.7214528E+012  8.7259178E-001  1.1926343E+016    8.0821224E+009  4.9187105E+002    0.0000000E+000  1.7518764E+019  0.0000000E+000  0.0000000E+000
