         5       377       111       281

EOS                                                                            

  i            rad           emas         rho         pres          nb           kf(e)      kf(mu)       kf(p)       kf(n)      kf(la)      kf(S-)      kf(S0)      kf(S+)         Tc(n)       Tc(p)      Tc(la)    Durca        mstn        mstp  nSF   Acel   Aion   Zion

    0   0.000000E+00   0.000000E+00   6.985E+14   1.283E+35   3.398E-01      9.419E-01   7.180E-01   1.059E+00   1.973E+00   1.719E-01   0.000E+00   1.409E-01   0.000E+00      8.876E+08   1.000E+00   1.000E+00   11000   3.122E-01   3.122E-01  3p2   N/A    N/A    N/A 
    1   2.547911E+03   2.400258E-02   6.802E+14   1.198E+35   3.316E-01      9.328E-01   7.044E-01   1.046E+00   1.959E+00   1.705E-01   0.000E+00   1.398E-01   0.000E+00      9.034E+08   1.000E+00   1.000E+00   11000   3.187E-01   3.187E-01  3p2   N/A    N/A    N/A 
    2   3.210167E+03   4.814817E-02   6.695E+14   1.149E+35   3.268E-01      9.275E-01   6.960E-01   1.038E+00   1.951E+00   1.697E-01   0.000E+00   1.391E-01   0.000E+00      9.123E+08   1.000E+00   1.000E+00   11000   3.226E-01   3.226E-01  3p2   N/A    N/A    N/A 
    3   3.674724E+03   7.165060E-02   6.605E+14   1.109E+35   3.228E-01      9.230E-01   6.888E-01   1.031E+00   1.945E+00   1.690E-01   0.000E+00   1.385E-01   0.000E+00      9.195E+08   1.000E+00   1.000E+00   11000   3.260E-01   3.260E-01  3p2   N/A    N/A    N/A 
    4   4.044557E+03   9.428666E-02   6.527E+14   1.075E+35   3.193E-01      9.191E-01   6.823E-01   1.025E+00   1.939E+00   1.684E-01   0.000E+00   1.380E-01   0.000E+00      9.256E+08   1.000E+00   1.000E+00   11000   3.290E-01   3.290E-01  3p2   N/A    N/A    N/A 
    5   4.356867E+03   1.173887E-01   6.454E+14   1.044E+35   3.160E-01      9.154E-01   6.762E-01   1.020E+00   1.934E+00   1.678E-01   0.000E+00   1.376E-01   0.000E+00      9.311E+08   1.000E+00   1.000E+00   11000   3.318E-01   3.318E-01  3p2   N/A    N/A    N/A 
    6   4.629862E+03   1.393095E-01   6.388E+14   1.015E+35   3.130E-01      9.120E-01   6.705E-01   1.014E+00   1.929E+00   1.673E-01   0.000E+00   1.371E-01   0.000E+00      9.360E+08   1.000E+00   1.000E+00   01000   3.344E-01   3.344E-01  3p2   N/A    N/A    N/A 
    7   4.873979E+03   1.626172E-01   6.323E+14   9.879E+34   3.101E-01      9.086E-01   6.648E-01   1.009E+00   1.924E+00   1.668E-01   0.000E+00   1.367E-01   0.000E+00      9.407E+08   1.000E+00   1.000E+00   01000   3.370E-01   3.370E-01  3p2   N/A    N/A    N/A 
    8   5.095822E+03   1.837982E-01   6.263E+14   9.632E+34   3.074E-01      9.055E-01   6.596E-01   1.004E+00   1.919E+00   1.663E-01   0.000E+00   1.363E-01   0.000E+00      9.448E+08   1.000E+00   1.000E+00   01000   3.394E-01   3.394E-01  3p2   N/A    N/A    N/A 
    9   5.299869E+03   2.052082E-01   6.206E+14   9.396E+34   3.048E-01      9.025E-01   6.544E-01   9.999E-01   1.915E+00   1.658E-01   0.000E+00   1.359E-01   0.000E+00      9.487E+08   1.000E+00   1.000E+00   01000   3.417E-01   3.417E-01  3p2   N/A    N/A    N/A 
   10   5.489308E+03   2.281666E-01   6.149E+14   9.166E+34   3.022E-01      8.995E-01   6.492E-01   9.952E-01   1.910E+00   1.653E-01   0.000E+00   1.355E-01   0.000E+00      9.526E+08   1.000E+00   1.000E+00   01000   3.441E-01   3.441E-01  3p2   N/A    N/A    N/A 
   11   5.666504E+03   2.496411E-01   6.095E+14   8.951E+34   2.998E-01      8.966E-01   6.443E-01   9.908E-01   1.906E+00   1.649E-01   0.000E+00   1.352E-01   0.000E+00      9.560E+08   1.000E+00   1.000E+00   01000   3.464E-01   3.464E-01  3p2   N/A    N/A    N/A 
   12   5.833261E+03   2.698506E-01   6.044E+14   8.748E+34   2.975E-01      8.938E-01   6.396E-01   9.866E-01   1.902E+00   1.645E-01   0.000E+00   1.348E-01   0.000E+00      9.592E+08   1.000E+00   1.000E+00   01000   3.486E-01   3.486E-01  3p2   N/A    N/A    N/A 
