         5       653       401       557

EOS                                                                            

  i            rad           emas         rho         pres          nb           kf(e)      kf(mu)       kf(p)       kf(n)      kf(la)      kf(S-)      kf(S0)      kf(S+)         Tc(n)       Tc(p)      Tc(la)    Durca        mstn        mstp  nSF   Acel   Aion   Zion

    0   0.000000E+00   0.000000E+00   7.776E+14   6.946E+34   4.387E-01      9.206E-01   7.476E-01   1.062E+00   2.276E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      4.039E+08   1.000E+00   1.000E+00   00000   6.109E-01   4.080E-01  3p2   N/A    N/A    N/A 
    1   1.374266E+03   4.227343E-03   7.693E+14   6.719E+34   4.344E-01      9.159E-01   7.418E-01   1.056E+00   2.269E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      4.144E+08   1.000E+00   1.000E+00   00000   6.131E-01   4.097E-01  3p2   N/A    N/A    N/A 
    2   1.731467E+03   8.553698E-03   7.643E+14   6.585E+34   4.319E-01      9.130E-01   7.382E-01   1.052E+00   2.265E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      4.207E+08   1.000E+00   1.000E+00   00000   6.144E-01   4.108E-01  3p2   N/A    N/A    N/A 
    3   1.982035E+03   1.278272E-02   7.602E+14   6.475E+34   4.297E-01      9.106E-01   7.352E-01   1.048E+00   2.262E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      4.261E+08   1.000E+00   1.000E+00   00000   6.155E-01   4.117E-01  3p2   N/A    N/A    N/A 
    4   2.181512E+03   1.678392E-02   7.566E+14   6.380E+34   4.278E-01      9.085E-01   7.327E-01   1.046E+00   2.259E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      4.308E+08   1.000E+00   1.000E+00   00000   6.165E-01   4.125E-01  3p2   N/A    N/A    N/A 
    5   2.349962E+03   2.117067E-02   7.530E+14   6.289E+34   4.260E-01      9.065E-01   7.301E-01   1.043E+00   2.256E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      4.354E+08   1.000E+00   1.000E+00   00000   6.175E-01   4.132E-01  3p2   N/A    N/A    N/A 
    6   2.497207E+03   2.500520E-02   7.500E+14   6.209E+34   4.245E-01      9.047E-01   7.279E-01   1.040E+00   2.253E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      4.395E+08   1.000E+00   1.000E+00   00000   6.183E-01   4.139E-01  3p2   N/A    N/A    N/A 
    7   2.628876E+03   2.944618E-02   7.468E+14   6.129E+34   4.228E-01      9.028E-01   7.256E-01   1.038E+00   2.251E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      4.438E+08   1.000E+00   1.000E+00   00000   6.192E-01   4.146E-01  3p2   N/A    N/A    N/A 
    8   2.748532E+03   3.357766E-02   7.439E+14   6.055E+34   4.213E-01      9.011E-01   7.235E-01   1.036E+00   2.248E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      4.477E+08   1.000E+00   1.000E+00   00000   6.200E-01   4.152E-01  3p2   N/A    N/A    N/A 
    9   2.858589E+03   3.737769E-02   7.413E+14   5.988E+34   4.199E-01      8.995E-01   7.215E-01   1.033E+00   2.246E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      4.514E+08   1.000E+00   1.000E+00   00000   6.208E-01   4.158E-01  3p2   N/A    N/A    N/A 
   10   2.960767E+03   4.153127E-02   7.386E+14   5.920E+34   4.185E-01      8.979E-01   7.195E-01   1.031E+00   2.244E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      4.550E+08   1.000E+00   1.000E+00   00000   6.215E-01   4.164E-01  3p2   N/A    N/A    N/A 
   11   3.056340E+03   4.586755E-02   7.359E+14   5.854E+34   4.171E-01      8.963E-01   7.175E-01   1.029E+00   2.241E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      4.587E+08   1.000E+00   1.000E+00   00000   6.223E-01   4.170E-01  3p2   N/A    N/A    N/A 
