         5       363       111       267

EOS                                                                            

  i            rad           emas         rho         pres          nb           kf(e)      kf(mu)       kf(p)       kf(n)      kf(la)      kf(S-)      kf(S0)      kf(S+)         Tc(n)       Tc(p)      Tc(la)    Durca        mstn        mstp  nSF   Acel   Aion   Zion

    0   0.000000E+00   0.000000E+00   5.569E+14   7.303E+34   3.134E-01      8.854E-01   7.051E-01   1.015E+00   2.019E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      8.250E+08   1.000E+00   1.000E+00   00000   8.365E-01   8.365E-01  3p2   N/A    N/A    N/A 
    1   2.613204E+03   2.094876E-02   5.455E+14   6.818E+34   3.078E-01      8.778E-01   6.955E-01   1.004E+00   2.008E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      8.407E+08   1.000E+00   1.000E+00   00000   8.393E-01   8.393E-01  3p2   N/A    N/A    N/A 
    2   3.292431E+03   4.139134E-02   5.388E+14   6.542E+34   3.044E-01      8.732E-01   6.897E-01   9.979E-01   2.002E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      8.498E+08   1.000E+00   1.000E+00   00000   8.410E-01   8.410E-01  3p2   N/A    N/A    N/A 
    3   3.768892E+03   6.183121E-02   5.331E+14   6.313E+34   3.016E-01      8.691E-01   6.845E-01   9.924E-01   1.996E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      8.576E+08   1.000E+00   1.000E+00   00000   8.424E-01   8.424E-01  3p2   N/A    N/A    N/A 
    4   4.148203E+03   8.225668E-02   5.280E+14   6.111E+34   2.990E-01      8.655E-01   6.800E-01   9.874E-01   1.991E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      8.643E+08   1.000E+00   1.000E+00   00000   8.437E-01   8.437E-01  3p2   N/A    N/A    N/A 
    5   4.468516E+03   1.011678E-01   5.235E+14   5.934E+34   2.968E-01      8.623E-01   6.759E-01   9.831E-01   1.986E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      8.702E+08   1.000E+00   1.000E+00   00000   8.448E-01   8.448E-01  3p2   N/A    N/A    N/A 
    6   4.748507E+03   1.219845E-01   5.190E+14   5.762E+34   2.946E-01      8.591E-01   6.718E-01   9.786E-01   1.982E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      8.761E+08   1.000E+00   1.000E+00   00000   8.460E-01   8.460E-01  3p2   N/A    N/A    N/A 
    7   4.998879E+03   1.411912E-01   5.149E+14   5.607E+34   2.925E-01      8.560E-01   6.679E-01   9.744E-01   1.978E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      8.814E+08   1.000E+00   1.000E+00   00000   8.470E-01   8.470E-01  3p2   N/A    N/A    N/A 
    8   5.226408E+03   1.597663E-01   5.111E+14   5.462E+34   2.905E-01      8.531E-01   6.642E-01   9.705E-01   1.974E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      8.864E+08   1.000E+00   1.000E+00   00000   8.480E-01   8.480E-01  3p2   N/A    N/A    N/A 
    9   5.435683E+03   1.803086E-01   5.072E+14   5.319E+34   2.885E-01      8.502E-01   6.604E-01   9.664E-01   1.970E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      8.913E+08   1.000E+00   1.000E+00   00000   8.490E-01   8.490E-01  3p2   N/A    N/A    N/A 
   10   5.629977E+03   1.993802E-01   5.036E+14   5.186E+34   2.867E-01      8.475E-01   6.569E-01   9.627E-01   1.966E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      8.959E+08   1.000E+00   1.000E+00   00000   8.499E-01   8.499E-01  3p2   N/A    N/A    N/A 
   11   5.811714E+03   2.172192E-01   5.002E+14   5.061E+34   2.850E-01      8.449E-01   6.536E-01   9.592E-01   1.962E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      9.001E+08   1.000E+00   1.000E+00   00000   8.508E-01   8.508E-01  3p2   N/A    N/A    N/A 
   12   5.982744E+03   2.358158E-01   4.968E+14   4.940E+34   2.832E-01      8.423E-01   6.502E-01   9.556E-01   1.959E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      9.042E+08   1.000E+00   1.000E+00   00000   8.517E-01   8.517E-01  3p2   N/A    N/A    N/A 
   13   6.144517E+03   2.557541E-01   4.933E+14   4.820E+34   2.814E-01      8.396E-01   6.466E-01   9.518E-01   1.955E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      9.085E+08   1.000E+00   1.000E+00   00000   8.526E-01   8.526E-01  3p2   N/A    N/A    N/A 
   14   6.298194E+03   2.746944E-01   4.900E+14   4.705E+34   2.797E-01      8.369E-01   6.432E-01   9.481E-01   1.951E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      9.126E+08   1.000E+00   1.000E+00   00000   8.534E-01   8.534E-01  3p2   N/A    N/A    N/A 
   15   6.444715E+03   2.927528E-01   4.868E+14   4.596E+34   2.780E-01      8.344E-01   6.399E-01   9.446E-01   1.948E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      9.163E+08   1.000E+00   1.000E+00   00000   8.543E-01   8.543E-01  3p2   N/A    N/A    N/A 
   16   6.584861E+03   3.100256E-01   4.837E+14   4.492E+34   2.765E-01      8.319E-01   6.367E-01   9.413E-01   1.944E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      9.199E+08   1.000E+00   1.000E+00   00000   8.551E-01   8.551E-01  3p2   N/A    N/A    N/A 
   17   6.719283E+03   3.269398E-01   4.807E+14   4.392E+34   2.749E-01      8.296E-01   6.336E-01   9.380E-01   1.941E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      9.233E+08   1.000E+00   1.000E+00   00000   8.559E-01   8.559E-01  3p2   N/A    N/A    N/A 
   18   6.848532E+03   3.464712E-01   4.775E+14   4.290E+34   2.733E-01      8.270E-01   6.303E-01   9.345E-01   1.938E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      9.270E+08   1.000E+00   1.000E+00   00000   8.567E-01   8.567E-01  3p2   N/A    N/A    N/A 
   19   6.973078E+03   3.652919E-01   4.744E+14   4.191E+34   2.716E-01      8.245E-01   6.269E-01   9.309E-01   1.934E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      9.305E+08   1.000E+00   1.000E+00   00000   8.575E-01   8.575E-01  3p2   N/A    N/A    N/A 
   20   7.093327E+03   3.834633E-01   4.714E+14   4.096E+34   2.701E-01      8.220E-01   6.236E-01   9.275E-01   1.931E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      9.338E+08   1.000E+00   1.000E+00   00000   8.583E-01   8.583E-01  3p2   N/A    N/A    N/A 
   21   7.209631E+03   4.010387E-01   4.685E+14   4.004E+34   2.685E-01      8.196E-01   6.205E-01   9.242E-01   1.928E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      9.370E+08   1.000E+00   1.000E+00   00000   8.591E-01   8.591E-01  3p2   N/A    N/A    N/A 
   22   7.322300E+03   4.180647E-01   4.657E+14   3.915E+34   2.671E-01      8.172E-01   6.174E-01   9.210E-01   1.924E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      9.400E+08   1.000E+00   1.000E+00   00000   8.598E-01   8.598E-01  3p2   N/A    N/A    N/A 
   23   7.431605E+03   4.345822E-01   4.630E+14   3.829E+34   2.656E-01      8.150E-01   6.143E-01   9.178E-01   1.921E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      9.429E+08   1.000E+00   1.000E+00   00000   8.606E-01   8.606E-01  3p2   N/A    N/A    N/A 
