#   Time in years,  Te_inf includes ephi
#   Temp and Lum are local values, i.e. no ephi
#
#
#        Time= 1.000E-10      Te_inf 6.450E+06
#
# zone       Rad [m]       Rho [gm/cc]        exp(phi)           dvol         Temp [K]      Lum [Lsun]           Q_mUrca        lambda_e       lambda_mu         Q_dUrca  
#                                                                        no exp(phi)    no exp(2phi) 
#
  307   1.2647193E+004  8.6007237E+010  8.4757736E-001  2.1591917E+016    6.3442083E+009  1.7150477E+003    0.0000000E+000  4.9698975E+018  0.0000000E+000  0.0000000E+000
  305   1.2638060E+004  9.2877656E+010  8.4745772E-001  2.1679842E+016    6.4144583E+009  2.2860987E+003    0.0000000E+000  5.1412759E+018  0.0000000E+000  0.0000000E+000
  303   1.2628821E+004  1.0029690E+011  8.4733564E-001  2.1798101E+016    6.4863671E+009  2.8652135E+003    0.0000000E+000  8.0951004E+018  0.0000000E+000  0.0000000E+000
  301   1.2619576E+004  1.0830880E+011  8.4721342E-001  2.1769256E+016    6.5591871E+009  2.8869250E+003    0.0000000E+000  8.4514024E+018  0.0000000E+000  0.0000000E+000
  299   1.2610331E+004  1.1696071E+011  8.4709122E-001  2.1740431E+016    6.6328782E+009  2.9212376E+003    0.0000000E+000  8.0775926E+018  0.0000000E+000  0.0000000E+000
  297   1.2601086E+004  1.2630375E+011  8.4696904E-001  2.1711626E+016    6.7074514E+009  3.0867676E+003    0.0000000E+000  8.4479390E+018  0.0000000E+000  0.0000000E+000
  295   1.2591841E+004  1.3639313E+011  8.4684688E-001  2.1682842E+016    6.7829180E+009  3.2591907E+003    0.0000000E+000  8.8349118E+018  0.0000000E+000  0.0000000E+000
  293   1.2582228E+004  1.4728847E+011  8.4671943E-001  2.3894304E+016    6.8623465E+009  3.4491482E+003    0.0000000E+000  9.2346587E+018  0.0000000E+000  0.0000000E+000
  291   1.2571803E+004  1.5905415E+011  8.4658028E-001  2.4379095E+016    6.9496150E+009  3.6511580E+003    0.0000000E+000  9.6621549E+018  0.0000000E+000  0.0000000E+000
  289   1.2561378E+004  1.7175969E+011  8.4644115E-001  2.4342577E+016    7.0380661E+009  3.8651073E+003    0.0000000E+000  1.0109557E+019  0.0000000E+000  0.0000000E+000
  287   1.2550954E+004  1.8548017E+011  8.4630204E-001  2.4306088E+016    7.1277168E+009  4.0916803E+003    0.0000000E+000  1.0578025E+019  0.0000000E+000  0.0000000E+000
  285   1.2540529E+004  2.0029668E+011  8.4616295E-001  2.4269627E+016    7.2185844E+009  4.3303836E+003    0.0000000E+000  1.1068383E+019  0.0000000E+000  0.0000000E+000
  283   1.2530104E+004  2.1629675E+011  8.4602389E-001  2.4545468E+016    7.3106865E+009  4.5839467E+003    0.0000000E+000  1.1574214E+019  0.0000000E+000  0.0000000E+000
  281   1.2519342E+004  2.3357494E+011  8.4587899E-001  2.5138960E+016    7.4070975E+009  4.8570922E+003    0.0000000E+000  1.2114078E+019  0.0000000E+000  0.0000000E+000
  279   1.2508511E+004  2.5223334E+011  8.4573292E-001  2.5099693E+016    7.5054951E+009  5.1446540E+003    0.0000000E+000  1.2680533E+019  0.0000000E+000  0.0000000E+000
  277   1.2497679E+004  2.7238221E+011  8.4558687E-001  2.5060458E+016    7.6052856E+009  5.4503479E+003    0.0000000E+000  1.3265474E+019  0.0000000E+000  0.0000000E+000
  275   1.2486848E+004  2.9414061E+011  8.4544085E-001  2.5021255E+016    7.7064899E+009  5.7766442E+003    0.0000000E+000  1.3888392E+019  0.0000000E+000  0.0000000E+000
  273   1.2476017E+004  3.1763711E+011  8.4529486E-001  2.4982085E+016    7.8091294E+009  6.1263452E+003    0.0000000E+000  1.4542366E+019  0.0000000E+000  0.0000000E+000
  271   1.2466216E+004  3.4301056E+011  8.4516265E-001  1.5826910E+016    7.9032598E+009  6.4434673E+003    0.0000000E+000  1.5205969E+019  0.0000000E+000  0.0000000E+000
  269   1.2461245E+004  3.7041089E+011  8.4509498E-001  1.1441272E+016    7.9514711E+009  6.7666140E+003    0.0000000E+000  1.5882302E+019  0.0000000E+000  0.0000000E+000
  267   1.2456274E+004  4.0000000E+011  8.4502731E-001  1.1430208E+016    7.9999975E+009  3.3055080E+002    0.0000000E+000  1.6582030E+019  0.0000000E+000  0.0000000E+000
  265   1.2451305E+004  4.3193633E+011  8.4495968E-001  1.1419153E+016    8.0030974E+009  3.0901047E+002    0.0000000E+000  1.4415611E+019  0.0000000E+000  0.0000000E+000
  263   1.2446337E+004  4.6642248E+011  8.4489206E-001  1.1410929E+016    8.0061995E+009  3.1055905E+002    0.0000000E+000  1.4484589E+019  0.0000000E+000  0.0000000E+000
  261   1.2441368E+004  5.0366204E+011  8.4482444E-001  1.1402709E+016    8.0093038E+009  3.1231908E+002    0.0000000E+000  1.4562728E+019  0.0000000E+000  0.0000000E+000
  259   1.2436400E+004  5.4387484E+011  8.4475683E-001  1.1394491E+016    8.0124103E+009  3.1447119E+002    0.0000000E+000  1.4651409E+019  0.0000000E+000  0.0000000E+000
  257   1.2431431E+004  5.8729825E+011  8.4468922E-001  1.1386277E+016    8.0155189E+009  3.1699095E+002    0.0000000E+000  1.4765821E+019  0.0000000E+000  0.0000000E+000
  255   1.2426462E+004  6.3418863E+011  8.4462162E-001  1.1378066E+016    8.0186298E+009  3.1957050E+002    0.0000000E+000  1.4889461E+019  0.0000000E+000  0.0000000E+000
  253   1.2421369E+004  6.8482278E+011  8.4455223E-001  1.2544453E+016    8.0218217E+009  3.2265000E+002    0.0000000E+000  1.5022851E+019  0.0000000E+000  0.0000000E+000
  251   1.2415622E+004  7.3949959E+011  8.4447339E-001  1.3140139E+016    8.0254316E+009  3.2580456E+002    0.0000000E+000  1.5166811E+019  0.0000000E+000  0.0000000E+000
  249   1.2409875E+004  7.9854185E+011  8.4439455E-001  1.3129161E+016    8.0290445E+009  3.2917690E+002    0.0000000E+000  1.5320825E+019  0.0000000E+000  0.0000000E+000
  247   1.2404128E+004  8.6229809E+011  8.4431572E-001  1.3118189E+016    8.0326603E+009  3.3277435E+002    0.0000000E+000  1.5485223E+019  0.0000000E+000  0.0000000E+000
  245   1.2398381E+004  9.3114469E+011  8.4423690E-001  1.3107221E+016    8.0362791E+009  3.3660471E+002    0.0000000E+000  1.5660367E+019  0.0000000E+000  0.0000000E+000
  243   1.2392634E+004  1.0054880E+012  8.4415809E-001  1.3096258E+016    8.0399008E+009  3.4067613E+002    0.0000000E+000  1.5846655E+019  0.0000000E+000  0.0000000E+000
  241   1.2386887E+004  1.0857670E+012  8.4407928E-001  1.3085299E+016    8.0435255E+009  3.4499851E+002    0.0000000E+000  1.6044425E+019  0.0000000E+000  0.0000000E+000
  239   1.2381139E+004  1.1724556E+012  8.4400048E-001  1.1651902E+016    8.0471532E+009  3.4960962E+002    0.0000000E+000  1.6254259E+019  0.0000000E+000  0.0000000E+000
  237   1.2376664E+004  1.2660654E+012  8.4393869E-001  1.0128136E+016    8.0499844E+009  3.5443318E+002    0.0000000E+000  1.6476024E+019  0.0000000E+000  0.0000000E+000
  235   1.2372209E+004  1.3671491E+012  8.4387717E-001  1.0121554E+016    8.0528046E+009  3.5957291E+002    0.0000000E+000  1.6710917E+019  0.0000000E+000  0.0000000E+000
  233   1.2367754E+004  1.4763034E+012  8.4381566E-001  1.0114974E+016    8.0556265E+009  3.6501084E+002    0.0000000E+000  1.6959569E+019  0.0000000E+000  0.0000000E+000
  231   1.2363299E+004  1.5941727E+012  8.4375415E-001  1.0108397E+016    8.0584502E+009  3.7076230E+002    0.0000000E+000  1.7222444E+019  0.0000000E+000  0.0000000E+000
  229   1.2358844E+004  1.7214528E+012  8.4369264E-001  1.0101822E+016    8.0612757E+009  3.7684642E+002    0.0000000E+000  1.7500520E+019  0.0000000E+000  0.0000000E+000
  227   1.2354389E+004  1.8588950E+012  8.4363115E-001  1.0095250E+016    8.0641030E+009  3.8328155E+002    0.0000000E+000  1.7794619E+019  0.0000000E+000  0.0000000E+000
  225   1.2349934E+004  2.0073107E+012  8.4356965E-001  1.0088679E+016    8.0669321E+009  3.9006667E+002    0.0000000E+000  1.8105643E+019  0.0000000E+000  0.0000000E+000
