         5       363       111       267

EOS                                                                            

  i            rad           emas         rho         pres          nb           kf(e)      kf(mu)       kf(p)       kf(n)      kf(la)      kf(S-)      kf(S0)      kf(S+)         Tc(n)       Tc(p)      Tc(la)    Durca        mstn        mstp  nSF   Acel   Aion   Zion
   20   6.462776E+03   3.053448E-01   4.844E+14   3.024E+34   2.781E-01      8.480E-01   6.575E-01   9.633E-01   1.944E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      9.209E+08   1.000E+00   1.000E+00   00000   6.617E-01   5.846E-01  3p2   N/A    N/A    N/A 
   21   6.568742E+03   3.181034E-01   4.804E+14   2.951E+34   2.760E-01      8.440E-01   6.525E-01   9.579E-01   1.939E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      9.254E+08   1.000E+00   1.000E+00   00000   6.653E-01   5.865E-01  3p2   N/A    N/A    N/A 
   22   6.671396E+03   3.324057E-01   4.761E+14   2.879E+34   2.737E-01      8.398E-01   6.470E-01   9.521E-01   1.935E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      9.302E+08   1.000E+00   1.000E+00   00000   6.693E-01   5.887E-01  3p2   N/A    N/A    N/A 
   23   6.770984E+03   3.465700E-01   4.719E+14   2.809E+34   2.714E-01      8.356E-01   6.416E-01   9.464E-01   1.930E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      9.348E+08   1.000E+00   1.000E+00   00000   6.733E-01   5.908E-01  3p2   N/A    N/A    N/A 
   24   6.867725E+03   3.603294E-01   4.677E+14   2.741E+34   2.692E-01      8.316E-01   6.363E-01   9.408E-01   1.925E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      9.391E+08   1.000E+00   1.000E+00   00000   6.772E-01   5.928E-01  3p2   N/A    N/A    N/A 
   25   6.961815E+03   3.737118E-01   4.637E+14   2.675E+34   2.670E-01      8.276E-01   6.311E-01   9.353E-01   1.921E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      9.432E+08   1.000E+00   1.000E+00   00000   6.811E-01   5.948E-01  3p2   N/A    N/A    N/A 
   26   7.053428E+03   3.867420E-01   4.598E+14   2.610E+34   2.649E-01      8.237E-01   6.260E-01   9.300E-01   1.916E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      9.472E+08   1.000E+00   1.000E+00   00000   6.848E-01   5.968E-01  3p2   N/A    N/A    N/A 
   27   7.142722E+03   3.994422E-01   4.560E+14   2.548E+34   2.628E-01      8.200E-01   6.210E-01   9.247E-01   1.912E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      9.509E+08   1.000E+00   1.000E+00   00000   6.885E-01   5.987E-01  3p2   N/A    N/A    N/A 
   28   7.229836E+03   4.118324E-01   4.523E+14   2.486E+34   2.608E-01      8.163E-01   6.161E-01   9.196E-01   1.908E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      9.545E+08   1.000E+00   1.000E+00   00000   6.921E-01   6.007E-01  3p2   N/A    N/A    N/A 
   29   7.314901E+03   4.239312E-01   4.487E+14   2.427E+34   2.589E-01      8.126E-01   6.113E-01   9.146E-01   1.904E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      9.579E+08   1.000E+00   1.000E+00   00000   6.957E-01   6.025E-01  3p2   N/A    N/A    N/A 
   30   7.398032E+03   4.366466E-01   4.450E+14   2.369E+34   2.568E-01      8.088E-01   6.062E-01   9.093E-01   1.899E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      9.613E+08   1.000E+00   1.000E+00   00000   6.995E-01   6.045E-01  3p2   N/A    N/A    N/A 
   31   7.479336E+03   4.498362E-01   4.411E+14   2.312E+34   2.547E-01      8.049E-01   6.010E-01   9.039E-01   1.895E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      9.647E+08   1.000E+00   1.000E+00   00000   7.034E-01   6.065E-01  3p2   N/A    N/A    N/A 
   32   7.558909E+03   4.627451E-01   4.373E+14   2.257E+34   2.526E-01      8.011E-01   5.958E-01   8.986E-01   1.890E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      9.680E+08   1.000E+00   1.000E+00   00000   7.073E-01   6.086E-01  3p2   N/A    N/A    N/A 
   33   7.636842E+03   4.753877E-01   4.335E+14   2.203E+34   2.506E-01      7.973E-01   5.907E-01   8.934E-01   1.886E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      9.710E+08   1.000E+00   1.000E+00   00000   7.111E-01   6.106E-01  3p2   N/A    N/A    N/A 
   34   7.713215E+03   4.877774E-01   4.299E+14   2.150E+34   2.486E-01      7.936E-01   5.857E-01   8.882E-01   1.881E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      9.739E+08   1.000E+00   1.000E+00   00000   7.148E-01   6.125E-01  3p2   N/A    N/A    N/A 
   35   7.788106E+03   4.999266E-01   4.263E+14   2.098E+34   2.466E-01      7.899E-01   5.808E-01   8.831E-01   1.877E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      9.766E+08   1.000E+00   1.000E+00   00000   7.186E-01   6.145E-01  3p2   N/A    N/A    N/A 
   36   7.861582E+03   5.118464E-01   4.228E+14   2.047E+34   2.447E-01      7.863E-01   5.759E-01   8.781E-01   1.873E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      9.791E+08   1.000E+00   1.000E+00   00000   7.222E-01   6.164E-01  3p2   N/A    N/A    N/A 
   37   7.933711E+03   5.235476E-01   4.193E+14   1.996E+34   2.428E-01      7.828E-01   5.710E-01   8.732E-01   1.868E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      9.815E+08   1.000E+00   1.000E+00   00000   7.259E-01   6.183E-01  3p2   N/A    N/A    N/A 
   38   8.004551E+03   5.350397E-01   4.159E+14   1.947E+34   2.409E-01      7.793E-01   5.662E-01   8.684E-01   1.864E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      9.837E+08   1.000E+00   1.000E+00   00000   7.295E-01   6.201E-01  3p2   N/A    N/A    N/A 
   39   8.074160E+03   5.463320E-01   4.126E+14   1.899E+34   2.391E-01      7.759E-01   5.615E-01   8.636E-01   1.860E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      9.857E+08   1.000E+00   1.000E+00   00000   7.330E-01   6.220E-01  3p2   N/A    N/A    N/A 
   40   8.142588E+03   5.577181E-01   4.092E+14   1.852E+34   2.372E-01      7.724E-01   5.567E-01   8.587E-01   1.856E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      9.877E+08   1.000E+00   1.000E+00   00000   7.367E-01   6.239E-01  3p2   N/A    N/A    N/A 
   41   8.209886E+03   5.696927E-01   4.056E+14   1.807E+34   2.352E-01      7.686E-01   5.514E-01   8.535E-01   1.851E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      9.896E+08   1.000E+00   1.000E+00   00000   7.406E-01   6.259E-01  3p2   N/A    N/A    N/A 
   42   8.276097E+03   5.814739E-01   4.020E+14   1.763E+34   2.332E-01      7.649E-01   5.462E-01   8.483E-01   1.846E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      9.914E+08   1.000E+00   1.000E+00   00000   7.445E-01   6.280E-01  3p2   N/A    N/A    N/A 
   43   8.341266E+03   5.930698E-01   3.985E+14   1.720E+34   2.313E-01      7.612E-01   5.411E-01   8.432E-01   1.842E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      9.930E+08   1.000E+00   1.000E+00   00000   7.483E-01   6.300E-01  3p2   N/A    N/A    N/A 
   44   8.405432E+03   6.044872E-01   3.950E+14   1.677E+34   2.294E-01      7.576E-01   5.360E-01   8.382E-01   1.837E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      9.944E+08   1.000E+00   1.000E+00   00000   7.521E-01   6.320E-01  3p2   N/A    N/A    N/A 
   45   8.468633E+03   6.157329E-01   3.916E+14   1.635E+34   2.275E-01      7.541E-01   5.310E-01   8.332E-01   1.833E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      9.957E+08   1.000E+00   1.000E+00   00000   7.559E-01   6.339E-01  3p2   N/A    N/A    N/A 
   46   8.530905E+03   6.268132E-01   3.883E+14   1.594E+34   2.256E-01      7.505E-01   5.259E-01   8.283E-01   1.828E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      9.968E+08   1.000E+00   1.000E+00   00000   7.597E-01   6.359E-01  3p2   N/A    N/A    N/A 
   47   8.592280E+03   6.377339E-01   3.850E+14   1.553E+34   2.238E-01      7.470E-01   5.209E-01   8.234E-01   1.824E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      9.977E+08   1.000E+00   1.000E+00   00000   7.634E-01   6.378E-01  3p2   N/A    N/A    N/A 
   48   8.652791E+03   6.485010E-01   3.817E+14   1.513E+34   2.220E-01      7.436E-01   5.160E-01   8.186E-01   1.819E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      9.985E+08   1.000E+00   1.000E+00   00000   7.671E-01   6.398E-01  3p2   N/A    N/A    N/A 
   49   8.712467E+03   6.591195E-01   3.785E+14   1.474E+34   2.202E-01      7.402E-01   5.111E-01   8.138E-01   1.815E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      9.991E+08   1.000E+00   1.000E+00   00000   7.707E-01   6.417E-01  3p2   N/A    N/A    N/A 
   50   8.771337E+03   6.695945E-01   3.753E+14   1.434E+34   2.184E-01      7.368E-01   5.061E-01   8.091E-01   1.811E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      9.995E+08   1.000E+00   1.000E+00   00000   7.744E-01   6.436E-01  3p2   N/A    N/A    N/A 
   51   8.829428E+03   6.799308E-01   3.722E+14   1.396E+34   2.167E-01      7.335E-01   5.013E-01   8.044E-01   1.806E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      9.998E+08   1.000E+00   1.000E+00   00000   7.780E-01   6.455E-01  3p2   N/A    N/A    N/A 
   52   8.886763E+03   6.903317E-01   3.690E+14   1.359E+34   2.148E-01      7.300E-01   4.962E-01   7.996E-01   1.802E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      1.000E+09   3.765E+07   1.000E+00   00000   7.817E-01   6.474E-01  3p2   N/A    N/A    N/A 
   53   8.943368E+03   7.009276E-01   3.655E+14   1.324E+34   2.129E-01      7.263E-01   4.907E-01   7.944E-01   1.797E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      1.000E+09   1.053E+08   1.000E+00   00000   7.858E-01   6.496E-01  3p2   N/A    N/A    N/A 
   54   8.999265E+03   7.113911E-01   3.621E+14   1.290E+34   2.110E-01      7.226E-01   4.853E-01   7.892E-01   1.792E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      9.998E+08   1.922E+08   1.000E+00   00000   7.897E-01   6.517E-01  3p2   N/A    N/A    N/A 
   55   9.054477E+03   7.217262E-01   3.588E+14   1.256E+34   2.091E-01      7.190E-01   4.798E-01   7.841E-01   1.787E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      9.994E+08   2.931E+08   1.000E+00   00000   7.937E-01   6.537E-01  3p2   N/A    N/A    N/A 
   56   9.109024E+03   7.319368E-01   3.554E+14   1.223E+34   2.073E-01      7.154E-01   4.744E-01   7.791E-01   1.783E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      9.988E+08   4.041E+08   1.000E+00   00000   7.976E-01   6.558E-01  3p2   N/A    N/A    N/A 
   57   9.162924E+03   7.420266E-01   3.522E+14   1.190E+34   2.054E-01      7.118E-01   4.690E-01   7.741E-01   1.778E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      9.980E+08   5.202E+08   1.000E+00   00000   8.015E-01   6.579E-01  3p2   N/A    N/A    N/A 
   58   9.216198E+03   7.519989E-01   3.489E+14   1.157E+34   2.036E-01      7.082E-01   4.636E-01   7.691E-01   1.773E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      9.971E+08   6.379E+08   1.000E+00   00000   8.054E-01   6.599E-01  3p2   N/A    N/A    N/A 
